@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
5.128,8.561,2.9259,12.4092,-0.0661,-3.3356,5.6831,2.3839,9.0246,-13.5306,-0.6502,13.432,3.665,13.4284,-1.8869,7.8981,3.141,1.7723,6.6326,0.4469,-1.5373,-7.887,0.6493,5.1302,-0.4223,-0.0823,1.2274,0.7983,1.6509,0.6505,1.3451,2.0679,1.5064,0.6374,2.7256,0.4231,1.8093,4.2763,0.0915,0.0876,-0.1435,0.9575,-1.568,-1.6377,18.7419,2.5025,0.9707,0.1335,0.0518,0.3879,1.375,0.9241,1.8709,0.6721,1.3606,2.0246,0.1282,11.4859,0.7817,0.6393,0.2086,0.5542,-0.2222,-0.3033,140.2292,2972.302,54.5188,221,0.0636,?,?,?,?,?,DESTRA_PANTALONI
3.9503,3.785,1.9455,11.7008,-0.4325,-2.0645,4.0425,2.0106,9.0269,-1.4969,-0.0819,4.657,2.158,8.9518,-0.8443,5.5593,1.4529,1.2053,5.5395,0.3423,-1.9134,-48.2392,0.7106,25.211,-0.3714,-0.0147,0.9676,0.9015,1.6141,0.9317,1.6681,1.7904,0.9363,0.8128,2.6052,0.8681,2.7825,3.2054,0.6528,0.8621,-1.2251,1.3205,-1.8767,-1.4211,2.2593,1.6828,0.9697,0.7448,0.4292,0.5762,1.2962,1.3071,2.1123,1.0084,1.6296,1.616,0.0929,8.3564,0.1299,0.1583,0.6628,-0.3703,-0.2673,0.2633,36.6042,12.2808,3.5044,12,0.7273,?,?,?,?,?,DESTRA_PANTALONI
4.2084,6.1482,2.4796,11.3691,-0.0909,-1.4647,10.0773,3.1745,12.9266,-1.8591,-0.1396,18.9701,4.3555,17.0967,-0.9553,7.1751,3.5887,1.8944,7.7799,0.3305,-2.8732,-30.1409,0.5865,10.4905,-0.2041,-0.0195,0.7811,0.5693,1.3089,0.7288,1.6757,2.2991,0.6101,0.3241,1.7132,0.5312,2.808,5.286,0.1127,0.1134,-0.2466,1.0063,-2.1886,-2.175,2.3051,1.1919,0.8969,0.5171,0.3891,0.7525,0.8795,0.665,1.4613,0.7561,1.6615,2.1976,0.0929,10.8784,0.8208,-0.0743,0.6278,0.0322,0.4128,0.0369,23.9792,33.1037,5.7536,21,0.3,?,?,?,?,?,DESTRA_PANTALONI
2.8935,46.1658,6.7945,35.2631,-0.2283,0.5365,38.2051,6.181,29.6684,-0.2954,0.4208,52.6061,7.253,27.8019,-0.7958,9.8217,49.3481,7.0248,33.8844,0.0787,5.3932,6.8764,0.2946,1.275,0.0546,0.0428,1.0993,0.9368,0.9672,0.8522,0.8799,1.0325,1.2084,0.8776,0.9355,0.7262,0.7742,1.066,0.9686,0.5319,-2.2627,0.5492,-2.3361,-4.254,1.2536,1.8545,0.7806,1.4794,0.6227,0.4209,1.1886,1.2684,1.0407,1.0671,0.8756,0.8205,0.0619,15.6607,0.7531,-0.0492,0.9001,-0.377,0.8123,0.0166,246.0625,3693.5583,60.7747,250,0.1857,?,?,?,?,?,DESTRA_PANTALONI
2.9638,0.8645,0.9298,3.4011,0.3225,-0.1369,0.5719,0.7562,2.8104,-1.6546,-2.2216,4.1568,2.0388,7.1186,-1.6253,4.3667,0.2634,0.5132,2.4332,0.5692,-21.6566,-1.3341,0.6787,0.0616,-0.0313,-0.5088,1.2296,0.4561,1.8117,0.3709,1.4734,3.9725,1.5118,0.208,3.2821,0.1376,2.171,15.7808,-0.9242,-0.3673,0.5036,0.3975,-0.5449,-1.371,4.7418,1.8513,0.8889,0.3904,0.1875,0.4801,1.2102,0.4778,1.3978,0.3948,1.155,2.9256,0.0842,6.4481,-0.222,0.883,0.4714,-0.1816,-0.2742,0.2945,0,0,0,0,0,?,?,?,?,?,DESTRA_PANTALONI
-0.0838,3.8776,1.9692,6.9735,-1.4948,0.1476,10.0779,3.1746,10.2578,-0.64,0.2552,1.0743,1.0365,3.5725,-0.3834,3.5242,2.7038,1.6443,7.3569,0.0593,-0.5675,-0.3283,-0.0238,0.5785,0.0419,0.0724,0.6203,1.8999,1.1976,3.0628,1.9306,0.6303,0.3848,3.6095,1.4342,9.3809,3.7274,0.3973,1.0438,4.2203,-9.0155,4.0432,-8.6371,-2.1362,0.4469,1.0824,0.3574,2.422,0.7998,0.3302,0.6798,1.952,0.9479,2.8713,1.3943,0.4856,0.006,5.4571,-0.9504,-0.8725,-0.4526,0.9048,0.4048,0.4489,4.0425,0.0002,0.014,0.0472,0.9883,?,?,?,?,?,DESTRA_PANTALONI
0.5691,3.2448,1.8013,6.5171,-0.6676,-0.3387,5.1373,2.2666,7.5532,-1.7608,0.7343,2.5784,1.6057,6.4805,-0.8202,3.1697,1.891,1.3751,5.5386,0.0828,-1.6803,0.775,0.1795,-0.4613,-0.1069,0.2317,0.7947,1.1218,1.3099,1.4115,1.6483,1.1677,0.6316,1.2584,1.7159,1.9924,2.7167,1.3635,0.5416,0.8934,-5.2153,1.6497,-9.6296,-5.8373,1.4285,1.0977,0.6472,0.7684,0.453,0.5896,0.8628,1.0057,1.1767,1.1655,1.3637,1.1701,0.0194,4.8947,-0.7518,0.2905,0.5918,-0.2286,-0.8161,0.2986,4.0472,0,0,0,1,?,?,?,?,?,DESTRA_PANTALONI
-1.6819,3.435,1.8534,8.2514,-2.4136,2.2512,4.3761,2.0919,8.5788,-0.3629,-2.7352,8.042,2.8358,11.5204,-2.304,5.2964,3.1787,1.7829,7.8144,0.139,-0.7471,0.6149,-0.3176,-0.823,0.425,-0.5164,0.886,0.6536,1.0395,0.7377,1.1733,1.5906,0.785,0.4271,1.0806,0.5442,1.3767,2.53,2.5541,0.7262,-4.6244,0.2843,-1.8106,-6.3678,0.384,0.6932,0.2663,1.8052,0.6935,0.3842,0.9618,0.7162,1.0559,0.7447,1.0978,1.4742,0.0834,8.2361,0.335,0,-0.2303,-0.5822,0.3937,-0.7692,1.9362,0.0598,0.2444,1,0.5,?,?,?,?,?,SINISTRA_PANTALONI
-0.2563,0.1646,0.4058,1.3125,-2.7602,-0.5242,0.0863,0.2938,1.2325,-5.5975,0.1024,0.0718,0.268,1.0978,-0.3128,0.7814,0.0631,0.2511,1.0289,0.233,0.4889,-2.502,-0.3279,-5.118,-0.6708,0.1311,1.3812,1.5143,1.6159,1.0964,1.1699,1.0671,1.9078,2.2932,2.611,1.202,1.3686,1.1386,0.9213,3.683,-3.0819,3.9975,-3.345,-0.8368,1.8684,0.4174,0.2602,0.2234,0.1393,0.6233,1.0649,1.1956,1.2756,1.1227,1.1979,1.067,0.0126,1.1307,-0.0215,0.4681,-0.5588,0.3232,-0.6238,-0.3368,0,0,0,0,0,?,?,?,?,?,SINISTRA_PANTALONI
-1.1952,34.2183,5.8496,23.7842,-2.027,1.9168,26.3401,5.1323,17.0867,-0.3693,0.0322,4.4431,2.1079,11.5912,-1.1716,7.4707,14.2935,3.7807,14.7763,0.0787,-0.6235,-37.0853,-0.16,59.476,0.2566,0.0043,1.1398,2.7752,1.5472,2.4348,1.3575,0.5575,1.2991,7.7015,2.394,5.9284,1.8428,0.3108,3.4562,2.5469,-12.6106,0.7369,-3.6487,-4.9514,0.6297,1.472,0.4899,2.3378,0.778,0.3328,1.392,2.0519,1.6096,1.4741,1.1564,0.7844,0.0481,10.6062,-0.0144,-0.1486,-0.6302,-0.3078,0.5406,-0.128,2.8723,0.239,0.4889,2,0.3333,?,?,?,?,?,SINISTRA_PANTALONI
