@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-0.3849,3.1235,1.7674,11.0103,-0.7234,-1.0705,2.8768,1.6961,11.5111,-5.7067,0.081,9.0487,3.0081,14.7668,-0.8698,3.5822,3.5175,1.8755,9.3045,0.0667,0.3596,-4.752,-0.1075,-13.2153,-0.2988,0.0226,1.042,0.5875,0.9423,0.5638,0.9043,1.6039,1.0858,0.3452,0.888,0.3179,0.8178,2.5725,0.4719,0.6728,-6.9492,1.4258,-14.7273,-10.3289,3.7221,0.8089,0.6408,0.2173,0.1722,0.7921,0.9565,0.7456,1.1833,0.7795,1.2372,1.5871,0.0059,5.198,-0.2012,0.2754,0.2149,0.1648,-0.5136,-0.0443,2.2832,5.3986,2.3235,8.3085,0.0556,2.9878,4.6867,2.1649,10.9686,-1.5538,8.307,2.9347,1.7131,7.7367,0.1607,0.7642,0.2749,0.3597,1.0733,1.3563,1.2637,1.1519,1.8396,1.597,-0.0733,0.3303,-4.5064,2.0483,0.9544,0.466,0.7575,1.0739,1.4177,0.047,14.1846,-0.8312,-0.8965,0.9718,3,1.4742,1.2142,4,0.3333,TASCA_DESTRA_DAVANTI_PANTALONI
1.2968,4.9272,2.2197,7.7188,-0.1045,-0.5505,1.4816,1.2172,5.2871,-1.4476,-0.7208,5.8478,2.4182,10.2949,-1.8308,3.1136,5.0661,2.2508,7.2818,0.0494,-2.3558,-1.799,0.4165,0.7637,-0.1768,-0.2315,1.8236,0.9179,0.9862,0.5033,0.5408,1.0744,3.3257,0.8426,0.9726,0.2534,0.2924,1.1543,0.2336,0.1097,-1.9313,0.4696,-8.2673,-17.6035,3.2351,1.9216,0.9123,0.594,0.282,0.4748,1.4599,0.7498,1.06,0.5136,0.7261,1.4138,0.036,4.7111,0.0733,-0.5556,0.9097,0.0169,-0.1528,-0.6357,1.8364,2.7957,1.672,7.0273,0.0774,1.6208,0.8708,0.9332,3.4121,-0.0711,8.7828,1.6205,1.273,5.5605,0.4663,1.133,0.2091,0.1845,1.7918,1.3135,0.7331,3.2104,1.7252,0.5374,-2.6034,0.1214,-0.0466,2.3912,0.7312,0.3058,2.0595,1.2638,0.6136,0.0524,12.2639,-0.7304,-0.8829,0.6556,1,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.0596,1.7085,1.3071,4.986,-1.4301,-0.2411,2.712,1.6468,6.5049,-0.7164,0.1346,0.3305,0.5749,2.6498,-0.4708,2.0139,0.7749,0.8803,4.1281,0.0754,-0.2473,0.4429,0.0296,-1.7912,-0.1197,0.0668,0.7937,2.2737,1.4849,2.8646,1.8708,0.6531,0.63,5.1695,2.2049,8.2061,3.5,0.4265,1.0807,3.4596,-8.7143,3.2012,-8.0635,-2.5189,0.5414,1.1388,0.4595,2.1035,0.8488,0.4035,0.7665,1.8817,1.2078,2.4549,1.5758,0.6419,0.0014,2.9578,-0.7079,-0.4728,-0.5095,0.5336,0.4307,0.2684,-7.0205,0.0653,0.2555,7.3092,?,6.6812,0.063,0.251,0.8251,0.8856,1.4757,0.0064,0.0801,0.4536,0.7491,-1.0508,-4.7575,4.5276,1.0176,3.1892,3.1339,1.0356,10.171,9.8213,-1.1443,-5.3985,4.7175,0,0,3.9902,8.8587,16.1152,1.8191,0.049,15.1773,0.9969,0.5308,0.4668,4.0472,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.6448,1.8555,1.3622,6.9454,-0.4434,-0.1423,2.7811,1.6677,7.2157,-1.4785,-0.2797,5.2775,2.2973,11.616,-1.8428,2.8694,2.195,1.4816,7.7054,0.0955,-4.5327,-2.3054,0.2247,0.5086,-0.0496,-0.0975,0.8168,0.5929,0.9194,0.7259,1.1256,1.5506,0.6672,0.3516,0.8453,0.527,1.267,2.4043,0.4957,0.2834,-2.6219,0.5716,-5.2894,-9.2529,1.6528,1.1776,0.5648,0.7125,0.3417,0.4796,0.9625,0.5979,0.9014,0.6212,0.9365,1.5075,0.0036,4.2676,0.4178,0.5174,0.3561,0.6286,-0.2202,-0.128,2.3182,9.7047,3.1152,8.9223,-0.0366,2.1105,5.137,2.2665,6.9803,-0.9898,8.2546,3.4228,1.8501,5.9837,0.3577,1.0984,0.2808,0.2557,1.3745,1.6838,1.2251,1.8892,2.8353,1.5008,0.0907,-0.0946,-1.0421,2.4536,0.924,0.3766,1.2782,1.4911,1.1666,0.0439,13.6698,-0.93,-0.9469,0.9879,4.0949,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.463,8.5478,2.9237,22.3018,-0.3749,-1.5964,11.5945,3.4051,16.692,-2.1058,-0.1434,11.1647,3.3414,20.262,-0.3568,4.1231,17.0901,4.134,18.8831,0.0119,-0.2901,-3.2281,0.1123,11.129,-0.3872,-0.0348,0.8586,0.875,0.7072,1.0191,0.8237,0.8083,0.7372,0.7656,0.5002,1.0385,0.6784,0.6533,0.5373,1.1414,-26.6802,2.1242,-49.6545,-23.3758,3.0181,1.0862,0.8488,0.3599,0.2812,0.7814,1.3361,1.1007,1.181,0.8238,0.884,1.073,0.0043,6.2955,0.0572,0.6761,0.4838,-0.0573,-0.7144,0.4892,1.3352,8.8505,2.975,10.315,-0.1072,3.5668,8.045,2.8364,13.6718,-1.423,7.8193,3.6278,1.9047,7.599,0.157,0.3743,0.1708,0.4562,1.0489,1.5619,1.4892,1.1001,2.4396,2.2176,0.1244,-0.7053,-5.6714,1.6511,1.0335,0.6259,0.7545,1.3574,1.7992,0.0224,14.0944,-0.7389,-0.8805,0.9193,57.4036,535.104,23.1323,123,0.2407,TASCA_DESTRA_DIETRO_PANTALONI
0.0387,6.5706,2.5633,18.5595,-0.5763,-1.5327,10.3888,3.2232,15.4098,-2.448,0.1747,10.6203,3.2589,22.5308,-0.4085,4.2692,11.7344,3.4256,18.4591,0.0279,-0.0253,0.2216,0.0091,-8.7717,-0.359,0.0409,0.7953,0.7866,0.7483,0.989,0.9409,0.9513,0.6325,0.6187,0.5599,0.9782,0.8853,0.9051,0.6202,1.0384,-12.8069,1.6742,-20.6496,-12.3337,2.6345,0.7361,0.6201,0.2794,0.2354,0.8424,1.2044,0.8237,1.0054,0.6839,0.8348,1.2206,0.004,6.5218,0.1142,0.504,0.2935,-0.1056,-0.6807,0.4605,1.7002,10.9553,3.3099,10.6984,-0.1414,4.4373,11.712,3.4223,14.7787,-1.3773,6.9626,2.422,1.5563,5.7342,0.3038,0.3832,0.2442,0.6373,0.9672,2.1268,2.199,0.9354,4.5233,4.8358,0.1548,-0.5297,-3.4225,1.5078,1.1381,0.7548,0.7239,1.8657,2.5773,0.0218,15.0216,-0.5833,-0.8428,0.8444,97.7306,1642.4186,40.5268,124,0.3641,TASCA_DESTRA_DIETRO_PANTALONI
1.2239,12.7256,3.5673,19.3759,-0.2964,-1.9165,14.6241,3.8241,18.017,-2.3553,0.7969,24.8676,4.9867,25.3505,-0.3167,5.3903,28.9683,5.3822,25.2383,0.0078,-0.6386,1.5358,0.2271,-2.4049,-0.3556,0.1478,0.9328,0.7154,0.6628,0.7669,0.7105,0.9265,0.8702,0.5117,0.4393,0.5881,0.5048,0.8584,0.3503,0.7265,-22.3548,2.074,-63.8136,-30.7687,2.7832,0.7763,0.5876,0.2789,0.2111,0.7569,1.0754,0.7643,0.7677,0.7107,0.7139,1.0044,0.0062,8.0425,-0.1528,0.7651,0.8001,-0.0677,-0.6133,0.6921,1.9113,6.1778,2.4855,9.2926,0.0133,5.3378,15.5283,3.9406,15.7143,-1.0938,6.3884,1.5325,1.238,5.3352,0.2726,0.3581,0.2992,0.8355,0.6307,2.0078,3.1831,0.3978,4.0311,10.1324,-0.0153,0.0628,-4.1068,1.2549,1.2841,1.0233,0.5913,1.7418,2.9454,0.0221,14.7913,-0.6083,-0.8677,0.8086,372.2377,39450.7812,198.6222,679,0.1054,TASCA_DESTRA_DIETRO_PANTALONI
0.0739,10.219,3.1967,19.6808,-0.3204,-1.3989,11.9114,3.4513,16.8686,-6.6903,0.5928,15.2175,3.901,21.6284,-0.5722,4.437,19.9749,4.4693,20.9863,0.0213,-0.0529,0.1247,0.0167,-2.3598,-0.3153,0.1336,0.9262,0.8195,0.7153,0.8847,0.7722,0.8728,0.8579,0.6715,0.5116,0.7827,0.5963,0.7618,0.3254,0.6067,-10.4513,1.8642,-32.1159,-17.2276,6.7952,1.0835,0.6951,0.1595,0.1023,0.6415,1.1667,0.91,0.9378,0.7799,0.8038,1.0306,0.0078,6.6522,-0.5132,0.5834,0.7532,-0.3129,-0.8034,0.5992,1.5244,5.0324,2.2433,8.6495,-0.0439,2.1197,5.2949,2.3011,12.7285,-2.0268,8.7413,2.5863,1.6082,6.5183,0.3219,0.7192,0.1744,0.2425,0.9749,1.3949,1.4308,0.9504,1.9458,2.0473,0.0427,-0.1176,-2.7549,1.9703,0.862,0.4375,0.6795,1.327,1.9527,0.047,13.2177,-0.4434,-0.872,0.7778,455.1082,2952.8838,54.3404,277,0.4704,TASCA_DESTRA_DIETRO_PANTALONI
0.1725,9.6116,3.1003,21.7863,-0.3828,-1.1201,5.2083,2.2822,13.2173,-1.043,-0.066,7.0878,2.6623,19.0041,-0.535,4.1311,6.1302,2.4759,18.6995,0.0356,-0.154,-2.613,0.0418,16.9651,-0.2711,-0.016,1.3585,1.1645,1.2522,0.8572,0.9217,1.0753,1.8454,1.3561,1.5679,0.7348,0.8496,1.1562,0.8938,0.9106,-8.7303,1.0188,-9.7677,-9.5879,2.4353,1.2726,0.8125,0.5226,0.3337,0.6385,1.6483,1.1464,1.1651,0.6955,0.7068,1.0163,0.0031,6.3386,0.1283,0.6273,0.2769,0.0075,-0.2878,0.2634,5.7794,10.1898,3.1922,10.3419,-0.1391,2.7993,10.0582,3.1715,10.6852,-0.2826,5.2312,7.312,2.7041,8.4552,0.0913,2.0646,1.1048,0.5351,1.0065,1.1805,1.1728,1.0131,1.3936,1.3756,0.5363,-1.4864,-2.7713,1.0898,0.9758,0.8954,0.9679,1.2231,1.2637,0.0222,14.7053,-0.3143,-0.6467,-0.3929,1.6005,1.4088,1.1869,4,0,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.2877,1.1586,1.0764,5.3388,-0.7239,-0.2365,0.6747,0.8214,3.6583,-0.7059,-0.1157,0.4234,0.6507,2.9312,-2.4177,1.3598,0.5597,0.7481,3.2068,0.0114,1.2164,2.4857,-0.2115,2.0435,-0.1739,-0.0851,1.3104,1.6542,1.4388,1.2623,1.098,0.8698,1.7172,2.7364,2.0703,1.5935,1.2056,0.7566,1.481,1.0811,-60.5555,0.73,-40.8893,-56.0115,1.4441,3.611,0.9547,2.5004,0.6611,0.2644,1.4594,1.8213,1.6649,1.248,1.1408,0.9141,0.0011,2.0433,0.1589,0.0654,-0.1152,-0.4939,0.5043,-0.4183,7.3241,0.0567,0.2381,0.9076,0.8819,6.4335,0.0753,0.2744,1.0764,0.8481,-0.819,0.3327,0.5768,1.6264,-20.8728,1.1384,-8.9423,-7.855,0.8677,0.4128,0.4758,0.7529,0.1704,0.2264,1.127,-4.3659,-3.8738,1.0839,103.3346,95.333,0.8431,0.558,0.6619,0.0264,14.585,-0.9724,-0.214,0.4339,1.8946,0.9105,0.9542,3,0.25,TASCA_SINISTRA_DAVANTI_PANTALONI
