@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.1958,3.5678,1.8889,9.7714,-0.8139,-0.9479,7.7561,2.785,12.7742,-1.9775,0.4123,19.4483,4.41,21.0955,-0.9584,4.9077,7.7941,2.7918,11.2351,0.0565,0.2065,-0.4748,-0.0399,-2.299,-0.1932,0.084,0.6782,0.4283,0.6766,0.6315,0.9976,1.5796,0.46,0.1834,0.4578,0.3988,0.9951,2.4953,0.5168,0.4247,-6.5226,0.8218,-12.6213,-15.3584,1.2556,0.5001,0.4524,0.3983,0.3603,0.9046,0.7649,0.4632,0.8697,0.6055,1.137,1.8777,0.0073,7.1423,-0.0108,-0.4511,0.0812,0.3973,-0.447,-0.0488,-0.2844,0.6421,0.8013,4.6356,-3.0578,-0.9404,1.6811,1.2966,4.8151,-4.0794,0.4281,0.6711,0.8192,2.9822,-0.2618,0.3025,-0.6645,-2.1969,0.618,0.9782,1.5827,0.382,0.9568,2.505,0.9033,5.6448,6.249,1.2051,0.4834,0.4011,0.9627,1.5544,1.6146,0.0074,2.3536,0.4875,-0.1814,-0.738,?,?,?,?,?,DESTRA_PANTALONI
0.3746,3.997,1.9992,11.2053,-0.7626,-0.9999,8.7376,2.956,14.8877,-1.7747,-0.4438,4.998,2.2356,10.87,-1.0266,3.7854,4.7406,2.1773,11.5545,0.022,-0.3746,-0.844,0.099,2.2528,-0.2642,-0.1173,0.6763,0.8943,0.9182,1.3222,1.3576,1.0268,0.4574,0.7997,0.8431,1.7482,1.8432,1.0543,0.5091,0.8804,-18.6311,1.7293,-36.595,-21.1616,1.1849,1.1853,0.5381,1.0004,0.4541,0.454,0.7527,1.0309,0.9698,1.3696,1.2885,0.9408,0.0081,5.9464,-0.6676,0.0435,0.3752,0.6851,-0.3527,-0.1544,-0.3114,0.6735,0.8207,4.0076,-3.0451,-0.8015,1.8934,1.376,5.3726,-6.7564,0.3156,0.5546,0.7447,2.7483,-0.2535,0.3885,-0.9866,-2.5396,0.5964,1.102,1.8478,0.3557,1.2144,3.4142,0.6446,5.4278,8.4199,1.4303,0.4519,0.3159,0.7459,1.4582,1.9549,0.0065,2.0337,0.5509,-0.3527,-0.5998,?,?,?,?,?,DESTRA_PANTALONI
0.1953,7.1397,2.672,15.9401,-0.7155,-0.0002,20.387,4.5152,25.2906,-1.2741,0.0287,13.9413,3.7338,14.6335,-1.0984,5.7887,7.998,2.8281,17.3819,0.0372,-1089.4763,6.7981,0.0337,-0.0062,-0,0.005,0.5918,0.7156,0.9448,1.2093,1.5966,1.3203,0.3502,0.5121,0.8927,1.4623,2.549,1.7431,0.4692,0.868,-9.9092,1.8498,-21.1186,-11.4165,0.8355,1.3324,0.5147,1.5948,0.616,0.3863,0.6303,1.0893,0.9171,1.7283,1.455,0.8419,0.0014,8.9534,-0.6755,-0.0327,0.1699,0.7025,-0.0987,-0.0201,-0.0771,0.7641,0.8741,4.2554,-1.392,-0.8845,1.4024,1.1842,5.1099,-8.4452,0.615,1.8457,1.3586,5.4922,-0.4449,0.0872,-0.1254,-1.4382,0.7381,0.6434,0.8717,0.5448,0.414,0.7598,0.542,1.4643,2.7015,3.2883,0.468,0.1423,0.8328,0.7748,0.9304,0.0076,2.7053,0.2372,0.0019,-0.7699,?,?,?,?,?,DESTRA_PANTALONI
0.2093,9.6659,3.109,24.0089,-0.3552,0.495,12.6533,3.5571,25.0715,-0.4422,0.1332,21.5612,4.6434,29.1037,-0.4152,5.2559,16.5627,4.0697,28.3094,0.0163,0.4229,1.5711,0.0398,3.715,0.0942,0.0253,0.874,0.6696,0.7639,0.7661,0.874,1.141,0.7639,0.4483,0.5836,0.5869,0.764,1.3018,0.8186,0.7369,-13.4058,0.9002,-16.3764,-18.1912,1.0191,0.8615,0.6156,0.8453,0.6041,0.7146,0.9576,0.8249,0.8481,0.8615,0.8856,1.0281,0.0038,7.9924,0.5792,0.2931,0.3912,0.1507,0.3274,0.5872,0.2789,1.7395,1.3189,5.3561,-0.4124,-0.6215,5.2606,2.2936,11.1813,-3.4021,-0.23,1.4384,1.1993,5.7666,-2.153,-0.4487,-1.2125,2.702,0.575,1.0997,1.9124,0.3307,1.2093,3.6574,0.181,0.3971,2.1945,1.493,2.0735,1.3888,0.479,0.9288,1.939,0.005,3.1465,-0.1928,-0.4934,0.4353,?,?,?,?,?,DESTRA_PANTALONI
-1.5346,2.1918,1.4805,4.6046,-16.5587,0.3369,0.8453,0.9194,4.2149,-0.449,0.5995,4.084,2.0209,8.3219,-0.9341,2.7289,2.5018,1.5817,4.8776,0.0714,-4.5556,-2.5597,-0.5623,0.5619,0.1234,0.2197,1.6103,0.7326,0.936,0.4549,0.5813,1.2777,2.593,0.5367,0.8761,0.207,0.3379,1.6324,3.3249,1.0804,-11.5868,0.3249,-3.4849,-10.7246,0.0902,0.0609,0.0499,0.6761,0.5538,0.8192,1.0924,0.5533,0.944,0.5065,0.8641,1.7061,0.051,4.0344,0.0456,-0.3642,-0.7279,0.5019,0.1684,0.4385,0.282,0.3198,0.5655,2.5155,-0.4141,-0.9247,1.0557,1.0275,4.2516,-6.4839,0.7098,0.3942,0.6278,2.3616,-0.1772,-0.305,0.3973,-1.3027,0.5504,0.9007,1.6365,0.3029,0.8112,2.6781,0.2,2.0722,10.3608,3.1312,0.8867,0.2832,0.5917,1.0652,1.8003,0.0092,2.241,-0.6557,0.7828,-0.5988,?,?,?,?,?,DESTRA_PANTALONI
0.2435,0.3348,0.5787,2.7356,-0.4473,-0.7039,9.5544,3.091,12.7511,-0.9017,-0.6728,7.6128,2.7591,11.5549,-0.6657,3.8697,3.5348,1.8801,9.2982,0.038,-0.346,-0.3619,0.0629,1.0461,-0.1819,-0.1739,0.1872,0.2097,0.3078,1.1203,1.6441,1.4675,0.035,0.044,0.0947,1.255,2.703,2.1537,0.1398,0.1831,-2.3037,1.3093,-16.474,-12.5822,0.2819,0.2725,0.1956,0.9665,0.6937,0.7177,0.2145,0.2367,0.2942,1.1035,1.3713,1.2427,0.0066,5.8215,0.5114,0.3982,-0.0458,0.9889,0.1383,0.1575,0.021,0.0442,0.2101,0.8324,-0.8956,-0.0283,0.0529,0.23,0.9337,-1.5245,-0.0874,0.0334,0.1829,0.7877,-1.0302,-0.7416,-0.2401,0.3238,0.9138,1.1489,1.2573,0.835,1.32,1.5809,0.6975,0.984,1.4107,1.1873,1.1319,0.9533,0.8916,1.0568,1.1854,0.0006,0.5179,-0.1733,-0.0857,-0.123,?,?,?,?,?,DESTRA_PANTALONI
-0.4189,1.8726,1.3684,5.6957,-1.617,-0.7184,3.3295,1.8247,10.3213,-3.5322,0.2695,3.0279,1.7401,7.6495,-0.3258,2.4406,3.0376,1.7429,9.3448,0.0177,0.5831,-1.5546,-0.1717,-2.6659,-0.2944,0.1104,0.7499,0.7864,0.7852,1.0486,1.047,0.9984,0.5624,0.6184,0.6165,1.0996,1.0961,0.9968,0.4375,1.8722,-20.8667,4.2792,-47.6944,-11.1457,0.9557,0.3772,0.2288,0.3947,0.2394,0.6065,0.5518,0.7446,0.6095,1.3493,1.1045,0.8186,0.0058,3.7923,0.6371,-0.1612,-0.4398,-0.609,-0.7965,0.7609,-0.3369,1.0622,1.0306,4.1888,-2.4626,0.2923,0.9512,0.9753,4.8432,-0.4796,-0.3035,0.4194,0.6476,2.3161,-1.3827,-1.1527,1.11,-0.963,1.0567,1.5914,1.5059,1.1167,2.5325,2.2678,1.8975,2.2165,1.1681,0.3696,1.2445,3.3673,0.8649,1.8086,2.0911,0.0036,2.1752,-0.9245,0.4404,-0.3521,?,?,?,?,?,DESTRA_PANTALONI
0.7151,3.3489,1.83,9.175,-0.7842,-1.9323,14.0541,3.7489,20.7491,-1.1569,-0.2312,14.0562,3.7492,21.3995,-0.5214,5.176,8.9665,2.9944,16.5989,0.0521,-0.3701,-3.0929,0.1382,8.358,-0.3733,-0.0447,0.4881,0.4881,0.6111,0.9999,1.252,1.2521,0.2383,0.2383,0.3735,0.9999,1.5674,1.5676,0.3624,0.5499,-4.42,1.5175,-12.1979,-8.0384,0.5345,0.3656,0.2937,0.6839,0.5494,0.8032,0.4422,0.4287,0.5527,0.9696,1.25,1.2892,0.0148,7.8364,-0.6237,0.1156,0.2475,0.024,-0.4603,0.2242,-0.5409,1.1968,1.094,5.7304,-1.5248,-1.0941,2.8677,1.6934,6.9449,-1.6993,-0.1346,5.9031,2.4296,9.4998,-0.6681,0.4944,4.0185,8.1284,0.646,0.4503,0.697,0.4173,0.2027,0.4858,0.7916,0.9096,1.1491,0.8822,0.3985,0.4518,0.8251,0.6032,0.7311,0.0088,4.6973,-0.1758,0.2398,-0.1015,?,?,?,?,?,SINISTRA_PANTALONI
-0.319,0.1567,0.3958,1.4568,-3.055,-0.328,1.4305,1.1961,6.2937,-0.9165,-0.035,0.9521,0.9757,5.1308,-0.6119,1.3368,0.9629,0.9813,4.5702,0.0055,0.9727,9.1046,-0.2387,9.3604,-0.2454,-0.0262,0.331,0.4057,0.4034,1.2258,1.2189,0.9943,0.1095,0.1646,0.1627,1.5026,1.4856,0.9887,0.3647,0.5635,-43.3986,1.5452,-119.0097,-77.0175,0.1094,0.1129,0.0782,1.0317,0.7146,0.6927,0.2315,0.2839,0.3188,1.2267,1.3771,1.1227,0.0033,2.0475,-0.0909,-0.2706,-0.4026,0.9755,-0.0561,0.0286,-0.0888,0.0311,0.1763,0.7936,-2.0837,-0.0554,0.0275,0.1659,0.8278,-1.9272,0.0292,0.0122,0.1104,0.6483,-1.3186,1.6026,-3.043,-1.8988,1.0624,1.5969,1.5031,1.1287,2.5502,2.2594,0.984,1.4544,1.4781,0.9101,0.9203,1.0113,0.9587,1.2241,1.2768,0.0008,0.3876,0.7891,-0.3243,-0.3151,?,?,?,?,?,SINISTRA_PANTALONI
0.2622,4.0194,2.0049,11.2417,-0.6224,-0.1534,29.8808,5.4663,29.5438,-0.7258,0.395,24.3692,4.9365,26.0313,-0.7783,6.7626,12.7853,3.5757,17.3004,0.0756,-1.7085,0.6638,0.0388,-0.3885,-0.0227,0.0584,0.3668,0.4061,0.5607,1.1073,1.5288,1.3806,0.1345,0.1649,0.3144,1.2262,2.3371,1.906,0.3471,0.3785,-3.0497,1.0906,-8.7865,-8.0563,0.4048,0.4733,0.3703,1.1694,0.9147,0.7822,0.3805,0.4319,0.6498,1.1349,1.7077,1.5047,0.0036,9.7964,0.1245,-0.1286,0.0001,0.3063,0.1833,0.3638,-0.1418,1.1543,1.0744,6.6298,-0.8463,-0.3918,2.6843,1.6384,7.9991,-1.7455,-0.7583,3.0049,1.7335,8.8686,-0.7089,0.3619,0.187,0.5167,0.6558,0.6198,0.9451,0.43,0.3842,0.8933,0.5975,0.826,1.3824,1.2325,0.6919,0.5614,0.8288,0.7476,0.902,0.0062,3.65,-0.459,-0.0043,0.212,?,?,?,?,?,SINISTRA_PANTALONI
