@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
1.1699,9.5981,3.0981,17.7056,-0.6736,-0.8177,5.4201,2.3281,10.7964,-1.2502,-0.2849,12.5472,3.5422,21.3911,-1.7742,4.8191,6.4603,2.5417,15.5635,0.0366,-1.4308,-4.107,0.2428,2.8705,-0.1697,-0.0591,1.3307,0.8746,1.2189,0.6572,0.916,1.3936,1.7708,0.765,1.4857,0.432,0.839,1.9422,1.1881,0.5209,-12.0657,0.4385,-10.1558,-23.1618,2.2049,1.372,0.6549,0.6222,0.297,0.4773,1.64,0.8277,1.1376,0.5047,0.6937,1.3744,0.0073,7.2172,-0.5672,0.3034,0.5414,0.2737,-0.2956,0.0351,2.8543,10.762,3.2806,8.837,-0.0065,3.9954,12.0751,3.4749,10.7014,-0.6085,6.8345,2.5763,1.6051,4.9354,0.3861,0.7144,0.4176,0.5846,0.9441,2.0439,2.165,0.8913,4.1774,4.6871,0.014,-0.0183,-1.3042,1.3198,1.0921,0.8275,0.8258,1.7905,2.1683,0.0421,14.7798,-0.9064,-0.9481,0.9695,1.4115,244.8272,15.647,43.4,-1.4943,-8.3347,159.3358,12.6228,37.5775,-0.9745,-29.6203,7.8242,2.7972,36.6577,?,-0.1694,-0.0477,0.2814,1.2396,5.5938,4.5127,1.5365,31.291,20.3645,1.4019,0.7093,0.5059,0.9143,0,0,1.1549,1.1839,1.0251,0.154,58.6262,-0.9305,0.3404,-0.0129,DESTRA_PANTALONI
1.4669,7.9569,2.8208,13.7922,-0.3027,-1.1213,6.7011,2.5886,10.4759,-1.3772,-0.321,11.8048,3.4358,14.638,-0.8357,4.8518,6.435,2.5367,13.7648,0.03,-1.3082,-4.5702,0.3023,3.4934,-0.2311,-0.0662,1.0897,0.821,1.112,0.7534,1.0205,1.3544,1.1874,0.674,1.2365,0.5677,1.0413,1.8345,0.5281,0.4809,-7.5372,0.9107,-14.2732,-15.6723,2.4025,1.3277,0.7461,0.5526,0.3106,0.5619,1.3166,0.9422,1.002,0.7157,0.7611,1.0634,0.0094,7.4017,-0.5743,0.3748,0.7357,0.3016,-0.531,0.3047,2.3409,10.3865,3.2228,9.0586,-0.021,4.4944,6.8268,2.6128,10.8182,-0.6921,7.1559,2.1349,1.4611,5.1628,0.3805,0.5209,0.3271,0.6281,1.2335,2.2057,1.7882,1.5214,4.8652,3.1978,0.042,-0.0586,-1.3952,1.3878,1.0646,0.7671,0.8373,1.7546,2.0954,0.0438,14.5289,-0.8262,-0.9569,0.9161,-4.505,178.8002,13.3716,37.2,-4.3913,-10.1969,79.097,8.8937,37.0106,-0.8353,-29.5952,6.2217,2.4943,33.38,?,0.4418,0.1522,0.3445,1.5035,5.3608,3.5656,2.2605,28.7383,12.7132,1.7987,0.9077,0.5046,0.3422,0,0,1.0051,1.1144,1.1088,0.1581,53.018,-0.7622,-0.4083,0.8549,DESTRA_PANTALONI
0.3993,1.558,1.2482,6.0124,-0.5904,0.2304,3.6578,1.9125,8.0217,-0.5482,0.0571,13.8603,3.7229,16.8134,-0.824,3.9794,3.4559,1.859,10.1091,0.0998,1.7326,6.9867,0.1003,4.0324,0.0579,0.0144,0.6526,0.3353,0.6714,0.5137,1.0288,2.0027,0.4259,0.1124,0.4508,0.2639,1.0584,4.0107,0.7858,0.2939,-1.9914,0.374,-2.5342,-6.7765,0.7296,0.4101,0.3366,0.5621,0.4614,0.8209,0.7495,0.3576,0.5948,0.4771,0.7935,1.6632,0.0023,5.8628,0.393,0.5089,0.3277,0.7557,0.2541,0.3351,1.3068,3.011,1.7352,5.6766,-0.0399,6.3949,0.262,0.5118,2.1236,0.7283,7.0591,0.5277,0.7264,2.3808,0.698,0.2044,0.1851,0.9059,3.3904,2.3887,0.7046,11.4945,5.706,0.4964,-0.0383,-0.0396,1.0346,0.6984,0.6925,0.9916,2.6731,2.3843,0.892,0.0481,14.7861,-0.3916,-0.702,-0.3523,3.3735,102.774,10.1377,32.9,-1.812,-17.8857,6.0358,2.4568,24.7817,?,-30.1593,2.0758,1.4408,33.5525,?,-0.1886,-0.1119,0.593,4.1264,7.0364,1.7052,17.0274,49.5114,2.9077,0.8555,0.6318,0.7386,0,0,1,1.3276,0.9806,0.7386,0.1761,57.7626,-0.466,0.3993,-0.8597,DESTRA_PANTALONI
0.1127,2.376,1.5414,10.6028,-0.4266,0.3773,3.2011,1.7892,9.9407,-0.4515,-0.0066,17.6621,4.2026,17.1865,-0.61,4.2416,5.4032,2.3245,11.3875,0.0401,0.2987,-17.0804,0.0266,-57.1806,0.089,-0.0016,0.8615,0.3668,0.6631,0.4257,0.7697,1.808,0.7422,0.1345,0.4397,0.1812,0.5924,3.2688,1.0253,0.4869,-6.6657,0.4749,-6.5012,-13.6905,1.0853,0.6963,0.6265,0.6416,0.5773,0.8998,1.0666,0.6169,0.9311,0.5784,0.8729,1.5092,0.002,5.9486,0.1661,0.2784,0.2292,0.5409,0.3555,0.3068,1.3546,0.7258,0.8519,3.4201,0.0404,4.2141,0.5575,0.7467,3.1221,0.5095,8.6649,0.2826,0.5316,2.6167,0.7148,0.3214,0.1563,0.4863,1.141,1.6025,1.4045,1.3018,2.5681,1.9727,0.0444,0.022,0.4945,0.5599,0.3885,0.6938,1.0955,1.307,1.1931,0.0487,14.2336,0.4267,-0.6499,-0.9522,-2.4325,74.795,8.6484,31.6,-3.7164,-2.8969,8.3682,2.8928,13.2007,-11.5385,-18.9305,7.7476,2.7835,24.2372,?,0.8397,0.1285,0.153,2.9897,3.1071,1.0393,8.938,9.6539,1.0801,2.0497,1.0273,0.5012,6.3639,0,0,2.3938,1.3038,0.5446,0.0965,28.9743,0.4327,0.8192,0.2578,DESTRA_PANTALONI
1.0136,5.7155,2.3907,10.8928,-0.2478,-0.9119,7.2103,2.6852,12.5851,-1.9722,0.1096,16.9266,4.1142,17.4577,-0.9022,4.997,6.7533,2.5987,10.0972,0.0468,-1.1115,9.246,0.2028,-8.3183,-0.1825,0.0219,0.8903,0.5811,0.92,0.6527,1.0333,1.5832,0.7927,0.3377,0.8463,0.426,1.0677,2.5064,0.259,0.2612,-4.3643,1.0085,-16.8488,-16.7066,2.0617,0.9512,0.8241,0.4614,0.3997,0.8664,0.8655,0.624,1.0788,0.7209,1.2464,1.729,0.0068,7.1975,-0.3683,0.5231,0.5807,0.1909,-0.487,0.306,2.3238,3.4723,1.8634,6.6415,0.1086,3.6021,8.1969,2.863,11.2169,-1.0535,8.0933,0.688,0.8295,3.0288,0.6538,0.6451,0.2871,0.4451,0.6509,2.2465,3.4516,0.4236,5.0468,11.9138,-0.1406,0.1414,-1.0058,1.3639,0.8515,0.6243,0.5921,2.1928,3.7034,0.0458,14.9139,-0.8365,-0.8932,0.9166,-7.885,52.9403,7.276,29.5,-146.4911,-1.1468,71.6815,8.4665,34.9859,-0.2857,-19.2824,5.2898,2.3,22.1671,?,6.8759,0.4089,0.0595,0.8594,3.1635,3.6812,0.7385,10.008,13.5509,3.7687,1.3218,0.3507,0.0074,0,0,0.8432,1.3308,1.5783,0.1043,33.3639,-0.4697,-0.3396,0.9461,DESTRA_PANTALONI
1.2958,7.0865,2.6621,12.5175,-0.283,-1.0391,6.3491,2.5197,9.9719,-0.8503,-0.0462,11.4607,3.3854,14.8349,-0.6475,4.723,5.3505,2.3131,13.1237,0.0519,-1.247,-28.0178,0.2743,22.4681,-0.22,-0.0098,1.0565,0.7863,1.1509,0.7443,1.0893,1.4636,1.1162,0.6183,1.3245,0.554,1.1866,2.142,0.6024,0.4735,-3.8424,0.786,-6.378,-8.1148,1.8104,1.0835,0.7048,0.5985,0.3893,0.6505,1.2553,0.8438,0.9538,0.6722,0.7598,1.1304,0.0083,7.1997,-0.2388,0.5005,0.6763,0.5192,-0.1838,0.3604,2.3439,7.9549,2.8204,8.5742,0.0164,5.7671,7.5358,2.7451,11.0978,-0.4253,6.4342,0.5916,0.7691,3.2655,0.5521,0.4064,0.3643,0.8963,1.0274,3.667,3.5691,1.0556,13.4469,12.7384,-0.0433,0.0356,-0.8228,1.1196,1.1958,1.0681,0.7726,2.6257,3.3985,0.0448,14.8399,-0.9496,-0.722,0.8301,-7.0169,108.7578,10.4287,32.9,-15.0712,-10.5712,151.1611,12.2948,45.2626,-0.7342,-37.4496,15.9728,3.9966,40.7848,?,0.6638,0.1874,0.2823,0.8482,2.6094,3.0763,0.7195,6.8089,9.4637,1.61,0.7565,0.4699,0.0784,0,0,0.7269,0.8067,1.1098,0.1977,60.3185,-0.9238,-0.7854,0.9257,DESTRA_PANTALONI
1.153,18.705,4.3249,27.3836,-0.7566,-1.6055,15.208,3.8997,17.4479,-1.5997,-0.5676,14.5771,3.818,22.4451,-1.3223,6.1311,15.1295,3.8897,17.7683,0.0336,-0.7181,-2.0313,0.1881,2.8287,-0.2619,-0.0926,1.109,1.1328,1.1119,1.0214,1.0026,0.9816,1.23,1.2832,1.2363,1.0433,1.0052,0.9635,1.0986,0.9229,-19.0999,0.8401,-17.3862,-20.6952,2.3227,1.6129,0.8479,0.6944,0.365,0.5257,1.5694,1.22,1.5411,0.7774,0.982,1.2632,0.0106,9.4526,-0.6208,0.3577,0.558,0.0242,-0.5278,0.1511,2.5971,9.3325,3.0549,9.2649,-0.0187,4.1913,28.2491,5.315,15.8723,-0.9132,5.6,2.9148,1.7073,5.5685,0.2078,0.6196,0.4638,0.7485,0.5748,1.7893,3.1131,0.3304,3.2017,9.6915,0.0225,-0.1165,-5.1881,1.0963,1.2939,1.1803,0.5837,1.6638,2.8504,0.0385,14.798,-0.7741,-0.8449,0.9134,0.1078,119.4013,10.9271,32.9376,-2.1735,-5.2769,289.4782,17.0141,54.8996,-0.5722,-38.1534,53.7862,7.3339,43.4387,?,-0.0204,-0.0028,0.1383,0.6422,1.4899,2.3199,0.4125,2.2199,5.382,1.1291,0.5193,0.46,0.2972,0,0,0.6,0.7583,1.2638,0.1985,63.923,-0.6,-0.7063,0.9616,DESTRA_PANTALONI
1.1639,8.1271,2.8508,15.9542,-0.3229,-1.4613,9.8629,3.1405,16.3332,-2.023,-0.2059,12.1632,3.4876,16.9475,-1.0099,5.1134,7.5383,2.7456,12.3855,0.0898,-0.7965,-5.6526,0.2276,7.097,-0.2858,-0.0403,0.9077,0.8174,1.0383,0.9005,1.1438,1.2702,0.824,0.6682,1.0781,0.8109,1.3084,1.6135,0.3563,0.4573,-3.1851,1.2836,-8.9405,-6.9652,2.2321,1.4303,0.8863,0.6408,0.397,0.6196,0.9768,0.9414,1.2881,0.9638,1.3187,1.3683,0.01,7.6896,-0.2797,0.2068,0.618,-0.0083,-0.5382,0.3397,1.0727,7.2974,2.7014,9.1055,-0.1362,4.7765,14.8378,3.852,15.5425,-1.0912,7.0219,0.7523,0.8674,3.247,0.5885,0.2246,0.1528,0.6802,0.7013,3.1144,4.441,0.4918,9.6995,19.722,0.1346,-0.2351,-1.7464,1.0782,1.0156,0.9419,0.5858,2.8043,4.7868,0.0455,14.839,-0.7041,-0.7961,0.8583,-3.4019,109.2466,10.4521,36.6577,-3.9677,-6.9521,157.7142,12.5584,53.5187,-0.441,-40.0259,41.9499,6.4769,44.0994,?,0.4893,0.085,0.1737,0.8323,1.6138,1.939,0.6927,2.6042,3.7596,1.7876,0.6639,0.3714,0.1987,0,0,0.685,0.8313,1.2136,0.2168,60.7889,-0.3981,-0.7227,0.8867,DESTRA_PANTALONI
1.3616,13.0685,3.615,19.206,-0.3442,-1.8018,16.072,4.009,19.0968,-1.449,-0.4317,18.4434,4.2946,19.4485,-1.0907,6.3112,13.0391,3.611,17.8411,0.0664,-0.7557,-3.1541,0.2157,4.1739,-0.2855,-0.0684,0.9017,0.8418,1.0011,0.9335,1.1102,1.1893,0.8131,0.7086,1.0023,0.8714,1.2326,1.4145,0.4353,0.4847,-3.8735,1.1137,-8.8994,-7.9912,1.8323,1.5359,0.7476,0.8382,0.408,0.4868,1.0057,0.9875,1.0765,0.9819,1.0704,1.0901,0.012,9.6494,-0.5219,0.3006,0.7595,0.1271,-0.5845,0.1147,2.7252,9.7233,3.1182,9.057,0.0026,4.0959,22.4816,4.7415,15.3968,-1.0264,5.9859,3.916,1.9789,6.3842,0.1674,0.6654,0.4553,0.6843,0.6576,1.5758,2.396,0.4325,2.483,5.741,-0.003,0.0182,-6.0757,1.1951,1.1842,0.9909,0.5882,1.4187,2.4117,0.0406,14.8118,-0.6934,-0.9294,0.8346,-14.9888,94.9996,9.7468,37.3199,?,-3.6696,296.2353,17.2115,59.9991,-0.368,-34.8423,200.3024,14.1528,44.4595,?,4.0846,0.4302,0.1053,0.5663,0.6887,1.2161,0.3207,0.4743,1.4789,2.3124,0.8394,0.363,0,1,0,0.622,0.8394,1.3495,0.1995,64.8207,-0.3349,-0.6271,0.9278,DESTRA_PANTALONI
1.3084,8.6716,2.9448,11.9767,-0.1891,-0.6111,1.6331,1.2779,5.2481,-2.639,-0.426,2.3634,1.5373,7.8726,-1.5696,2.8899,6.5832,2.5658,10.0102,0.0479,-2.1411,-3.0716,0.4528,1.4346,-0.2115,-0.1474,2.3044,1.9155,1.1477,0.8313,0.4981,0.5992,5.31,3.6691,1.3172,0.691,0.2481,0.359,0.5004,0.396,-3.7784,0.7914,-7.5508,-9.5406,6.984,3.2876,0.958,0.4707,0.1372,0.2914,2.2821,1.5213,1.1964,0.6666,0.5243,0.7865,0.0087,4.2184,-0.7253,0.029,0.941,0.2012,-0.7107,0.0326,1.2495,1.9479,1.3957,6.2578,0.0285,3.0099,0.6265,0.7915,3.1992,0.1748,8.664,0.5848,0.7647,2.5352,0.7347,0.4151,0.1442,0.3474,1.7633,1.8251,1.0351,3.1091,3.331,1.0714,0.2709,0.0261,0.0965,1.6615,0.674,0.4057,1.956,2.4684,1.2619,0.0532,12.9233,-0.8064,-0.7413,0.7982,-6.7101,178.084,13.3448,48,-5.0472,-6.7496,10.4571,3.2337,20.8125,-0.8814,-39.6667,122.6884,11.0765,47.375,-27.0741,0.9941,0.1692,0.1702,4.1267,1.2048,0.2919,17.03,1.4515,0.0852,4.109,0.8769,0.2134,0.7175,4.7037,6.5556,2.3063,1.0132,0.4393,0.2344,57.0345,-0.5062,-0.9194,0.7524,DESTRA_PANTALONI
