@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-46.4894,3.1568,1.7767,51.25,?,22.9202,111.4338,10.5562,32,0.2686,-10.1543,17.9483,4.2365,15.5,?,-2.0283,4.5783,-2.2572,0.1683,0.4194,2.4917,0.0283,0.1759,6.2086,-4.3617,3.3065,-0.7581,0,1,0,1.6016,3.3065,2.0645,1.1238,79.5638,-0.9278,0.7998,-0.9314,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.36,5.6693,2.381,8.4666,-0.6826,1.5492,14.9993,3.8729,14.6964,-0.5352,0.2505,3.5528,1.8849,7.3736,-1.4979,4.7835,3.9314,1.9828,8.8954,0.1799,0.2324,1.4374,0.0753,6.1853,0.3239,0.0524,0.6148,1.2632,1.2009,2.0547,1.9533,0.9506,0.378,1.5957,1.442,4.2219,3.8153,0.9037,0.6704,0.7768,-1.7608,1.1588,-2.6266,-2.2667,0.5257,1.7046,0.4639,3.2428,0.8826,0.2722,0.5761,1.1482,0.9518,1.9931,1.6521,0.8289,0.0335,7.2696,0.9118,0.0717,0.6493,-0.0007,0.7008,-0.1778,-22.2083,24.6377,4.9636,30,?,12.7292,6.7719,2.6023,7.5625,0.5519,63.0104,3.2883,1.8134,5.875,0.9108,-1.7447,-0.3525,0.202,1.9074,2.7373,1.4351,3.6383,7.4925,2.0594,-3.2215,-0.5,0.1552,0,0,0.2562,3.9669,5.1064,1.2872,1.4169,97.9479,0.4674,0.9927,0.5153,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.5571,0.2365,0.4863,1.4298,-0.037,-4.342,1.9694,1.4034,7.1402,?,2.9541,1.8659,1.366,4.9498,0.0787,5.4397,2.3712,1.5399,5.2482,0.3619,-0.1283,0.1886,0.1024,-1.4698,-0.7982,0.5431,0.3465,0.356,0.3158,1.0274,0.9113,0.8871,0.1201,0.1268,0.0997,1.0555,0.8305,0.7869,0.0071,-0.1206,-0.0171,-16.8895,-2.3986,0.142,0,0.2566,0.1676,0,0,0.6532,0.2002,0.2889,0.2724,1.4425,1.3605,0.9431,0.4801,7.8653,-0.1755,0.0532,0.2321,-0.2633,-0.8568,0.7139,-31.0312,6.5454,2.5584,33.9375,?,-17.5767,7.6807,2.7714,20.6875,?,5.2358,223.7182,14.9572,46.5625,-0.6704,1.7655,-5.9267,-3.357,0.9231,0.171,0.1853,0.8522,0.0293,0.0343,1.6405,1.8161,1.107,1,0,0,1.6405,0.7289,0.4443,0.8192,62.3381,0.5349,-0.4744,0.4838,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.3912,0.3745,0.612,3.3826,-0.1412,-0.7226,3.1457,1.7736,6.491,-3.9166,0.592,0.7059,0.8402,4.4271,-0.3172,1.7888,2.052,1.4325,5.6294,0.0668,-0.5414,0.6608,0.2187,-1.2206,-0.404,0.331,0.345,0.7284,0.4272,2.111,1.2381,0.5865,0.119,0.5305,0.1825,4.4563,1.533,0.344,0.081,0.3926,-1.0397,4.8496,-12.842,-2.648,2.245,0.8819,0.4914,0.3928,0.2189,0.5572,0.5211,0.7641,0.6009,1.4662,1.1531,0.7864,0.0199,2.621,-0.7322,0.0504,0.7874,0.0516,-0.9291,0.1001,-23.9118,6.6328,2.5754,31.9,?,-11.0667,5.125,2.2638,12.6,?,34.1,3.409,1.8464,7.6,0.7871,2.1607,-0.7012,-0.3245,1.1376,1.3949,1.2261,1.2942,1.9457,1.5033,2.5317,-1.1352,-0.4484,1,0,0,2.5317,4.1974,1.6579,0.845,69.0784,-0.9736,0.9602,-0.9456,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.2357,0.011,0.1048,0.4329,-0.0219,-0.2426,0.048,0.2191,1.1501,-2.0424,-0.2189,0.0126,0.1122,0.4961,-5.4389,0.4534,0.0284,0.1685,0.8005,0.1103,-0.9716,-1.0766,0.5199,1.1081,-0.5351,-0.4829,0.4784,0.9346,0.6222,1.9538,1.3006,0.6657,0.2288,0.8735,0.3871,3.8172,1.6916,0.4432,0.012,0.0221,-0.0933,1.8423,-7.7781,-4.2219,1.1207,5.4984,0.4709,4.9061,0.4202,0.0856,0.3764,0.8726,0.5408,2.3181,1.4368,0.6198,0.0081,0.7336,-0.4501,-0.0695,0.6513,0.4726,-0.8287,-0.5278,41.0155,0.0203,0.1423,0.6,0.9855,-10.2081,0.0116,0.1075,10.4308,?,6.2651,0.074,0.272,0.8259,0.8743,-4.0179,6.5467,-1.6294,1.3237,0.5233,0.3953,1.7522,0.2739,0.1563,-3.9022,7.0828,-1.8151,0,6.284,0,0.0575,0.7265,12.6292,0.8546,57.4886,0.2991,0.1112,0.107,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.5795,4.3611,2.0883,7.1966,-0.9218,0.0468,5.853,2.4193,8.3775,-1.3026,-0.6404,4.7913,2.1889,8.5313,-1.9698,3.722,1.9005,1.3786,5.636,0.1737,12.3895,-0.9049,0.1557,-0.073,0.0126,-0.1721,0.8632,0.9541,1.5148,1.1053,1.7549,1.5878,0.7451,0.9102,2.2946,1.2216,3.0796,2.521,0.7283,0.61,-2.9142,0.8375,-4.0011,-4.7774,1.0293,1.3036,0.5491,1.2665,0.5334,0.4212,0.859,0.8436,1.2769,0.982,1.4864,1.5137,0.017,6.0059,0.8583,0.3392,-0.2081,0.7082,-0.2251,-0.3336,-27.4005,40.8133,6.3885,36.4965,?,-25.9882,45.9405,6.7779,33.1118,?,-6.9113,453.083,21.2857,63.6997,-1.0186,1.0543,3.9646,3.7602,0.9425,0.3001,0.3184,0.8884,0.0901,0.1014,1.1022,1.1355,1.0302,1,0,0,1.1022,0.5729,0.5198,0.7528,74.242,-0.5544,-0.7688,0.934,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.3532,3.2847,1.8124,7.7143,-0.5516,0.5638,6.3329,2.5165,9.9298,-1.4142,-0.333,6.5847,2.5661,9.2481,-1.7053,3.7355,2.8022,1.674,7.7086,0.07,-0.6264,1.0605,-0.0945,-1.6931,0.1509,-0.0891,0.7202,0.7063,1.0827,0.9807,1.5033,1.5329,0.5187,0.4988,1.1722,0.9618,2.26,2.3499,0.4715,0.4705,-4.7255,0.9978,-10.0222,-10.0445,1.2087,1.4544,0.5998,1.2032,0.4962,0.4124,0.7769,0.8342,1.0007,1.0737,1.2882,1.1997,0.0146,5.765,-0.1232,0.4407,0.1398,0.6894,-0.2844,-0.0472,-58.4233,40.7523,6.3838,64.3546,?,9.3126,2.915,1.7073,5.4122,0.5867,-3.0497,97.1864,9.8583,28.6072,-1.5666,-6.2736,19.1567,-3.0536,3.739,0.6476,0.1732,13.9803,0.4193,0.03,-8.375,3.6855,-0.4401,0,0,1.175,11.8906,2.2496,0.1892,1.1616,76.8263,0.8726,-0.9013,-0.6554,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.1793,0.0092,0.0957,0.3372,-0.0692,-0.5106,0.0196,0.14,0.7962,?,-0.1899,0.004,0.0634,0.3237,?,0.5896,0.0141,0.1188,0.4461,0.4422,-0.3512,-0.9445,0.3041,2.6894,-0.866,-0.322,0.6835,1.5087,0.8059,2.2072,1.179,0.5342,0.4672,2.2761,0.6494,4.8718,1.3901,0.2853,0.0274,0.0674,-0.0617,2.4599,-2.2514,-0.9152,0,0,0.3943,1,0,0,0.4234,1.0416,0.7559,2.4599,1.7851,0.7257,0.0115,0.8806,0.0851,0.0665,0.1126,-0.3515,-0.9603,0.2008,38.4081,0.0071,0.0844,0.311,0.9919,-15.0972,0.0252,0.1588,15.238,?,15.179,0,0,0,1,-2.5441,2.5303,-0.9946,0.5312,0,0,0.2821,0,0,-2.5018,2.5115,-1.0039,0,2.532,0,0.0204,0,0,0.8794,68.6843,0.2778,0,0,28.1877,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.8535,11.426,3.3802,14.6524,-1.5026,-3.7361,30.9172,5.5603,23.2268,-2.5881,-1.0032,24.152,4.9145,17.8371,-0.964,7.9904,18.3425,4.2828,17.3521,0.0683,-0.2285,-0.8508,0.1068,3.7243,-0.4676,-0.1255,0.6079,0.6878,0.7893,1.1314,1.2983,1.1475,0.3696,0.4731,0.6229,1.2801,1.6855,1.3167,0.5251,1.0048,-6.9209,1.9135,-13.1796,-6.8876,0.9045,0.6447,0.3144,0.7128,0.3476,0.4877,0.6308,0.8215,0.8444,1.3022,1.3386,1.028,0.0777,12.628,0.3509,0.0394,-0.3199,0.8441,-0.7731,-0.4579,-30.6113,87.0423,9.3296,41.687,?,-17.2301,226.7645,15.0587,42.45,-2.9588,24.5966,213.6496,14.6168,44.182,0.1168,1.7766,-1.2445,-0.7005,0.6196,0.6383,1.0302,0.3838,0.4074,1.0614,1.3139,-7.1357,-5.4308,0,0,0.2144,0.982,0.9435,0.9608,0.8408,74.834,-0.9039,-0.9496,0.9781,27.638,0.0109,0.1046,0.2095,0.9924,TASCA_DESTRA_DAVANTI_PANTALONI
0.4246,0.0105,0.1023,0.481,0.234,-0.4927,0.042,0.205,1.1616,?,-0.1215,0.0158,0.1258,0.6117,-2.0311,0.6954,0.0226,0.1502,0.86,0.2898,-0.8618,-3.4956,0.6106,4.0562,-0.7085,-0.1747,0.4992,0.8133,0.6813,1.6292,1.3649,0.8378,0.2492,0.6614,0.4642,2.6543,1.863,0.7019,-0.1265,-0.3585,0.4189,2.8337,-3.3106,-1.1683,0,3.1117,0.5186,0,0,0.1667,0.4141,0.7863,0.5593,1.8988,1.3506,0.7113,0.0132,1.0573,0.2309,-0.0244,0.1157,-0.6544,-0.903,0.5223,-7.0588,0.0401,0.2003,7.3117,?,39.9484,0.047,0.2169,0.7728,0.9808,8.2278,0.0758,0.2753,1.1786,0.8641,-0.1767,-0.8579,4.8553,0.9237,0.7278,0.788,0.8532,0.5297,0.6209,-0.1853,-0.9754,5.2626,0,0,4.6367,9.4613,6.2039,0.6557,0.8116,55.2349,-0.5843,0.0309,0.1237,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
