@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
-1.0078,3.74,1.9339,8.667,-3.5609,2.4444,5.7061,2.3887,12.8547,-0.0777,-3.0936,28.4736,5.3361,23.6902,-0.9442,6.6576,10.1571,3.187,12.5794,0.1134,-0.4123,0.3258,-0.1514,-0.7901,0.3672,-0.4647,0.8096,0.3624,0.6068,0.4477,0.7495,1.6743,0.6555,0.1314,0.3682,0.2004,0.5618,2.8033,7.2971,0.5881,-4.2063,0.0806,-0.5764,-7.1519,0.1593,0.156,0.1339,0.9789,0.8407,0.8588,0.6742,0.3658,0.689,0.5426,1.0219,1.8832,0.0866,9.3588,-0.4312,0.2234,-0.301,0.2837,0.3714,0.0723,-46.4894,3.1568,1.7767,51.25,?,22.9202,111.4338,10.5562,32,0.2686,-10.1543,17.9483,4.2365,15.5,?,-2.0283,4.5783,-2.2572,0.1683,0.4194,2.4917,0.0283,0.1759,6.2086,-4.3617,3.3065,-0.7581,0,1,0,1.6016,3.3065,2.0645,1.1238,79.5638,-0.9278,0.7998,-0.9314,?,?,?,?,?,DAVANTI_PANTALONI
1.9919,6.749,2.5979,12.6498,-1.1655,0.0377,5.9698,2.4433,8.1395,-1.0902,0.9895,3.1976,1.7882,9.8974,-0.5129,4.3023,2.355,1.5346,6.9739,0.1202,52.8188,2.013,0.463,0.0381,0.0088,0.23,1.0633,1.4528,1.6929,1.3664,1.5921,1.1652,1.1305,2.1106,2.8658,1.8669,2.5349,1.3578,1.6037,2.029,-7.1475,1.2652,-4.457,-3.5227,1.5001,0.8929,0.737,0.5953,0.4913,0.8253,1.5541,1.2781,1.8139,0.8224,1.1671,1.4192,0.0463,6.2904,-0.141,0.1437,0.1247,-0.2551,0.1173,0.48,-22.2083,24.6377,4.9636,30,?,12.7292,6.7719,2.6023,7.5625,0.5519,63.0104,3.2883,1.8134,5.875,0.9108,-1.7447,-0.3525,0.202,1.9074,2.7373,1.4351,3.6383,7.4925,2.0594,-3.2215,-0.5,0.1552,0,0,0.2562,3.9669,5.1064,1.2872,1.4169,97.9479,0.4674,0.9927,0.5153,?,?,?,?,?,DAVANTI_PANTALONI
2.4854,1.6456,1.2828,4.0788,0.0182,0.2127,1.0134,1.0067,3.9134,-1.2275,-4.1847,1.6349,1.2786,6.2859,?,5.2397,0.5734,0.7572,3.1545,0.5265,11.6833,-0.5939,0.4743,-0.0508,0.0406,-0.7987,1.2743,1.0033,1.6941,0.7873,1.3295,1.6886,1.6238,1.0065,2.87,0.6199,1.7675,2.8514,-0.0351,-0.012,0.0216,0.3431,-0.6149,-1.7924,2.3647,0,0.6237,0,0.2637,0,1.0423,0.6489,1.293,0.6226,1.2406,1.9927,0.1107,7.5482,0.7698,0.6953,-0.288,0.6354,-0.4396,-0.8504,-31.0312,6.5454,2.5584,33.9375,?,-17.5767,7.6807,2.7714,20.6875,?,5.2358,223.7182,14.9572,46.5625,-0.6704,1.7655,-5.9267,-3.357,0.9231,0.171,0.1853,0.8522,0.0293,0.0343,1.6405,1.8161,1.107,1,0,0,1.6405,0.7289,0.4443,0.8192,62.3381,0.5349,-0.4744,0.4838,?,?,?,?,?,DAVANTI_PANTALONI
0.5822,0.9033,0.9504,4.1213,-0.0678,-0.8422,1.2635,1.1241,4.8772,-27.5101,-0.496,0.754,0.8683,4.7215,-2.653,1.3816,2.3064,1.5187,5.4859,0.0153,-0.6913,-1.1739,0.4214,1.6982,-0.6096,-0.359,0.8455,1.0945,0.6258,1.2945,0.7402,0.5718,0.7149,1.198,0.3917,1.6757,0.5478,0.3269,0.0556,0.0763,-3.0628,1.3725,-55.0982,-40.1454,22.5623,2.9863,0.6928,0.1324,0.0307,0.232,0.845,0.8729,0.7513,1.033,0.8891,0.8607,0.0223,2.1232,-0.6052,-0.6326,0.8872,0.1922,-0.8675,-0.5721,-23.9118,6.6328,2.5754,31.9,?,-11.0667,5.125,2.2638,12.6,?,34.1,3.409,1.8464,7.6,0.7871,2.1607,-0.7012,-0.3245,1.1376,1.3949,1.2261,1.2942,1.9457,1.5033,2.5317,-1.1352,-0.4484,1,0,0,2.5317,4.1974,1.6579,0.845,69.0784,-0.9736,0.9602,-0.9456,?,?,?,?,?,DAVANTI_PANTALONI
-0.0045,0.0105,0.1027,0.4119,-1.0523,-0.011,0.0141,0.1188,0.5751,-0.7652,-0.0008,0.0109,0.1043,0.4146,-1.0324,0.1762,0.0046,0.0681,0.3553,0.1045,0.4058,5.5177,-0.0255,13.596,-0.0627,-0.0046,0.8642,0.984,1.5071,1.1386,1.7439,1.5315,0.7469,0.9683,2.2713,1.2965,3.041,2.3456,0.8472,1.0029,-5.0955,1.1837,-6.0143,-5.081,0.6161,0.9839,0.5059,1.597,0.8212,0.5142,0.7163,0.9935,1.1594,1.387,1.6187,1.167,0.0002,0.2701,-0.0661,-0.0568,-0.1044,0.1406,0.1323,-0.0973,41.0155,0.0203,0.1423,0.6,0.9855,-10.2081,0.0116,0.1075,10.4308,?,6.2651,0.074,0.272,0.8259,0.8743,-4.0179,6.5467,-1.6294,1.3237,0.5233,0.3953,1.7522,0.2739,0.1563,-3.9022,7.0828,-1.8151,0,6.284,0,0.0575,0.7265,12.6292,0.8546,57.4886,0.2991,0.1112,0.107,?,?,?,?,?,DAVANTI_PANTALONI
2.6774,6.7027,2.589,9.0955,-0.1625,0.537,1.5988,1.2644,4.1967,-0.789,-3.2442,15.8454,3.9806,13.7457,-3.9812,5.2573,14.4894,3.8065,11.0586,0.0841,4.9858,-0.8253,0.5093,-0.1655,0.1021,-0.6171,2.0475,0.6504,0.6801,0.3176,0.3322,1.0457,4.1924,0.423,0.4626,0.1009,0.1103,1.0936,0.6871,0.1158,-1.2517,0.1685,-1.8217,-10.8134,3.3351,2.8352,0.648,0.8501,0.1943,0.2285,2.1673,0.6617,0.8225,0.3053,0.3795,1.243,0.0831,7.9758,0.5893,-0.664,0.8423,-0.5069,0.6159,-0.9269,-27.4005,40.8133,6.3885,36.4965,?,-25.9882,45.9405,6.7779,33.1118,?,-6.9113,453.083,21.2857,63.6997,-1.0186,1.0543,3.9646,3.7602,0.9425,0.3001,0.3184,0.8884,0.0901,0.1014,1.1022,1.1355,1.0302,1,0,0,1.1022,0.5729,0.5198,0.7528,74.242,-0.5544,-0.7688,0.934,?,?,?,?,?,DAVANTI_PANTALONI
1.5255,4.9677,2.2288,8.6998,-0.3043,0.887,3.5651,1.8881,7.4486,-0.9536,-3.6994,5.6238,2.3715,10.2868,?,4.9021,6.9263,2.6318,10.062,0.1263,1.7198,-0.4124,0.3112,-0.2398,0.181,-0.7547,1.1804,0.9399,0.8469,0.7962,0.7174,0.9011,1.3934,0.8833,0.7172,0.6339,0.5147,0.812,0.5582,0.1973,-1.3947,0.3535,-2.4987,-7.0694,1.7495,0,0.5792,0,0.331,0,1.168,0.8457,0.8646,0.7241,0.7403,1.0223,0.0804,7.6056,0.6202,-0.6864,0.8367,-0.199,0.3772,-0.9355,-58.4233,40.7523,6.3838,64.3546,?,9.3126,2.915,1.7073,5.4122,0.5867,-3.0497,97.1864,9.8583,28.6072,-1.5666,-6.2736,19.1567,-3.0536,3.739,0.6476,0.1732,13.9803,0.4193,0.03,-8.375,3.6855,-0.4401,0,0,1.175,11.8906,2.2496,0.1892,1.1616,76.8263,0.8726,-0.9013,-0.6554,?,?,?,?,?,DAVANTI_PANTALONI
-0.0079,0.0074,0.0858,0.3791,-1.1101,-0.0248,0.0028,0.0526,0.2046,-1.2396,-0.0073,0.0144,0.1201,0.5053,-1.589,0.149,0.0031,0.0555,0.2929,0.1289,0.3179,1.0872,-0.053,3.4194,-0.1667,-0.0487,1.6312,0.7141,1.5448,0.4378,0.947,2.1632,2.6607,0.5099,2.3863,0.1917,0.8969,4.6796,1.7616,0.6432,-4.6012,0.3651,-2.6119,-7.154,1.9671,0.9206,0.5344,0.468,0.2716,0.5804,1.8534,0.7503,1.2944,0.4049,0.6984,1.7251,0.0005,0.2201,0.4401,0.1423,-0.1387,0.0727,-0.0358,-0.3961,38.4081,0.0071,0.0844,0.311,0.9919,-15.0972,0.0252,0.1588,15.238,?,15.179,0,0,0,1,-2.5441,2.5303,-0.9946,0.5312,0,0,0.2821,0,0,-2.5018,2.5115,-1.0039,0,2.532,0,0.0204,0,0,0.8794,68.6843,0.2778,0,0,71.6841,0,0,0,1,DAVANTI_PANTALONI
4.1085,50.1648,7.0827,24.5587,-0.4368,-1.436,7.0341,2.6522,9.7274,-2.5491,-2.5607,12.7821,3.5752,13.9601,-1.7158,9.28,9.3609,3.0596,11.7942,0.3102,-2.8611,-1.6045,0.4427,0.5608,-0.1547,-0.2759,2.6705,1.9811,2.3149,0.7418,0.8669,1.1685,7.1317,3.9246,5.359,0.5503,0.7514,1.3655,1.0686,0.8465,-1.4074,0.7921,-1.317,-1.6626,6.2365,3.3253,0.9996,0.5332,0.1603,0.3006,2.5247,1.7592,2.0823,0.6968,0.8248,1.1836,0.099,13.0666,-0.3342,0.8332,0.7951,-0.5246,-0.3033,0.6431,-30.6113,87.0423,9.3296,41.687,?,-17.2301,226.7645,15.0587,42.45,-2.9588,24.5966,213.6496,14.6168,44.182,0.1168,1.7766,-1.2445,-0.7005,0.6196,0.6383,1.0302,0.3838,0.4074,1.0614,1.3139,-7.1357,-5.4308,0,0,0.2144,0.982,0.9435,0.9608,0.8408,74.834,-0.9039,-0.9496,0.9781,73.136,0,0,0,1,DAVANTI_PANTALONI
0.0091,0.0105,0.1025,0.4455,-1.1454,-0.0103,0.0186,0.1363,0.6936,-2.039,0.0174,0.0102,0.1011,0.5204,-0.4294,0.1829,0.0063,0.0796,0.4412,0.062,-0.8819,0.523,0.0497,-0.593,-0.0564,0.0951,0.7524,1.0141,1.2881,1.3479,1.7121,1.2702,0.566,1.0284,1.6593,1.8169,2.9314,1.6134,0.5112,1.5215,-8.1529,2.9765,-15.9501,-5.3586,0.9099,0.5704,0.4414,0.6269,0.4852,0.7739,0.6424,0.8561,1.0097,1.3327,1.5719,1.1794,0.0004,0.2706,-0.0512,-0.0812,-0.2262,-0.0248,-0.2704,0.1983,-7.0588,0.0401,0.2003,7.3117,?,39.9484,0.047,0.2169,0.7728,0.9808,8.2278,0.0758,0.2753,1.1786,0.8641,-0.1767,-0.8579,4.8553,0.9237,0.7278,0.788,0.8532,0.5297,0.6209,-0.1853,-0.9754,5.2626,0,0,4.6367,9.4613,6.2039,0.6557,0.8116,55.2349,-0.5843,0.0309,0.1237,?,?,?,?,?,DIETRO_PANTALONI
