@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PANTALONI
-0.0568,5.1431,2.2678,17.2085,-0.7764,-0.0392,25.2409,5.024,31.8493,-1.3526,-0.1488,10.4112,3.2266,20.0072,-1.3682,5.1113,14.6965,3.8336,20.3873,0.0292,1.4493,0.3817,-0.0111,0.2634,-0.0077,-0.0291,0.4514,0.7028,0.5916,1.557,1.3105,0.8417,0.2038,0.494,0.35,2.4244,1.7175,0.7084,0.4107,0.6507,-12.2702,1.5842,-29.8741,-18.858,0.7156,1.1467,0.4613,1.6025,0.6447,0.4023,0.5403,0.8601,0.8441,1.5919,1.5622,0.9814,0.0009,7.5982,0.6744,0.2541,-0.0822,0.5154,-0.4528,-0.3339,?,?,?,?,?,?,?,?,?,?,PANTALONI
0.2558,0.3534,0.5945,2.5023,-0.8149,-1.4092,3.9529,1.9882,7.9153,-9.2122,0.7432,2.236,1.4953,6.3464,-0.1812,2.0376,4.9942,2.2348,8.1652,0.0073,-0.1815,0.3442,0.1256,-1.8962,-0.6916,0.3647,0.299,0.3975,0.266,1.3296,0.8897,0.6691,0.0894,0.158,0.0708,1.7678,0.7915,0.4477,0.1574,1.1538,-18.8042,7.3326,-119.5014,-16.2973,1.7789,0.2566,0.1676,0.1443,0.0942,0.6532,0.3161,0.3943,0.3065,1.2472,0.9694,0.7772,0.0367,2.9643,-0.3728,0.1607,0.4367,-0.7455,-0.9557,0.8343,125000,0,0,0,1,?,?,?,?,?,PANTALONI
0.2294,1.6383,1.28,10.1544,-0.7894,-0.1491,11.0716,3.3274,31.6866,-1.421,0.5311,2.4023,1.55,14.555,-0.8104,2.8411,7.3973,2.7198,19.6199,0.014,-1.5389,0.4319,0.0807,-0.2807,-0.0525,0.1869,0.3847,0.8258,0.4706,2.1468,1.2234,0.5699,0.148,0.682,0.2215,4.6086,1.4967,0.3248,0.2409,0.6876,-16.1171,2.8546,-66.914,-23.4406,0.4336,0.7058,0.2852,1.6279,0.6578,0.4041,0.3205,0.6977,0.5176,2.177,1.615,0.7419,0.003,4.1164,-0.4662,-0.1114,0.1492,0.3236,-0.15,-0.0119,1100,0,0,0,1,?,?,?,?,?,PANTALONI
0.355,0.023,0.1516,0.8253,-0.0114,-0.5495,0.1348,0.3671,2.0688,-4.4726,-0.225,0.0114,0.1066,0.606,-6.8652,0.7296,0.1154,0.3397,1.8513,0.0509,-0.6461,-1.5775,0.4866,2.4415,-0.7531,-0.3085,0.4131,1.423,0.4464,3.4446,1.0806,0.3137,0.1707,2.025,0.1993,11.8651,1.1677,0.0984,0.0055,0.0175,-0.0933,3.1963,-17.0334,-5.3291,2.1586,10.5904,0.4184,4.9061,0.1938,0.0395,0.3989,1.3618,0.4458,3.4137,1.1175,0.3274,0.0035,1.1421,-0.7042,-0.1206,0.7995,0.3216,-0.9678,-0.3665,1100,0,0,0,1,?,?,?,?,?,PANTALONI
-0.0963,1.421,1.192,7.1966,-0.9218,-0.1858,1.7,1.3038,8.3775,-1.3026,-0.3367,1.7422,1.3199,8.5313,-1.9698,1.5979,2.4671,1.5707,6.7861,0.005,0.5185,0.2862,-0.0603,0.5519,-0.1163,-0.2107,0.9143,0.9031,0.7589,0.9878,0.8301,0.8403,0.8359,0.8156,0.576,0.9758,0.6891,0.7062,0.7283,0.61,-100.2955,0.8375,-137.7023,-164.4175,1.0293,1.3036,0.5491,1.2665,0.5334,0.4212,0.859,0.8436,1.0605,0.982,1.2345,1.2572,0.002,2.5206,0.8426,0.2004,0.0946,0.6147,-0.1244,-0.3695,1100,0,0,0,1,?,?,?,?,?,PANTALONI
0.3294,1.3215,1.1496,7.7143,-0.5516,-0.1643,2.6366,1.6238,9.9298,-1.4142,-0.3577,2.5303,1.5907,9.2481,-1.7053,1.9303,3.0258,1.7395,8.2016,0.0105,-2.0042,-0.9209,0.1706,0.4595,-0.0851,-0.1853,0.708,0.7227,0.6609,1.0208,0.9335,0.9145,0.5012,0.5223,0.4367,1.042,0.8714,0.8362,0.4715,0.4705,-31.3792,0.9978,-66.5505,-66.6987,1.2087,1.4544,0.5998,1.2032,0.4962,0.4124,0.7769,0.8342,0.9406,1.0737,1.2107,1.1276,0.0026,2.9846,-0.1333,0.1429,-0.0079,0.4956,-0.1671,-0.2633,1100,0,0,0,1,?,?,?,?,?,PANTALONI
0.1526,0.0096,0.098,0.4895,-0.3849,-0.4007,0.0298,0.1727,0.8003,-194.6653,-0.1763,0.0042,0.0652,0.3667,?,0.4842,0.0242,0.1555,0.669,0.1742,-0.3809,-0.8657,0.3152,2.2725,-0.8275,-0.3641,0.5676,1.5039,0.6305,2.6498,1.1109,0.4192,0.3221,2.2618,0.3975,7.0216,1.234,0.1757,0.1709,0.371,-0.964,2.1716,-5.6421,-2.5981,86.413,0,0.4363,0,0.005,0,0.6116,1.335,0.7317,2.1828,1.1963,0.5481,0.0023,0.7372,-0.3674,0.0915,0.5048,-0.098,-0.9607,-0.0607,1013.25,0,0,0,1,71.5696,0.0189,0.1376,0.2797,0.9961,PANTALONI
0.0753,4.5988,2.1445,14.6524,-1.5026,-1.1545,11.1415,3.3379,23.2268,-2.5881,-0.2167,7.7477,2.7835,17.8371,-0.964,3.0999,15.264,3.9069,18.4806,0.0077,-0.0652,-0.3473,0.0243,5.3281,-0.3724,-0.0699,0.6425,0.7704,0.5489,1.1992,0.8544,0.7124,0.4128,0.5936,0.3013,1.438,0.7299,0.5076,0.5251,1.0048,-61.6756,1.9135,-117.4504,-61.379,0.9045,0.6447,0.3144,0.7128,0.3476,0.4877,0.6308,0.8215,0.7928,1.3022,1.2568,0.9652,0.0059,4.8958,0.1606,-0.1899,-0.103,0.7732,-0.773,-0.3341,1013.25,0,0,0,1,73.1358,0,0.0001,0,1,PANTALONI
0.4836,0.059,0.243,1.3833,-0.1482,-0.615,0.3461,0.5883,4.4456,-1.8078,-0.1315,0.0565,0.2377,1.6437,-1.3852,0.9372,0.2127,0.4612,2.7801,0.0435,-0.7864,-3.6766,0.516,4.6755,-0.6562,-0.1404,0.413,1.0224,0.5268,2.4755,1.2755,0.5152,0.1706,1.0454,0.2775,6.128,1.6269,0.2655,0.0624,0.187,-1.4105,2.9984,-22.6161,-7.5426,0.7609,1.7482,0.4145,2.2975,0.5447,0.2371,0.3112,0.8415,0.4976,2.7046,1.5991,0.5912,0.004,1.3956,-0.1972,-0.1154,0.5402,-0.5034,-0.6969,0.2517,1100,0,0,0,1,?,?,?,?,?,PANTALONI
