@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
1.1699,9.5981,3.0981,17.7056,-0.6736,-0.8177,5.4201,2.3281,10.7964,-1.2502,-0.2849,12.5472,3.5422,21.3911,-1.7742,4.8191,6.4603,2.5417,15.5635,0.0366,-1.4308,-4.107,0.2428,2.8705,-0.1697,-0.0591,1.3307,0.8746,1.2189,0.6572,0.916,1.3936,1.7708,0.765,1.4857,0.432,0.839,1.9422,1.1881,0.5209,-12.0657,0.4385,-10.1558,-23.1618,2.2049,1.372,0.6549,0.6222,0.297,0.4773,1.64,0.8277,1.1376,0.5047,0.6937,1.3744,0.0073,7.2172,-0.5672,0.3034,0.5414,0.2737,-0.2956,0.0351,1.4115,244.8272,15.647,43.4,-1.4943,-8.3347,159.3358,12.6228,37.5775,-0.9745,-29.6203,7.8242,2.7972,36.6577,?,-0.1694,-0.0477,0.2814,1.2396,5.5938,4.5127,1.5365,31.291,20.3645,1.4019,0.7093,0.5059,0.9143,0,0,1.1549,1.1839,1.0251,0.154,58.6262,-0.9305,0.3404,-0.0129,1109.3068,157164.8125,396.4402,1398.83,0.1041,PANTALONI
1.4669,7.9569,2.8208,13.7922,-0.3027,-1.1213,6.7011,2.5886,10.4759,-1.3772,-0.321,11.8048,3.4358,14.638,-0.8357,4.8518,6.435,2.5367,13.7648,0.03,-1.3082,-4.5702,0.3023,3.4934,-0.2311,-0.0662,1.0897,0.821,1.112,0.7534,1.0205,1.3544,1.1874,0.674,1.2365,0.5677,1.0413,1.8345,0.5281,0.4809,-7.5372,0.9107,-14.2732,-15.6723,2.4025,1.3277,0.7461,0.5526,0.3106,0.5619,1.3166,0.9422,1.002,0.7157,0.7611,1.0634,0.0094,7.4017,-0.5743,0.3748,0.7357,0.3016,-0.531,0.3047,-4.505,178.8002,13.3716,37.2,-4.3913,-10.1969,79.097,8.8937,37.0106,-0.8353,-29.5952,6.2217,2.4943,33.38,?,0.4418,0.1522,0.3445,1.5035,5.3608,3.5656,2.2605,28.7383,12.7132,1.7987,0.9077,0.5046,0.3422,0,0,1.0051,1.1144,1.1088,0.1581,53.018,-0.7622,-0.4083,0.8549,1548.1969,214519.5781,463.1626,2204.1101,0.127,PANTALONI
0.3993,1.558,1.2482,6.0124,-0.5904,0.2304,3.6578,1.9125,8.0217,-0.5482,0.0571,13.8603,3.7229,16.8134,-0.824,3.9794,3.4559,1.859,10.1091,0.0998,1.7326,6.9867,0.1003,4.0324,0.0579,0.0144,0.6526,0.3353,0.6714,0.5137,1.0288,2.0027,0.4259,0.1124,0.4508,0.2639,1.0584,4.0107,0.7858,0.2939,-1.9914,0.374,-2.5342,-6.7765,0.7296,0.4101,0.3366,0.5621,0.4614,0.8209,0.7495,0.3576,0.5948,0.4771,0.7935,1.6632,0.0023,5.8628,0.393,0.5089,0.3277,0.7557,0.2541,0.3351,3.3735,102.774,10.1377,32.9,-1.812,-17.8857,6.0358,2.4568,24.7817,?,-30.1593,2.0758,1.4408,33.5525,?,-0.1886,-0.1119,0.593,4.1264,7.0364,1.7052,17.0274,49.5114,2.9077,0.8555,0.6318,0.7386,0,0,1,1.3276,0.9806,0.7386,0.1761,57.7626,-0.466,0.3993,-0.8597,1139.7404,199451.2188,446.5996,1548.9763,0.0422,PANTALONI
0.1127,2.376,1.5414,10.6028,-0.4266,0.3773,3.2011,1.7892,9.9407,-0.4515,-0.0066,17.6621,4.2026,17.1865,-0.61,4.2416,5.4032,2.3245,11.3875,0.0401,0.2987,-17.0804,0.0266,-57.1806,0.089,-0.0016,0.8615,0.3668,0.6631,0.4257,0.7697,1.808,0.7422,0.1345,0.4397,0.1812,0.5924,3.2688,1.0253,0.4869,-6.6657,0.4749,-6.5012,-13.6905,1.0853,0.6963,0.6265,0.6416,0.5773,0.8998,1.0666,0.6169,0.9311,0.5784,0.8729,1.5092,0.002,5.9486,0.1661,0.2784,0.2292,0.5409,0.3555,0.3068,-2.4325,74.795,8.6484,31.6,-3.7164,-2.8969,8.3682,2.8928,13.2007,-11.5385,-18.9305,7.7476,2.7835,24.2372,?,0.8397,0.1285,0.153,2.9897,3.1071,1.0393,8.938,9.6539,1.0801,2.0497,1.0273,0.5012,6.3639,0,0,2.3938,1.3038,0.5446,0.0965,28.9743,0.4327,0.8192,0.2578,482.5362,45134.4883,212.4488,682.5323,0.0069,PANTALONI
1.0136,5.7155,2.3907,10.8928,-0.2478,-0.9119,7.2103,2.6852,12.5851,-1.9722,0.1096,16.9266,4.1142,17.4577,-0.9022,4.997,6.7533,2.5987,10.0972,0.0468,-1.1115,9.246,0.2028,-8.3183,-0.1825,0.0219,0.8903,0.5811,0.92,0.6527,1.0333,1.5832,0.7927,0.3377,0.8463,0.426,1.0677,2.5064,0.259,0.2612,-4.3643,1.0085,-16.8488,-16.7066,2.0617,0.9512,0.8241,0.4614,0.3997,0.8664,0.8655,0.624,1.0788,0.7209,1.2464,1.729,0.0068,7.1975,-0.3683,0.5231,0.5807,0.1909,-0.487,0.306,-7.885,52.9403,7.276,29.5,-146.4911,-1.1468,71.6815,8.4665,34.9859,-0.2857,-19.2824,5.2898,2.3,22.1671,?,6.8759,0.4089,0.0595,0.8594,3.1635,3.6812,0.7385,10.008,13.5509,3.7687,1.3218,0.3507,0.0074,0,0,0.8432,1.3308,1.5783,0.1043,33.3639,-0.4697,-0.3396,0.9461,1798.5468,231986.125,481.6494,1917.0475,0.1053,PANTALONI
1.2958,7.0865,2.6621,12.5175,-0.283,-1.0391,6.3491,2.5197,9.9719,-0.8503,-0.0462,11.4607,3.3854,14.8349,-0.6475,4.723,5.3505,2.3131,13.1237,0.0519,-1.247,-28.0178,0.2743,22.4681,-0.22,-0.0098,1.0565,0.7863,1.1509,0.7443,1.0893,1.4636,1.1162,0.6183,1.3245,0.554,1.1866,2.142,0.6024,0.4735,-3.8424,0.786,-6.378,-8.1148,1.8104,1.0835,0.7048,0.5985,0.3893,0.6505,1.2553,0.8438,0.9538,0.6722,0.7598,1.1304,0.0083,7.1997,-0.2388,0.5005,0.6763,0.5192,-0.1838,0.3604,-7.0169,108.7578,10.4287,32.9,-15.0712,-10.5712,151.1611,12.2948,45.2626,-0.7342,-37.4496,15.9728,3.9966,40.7848,?,0.6638,0.1874,0.2823,0.8482,2.6094,3.0763,0.7195,6.8089,9.4637,1.61,0.7565,0.4699,0.0784,0,0,0.7269,0.8067,1.1098,0.1977,60.3185,-0.9238,-0.7854,0.9257,840.0075,212810.7188,461.3141,1290.1682,0.0032,PANTALONI
0.873,2.9925,1.7299,6.4413,-0.2125,-0.9775,3.7119,1.9266,10.6102,-3.32,-0.1681,2.7348,1.6537,9.221,-0.9948,2.3022,5.8849,2.4259,9.4364,0.0121,-0.8931,-5.1928,0.3792,5.8143,-0.4246,-0.073,0.8979,1.0461,0.7131,1.165,0.7942,0.6817,0.8062,1.0942,0.5085,1.3573,0.6308,0.4647,0.1385,0.2455,-9.7427,1.7732,-70.3652,-39.6825,2.1629,1.1492,0.5561,0.5313,0.2571,0.4839,0.6071,0.6986,0.6826,1.1507,1.1244,0.9772,0.0066,3.4791,-0.6637,-0.1866,0.9105,-0.3537,-0.8396,-0.023,-26.3815,47.31,6.8782,42.917,?,-13.393,133.3111,11.546,54.691,-0.7021,-26.676,104.7059,10.2326,34.8005,?,1.9698,0.989,0.5021,0.5957,0.6722,1.1284,0.3549,0.4518,1.2732,1.9024,1.2332,0.6482,0,1,0,0.7847,1.2332,1.5716,0.1992,70.1157,-0.4341,-0.9493,0.6346,4.0615,0.0005,0.0219,0.0477,0.9883,PANTALONI
1.4391,6.6242,2.5737,15.9548,-0.4178,-1.4898,8.1046,2.8469,12.7669,-3.1863,-0.3441,5.6531,2.3776,14.7272,-1.3378,3.4418,12.9446,3.5979,13.1228,0.0141,-0.966,-4.1817,0.4181,4.3291,-0.4328,-0.1,0.9041,1.0825,0.7154,1.1974,0.7913,0.6608,0.8173,1.1718,0.5117,1.4337,0.6261,0.4367,0.4838,0.5579,-25.0218,1.153,-51.7148,-44.8515,3.69,1.7863,0.8454,0.4841,0.2291,0.4733,1.2497,1.0834,1.2158,0.8669,0.9729,1.1223,0.0111,5.3169,-0.3996,0.4824,0.6664,-0.129,-0.8176,0.0451,4.5275,155.7303,12.4792,40.0787,-0.8817,-6.691,139.4563,11.8092,42.0578,-0.5043,-41.6269,9.7223,3.1181,44.7586,?,-0.6767,-0.1088,0.1607,1.0567,4.0022,3.7873,1.1167,16.0179,14.344,1.3319,0.4196,0.315,0.7618,0,0,0.9529,0.8954,0.9397,0.2232,66.6422,-0.7085,-0.5343,0.8877,38.8789,102.7064,10.1344,32,0.4182,PANTALONI
1.153,18.705,4.3249,27.3836,-0.7566,-1.6055,15.208,3.8997,17.4479,-1.5997,-0.5676,14.5771,3.818,22.4451,-1.3223,6.1311,15.1295,3.8897,17.7683,0.0336,-0.7181,-2.0313,0.1881,2.8287,-0.2619,-0.0926,1.109,1.1328,1.1119,1.0214,1.0026,0.9816,1.23,1.2832,1.2363,1.0433,1.0052,0.9635,1.0986,0.9229,-19.0999,0.8401,-17.3862,-20.6952,2.3227,1.6129,0.8479,0.6944,0.365,0.5257,1.5694,1.22,1.5411,0.7774,0.982,1.2632,0.0106,9.4526,-0.6208,0.3577,0.558,0.0242,-0.5278,0.1511,0.1078,119.4013,10.9271,32.9376,-2.1735,-5.2769,289.4782,17.0141,54.8996,-0.5722,-38.1534,53.7862,7.3339,43.4387,?,-0.0204,-0.0028,0.1383,0.6422,1.4899,2.3199,0.4125,2.2199,5.382,1.1291,0.5193,0.46,0.2972,0,0,0.6,0.7583,1.2638,0.1985,63.923,-0.6,-0.7063,0.9616,333.634,18081.5273,134.4676,350,0.3997,PANTALONI
1.1639,8.1271,2.8508,15.9542,-0.3229,-1.4613,9.8629,3.1405,16.3332,-2.023,-0.2059,12.1632,3.4876,16.9475,-1.0099,5.1134,7.5383,2.7456,12.3855,0.0898,-0.7965,-5.6526,0.2276,7.097,-0.2858,-0.0403,0.9077,0.8174,1.0383,0.9005,1.1438,1.2702,0.824,0.6682,1.0781,0.8109,1.3084,1.6135,0.3563,0.4573,-3.1851,1.2836,-8.9405,-6.9652,2.2321,1.4303,0.8863,0.6408,0.397,0.6196,0.9768,0.9414,1.2881,0.9638,1.3187,1.3683,0.01,7.6896,-0.2797,0.2068,0.618,-0.0083,-0.5382,0.3397,-3.4019,109.2466,10.4521,36.6577,-3.9677,-6.9521,157.7142,12.5584,53.5187,-0.441,-40.0259,41.9499,6.4769,44.0994,?,0.4893,0.085,0.1737,0.8323,1.6138,1.939,0.6927,2.6042,3.7596,1.7876,0.6639,0.3714,0.1987,0,0,0.685,0.8313,1.2136,0.2168,60.7889,-0.3981,-0.7227,0.8867,245.7926,30004.25,173.2173,497,0.1906,PANTALONI
