@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-1.1543447,15.869479,3.9836514,14.668284,-0.96189594,-1.7573079,3.272769,1.8090796,10.299024,-2.8452775,-0.21148095,5.894496,2.4278584,11.724228,-0.7358271,4.991921,4.582841,2.140757,10.213506,0.07560557,0.6568824,5.4583864,-0.23124258,8.309533,-0.3520304,-0.042364642,2.202032,1.6408088,1.8608611,0.74513394,0.84506536,1.134112,4.8489456,2.6922538,3.4628038,0.5552246,0.7141354,1.2862101,0.94370973,1.4470311,-8.609147,1.5333434,-9.122664,-5.9495244,2.791483,1.1069437,0.67668384,0.39654323,0.24241017,0.6113083,1.4242404,1.2511088,1.4361655,0.87843937,1.008373,1.1479142,0.04226283,7.308668,-0.4455582,-0.18769778,0.003040819,TASCA_DESTRA_DAVANTI_PANTALONI
-1.0741402,18.75428,4.3306212,19.539507,-2.2416885,-0.5098871,11.74145,3.42658,20.532833,-1.7926791,-3.5625672,9.272881,3.0451405,16.886162,-0.9129795,6.8313336,7.207142,2.684612,13.928565,0.14750977,2.1066236,0.30150735,-0.15723726,0.14312351,-0.07463947,-0.5215039,1.263832,1.4221417,1.6131274,1.1252617,1.276378,1.1342944,1.5972712,2.022487,2.60218,1.2662139,1.629141,1.2866238,1.0251495,1.6766249,-5.606345,1.635493,-5.468807,-3.3438277,0.8198124,0.6828442,0.3689142,0.8329274,0.44999826,0.5402611,0.95162255,1.1571313,1.402837,1.2159562,1.4741528,1.2123404,0.07511497,10.415762,-0.5174609,0.04837037,-0.5520279,TASCA_DESTRA_DAVANTI_PANTALONI
-0.2157671,10.786677,3.2843077,10.645712,-1.0054073,-0.79841536,9.69407,3.1135302,11.466671,-1.0085208,-1.7333171,10.64941,3.2633433,12.538227,-1.6129276,5.3476677,6.221024,2.494198,8.39703,0.10425937,0.27024418,0.124482185,-0.04034789,0.46062854,-0.1493016,-0.32412583,1.0548501,1.0064242,1.316779,0.95409214,1.2483091,1.3083738,1.1127088,1.0128896,1.733907,0.91029173,1.5582756,1.7118421,0.92697555,0.6895894,-5.460792,0.74391323,-5.8909774,-7.918904,0.9298461,1.1062757,0.56627667,1.1897407,0.6090004,0.51187664,0.92840475,0.84906036,1.267795,0.9145369,1.3655627,1.4931741,0.03841047,8.569756,0.8925243,0.8210144,0.8134969,TASCA_DESTRA_DAVANTI_PANTALONI
0.12884456,7.688851,2.7728777,11.112822,-0.6692623,1.2694069,28.978186,5.383139,17.28161,-0.59270173,-3.8584232,17.810024,4.2201924,16.860592,-2.4434278,7.720681,11.383564,3.3739538,13.923648,0.081599824,0.10149981,-0.03339306,0.016688237,-0.3289963,0.16441645,-0.49975166,0.51510423,0.6570501,0.82184815,1.2755672,1.5954988,1.2508152,0.26533237,0.4317148,0.6754344,1.6270716,2.5456161,1.5645385,0.6928037,0.3724044,-3.60152,0.5375323,-5.198471,-9.670993,0.61355007,1.3596213,0.43911543,2.2159905,0.71569616,0.32296893,0.64304316,0.65910035,0.79812574,1.0249705,1.2411697,1.2109321,0.08127835,11.731902,0.6052041,-0.28633252,-0.020308608,TASCA_DESTRA_DAVANTI_PANTALONI
0.21884273,25.509903,5.050733,18.694065,-0.72452325,-0.1766452,7.3605633,2.7130358,9.60481,-1.101815,-4.7551155,20.544104,4.5325603,16.747025,-3.750072,8.217385,8.5793495,2.9290526,10.896397,0.22696677,-1.2388829,-0.04602259,0.026631674,0.037148457,-0.021496521,-0.57866526,1.8616537,1.1143223,1.7243572,0.5985658,0.9262503,1.5474492,3.4657543,1.2417141,2.9734075,0.35828108,0.85793954,2.3945992,1.5598545,0.5940322,-2.4549353,0.3808254,-1.5738233,-4.1326637,2.3721406,3.0746613,0.7690419,1.2961547,0.32419744,0.2501225,1.9463233,1.1162618,1.715619,0.57352334,0.8814666,1.5369323,0.0952685,12.237751,-0.4154375,0.21448797,-0.7746299,TASCA_DESTRA_DAVANTI_PANTALONI
0.3525519,10.087365,3.1760612,12.679204,-1.0257936,-2.5694568,5.591861,2.3647115,16.467773,-3.8847284,-1.6827351,11.384132,3.374038,15.149537,-1.6195962,5.5843554,5.436333,2.3315945,13.303381,0.1068713,-0.13720873,-0.20951124,0.06313207,1.5269526,-0.46011698,-0.30133024,1.3431072,0.94132346,1.3621842,0.700855,1.0142037,1.4470947,1.8039371,0.8860899,1.8555458,0.4911978,1.0286089,2.0940828,0.490232,0.68546456,-4.033181,1.3982453,-8.227087,-5.8838654,1.8565315,1.0822605,0.42019302,0.58294755,0.22633229,0.38825497,0.7699404,0.8369367,0.9530813,1.0870149,1.2378638,1.1387734,0.061832026,8.795633,0.08683327,0.3665482,-0.6614442,TASCA_DESTRA_DAVANTI_PANTALONI
-1.2613413,12.661896,3.5583558,11.725756,-0.95210725,-3.0539482,2.8839908,1.6982317,7.5318394,?,-1.4334053,6.0481696,2.4593027,9.301783,-1.4064538,5.7284093,1.7516081,1.3234833,5.5708637,0.40427908,0.4130199,0.87996143,-0.22019051,2.1305547,-0.53312325,-0.25022745,2.09533,1.4468962,2.6886292,0.6905338,1.283153,1.8582045,4.390408,2.0935087,7.2287264,0.47683695,1.6464818,3.452924,0.75931495,1.0519834,-1.5127324,1.3854374,-1.9922329,-1.4379812,?,1.5539911,0.6423289,0.0,0.0,0.41334146,1.5568249,1.2605923,2.1048362,0.80972,1.3520057,1.66972,0.07203397,9.141858,-0.8265136,0.6484278,-0.5526729,TASCA_DESTRA_DAVANTI_PANTALONI
-3.2835886,1.5485452,1.2444056,5.5807443,-15.720507,-1.4155828,3.1891868,1.7858294,11.6151085,-1.582563,-2.2090833,1.9602846,1.4001017,9.085238,-1.8168309,4.7937007,1.3843374,1.1765786,6.1484146,0.23864838,2.319602,1.4864032,-0.6849799,0.640801,-0.2953006,-0.46083045,0.6968222,0.8887966,1.0576476,1.2754998,1.5178156,1.1899772,0.48556116,0.78995943,1.1186184,1.6269,2.303764,1.4160453,0.7371839,0.8954043,-2.722531,1.2146281,-3.6931505,-3.0405607,0.07421135,0.10348255,0.041329946,1.3944303,0.5569222,0.39939046,0.48047286,0.614265,0.9076721,1.2784594,1.8891225,1.4776554,0.087564155,7.4161377,-0.03512697,0.31531537,-0.15635292,TASCA_DESTRA_DAVANTI_PANTALONI
-3.211389,11.632519,3.4106479,19.856564,-3.757953,-1.8272048,6.999707,2.645696,13.120497,-1.8914818,-0.5414495,8.342048,2.8882604,13.229698,-1.1970214,5.8594933,6.5854816,2.5662193,15.757629,0.034870107,1.7575419,5.9310966,-0.548066,3.3746543,-0.31183666,-0.09240551,1.2891307,1.1808658,1.3290554,0.9160171,1.0309703,1.1254925,1.661858,1.3944441,1.7663884,0.8390874,1.0628998,1.2667332,1.8272724,2.175794,-27.547163,1.1907331,-15.075564,-12.660741,0.91971684,0.693056,0.2556106,0.7535537,0.27792314,0.36881664,1.5134003,1.5009083,1.2601237,0.9917457,0.83264405,0.83957416,0.07620984,8.654945,-0.60172564,-0.042530905,0.10501402,TASCA_DESTRA_DAVANTI_PANTALONI
-2.4471657,8.862192,2.9769435,13.670876,-1.3634754,-1.8357825,23.435036,4.840975,16.924627,-2.145639,-3.2339973,8.394867,2.8973897,12.389692,-1.6607373,7.4934745,4.357389,2.087436,8.625437,0.36056396,1.3330368,0.7567,-0.3265729,0.5676512,-0.24498415,-0.43157515,0.61494714,1.0274571,1.4261245,1.6708056,2.319101,1.3880137,0.37815997,1.055668,2.033831,2.7915912,5.378229,1.926582,0.6831651,1.0198425,-1.6215347,1.4928199,-2.373562,-1.5899855,1.0750656,1.2421862,0.4288064,1.1554514,0.3988653,0.34520298,0.80775046,1.1034071,1.5849488,1.3660249,1.9621762,1.4364133,0.0947166,11.69312,0.086097986,-0.20777754,-0.382907,TASCA_DESTRA_DAVANTI_PANTALONI
