@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
4.5411,22.3221,4.7246,20.5835,-0.4172,3.3012,11.8938,3.4487,13.0151,-0.2472,4.5411,22.3221,4.7246,20.5835,-0.4172,9.1625,24.7287,4.9728,19.4414,0.0576,1.3756,1,0.4956,0.727,0.3603,0.4956,1.37,1,0.9501,0.7299,0.6935,0.9501,1.8768,1,0.9027,0.5328,0.481,0.9027,2.3491,1,-5.0957,0.4257,-2.1693,-5.0957,1.3918,1,0.704,0.7185,0.5058,0.704,1.5815,1,1.0588,0.6323,0.6695,1.0588,0.0481,13.2937,-0.8146,1,0.8865,-0.8146,-0.538,0.8865,3.7287,11.2816,3.3588,8.2095,0.065,3.3764,14.5519,3.8147,10.7014,-0.6085,6.4916,2.9559,1.7193,4.8936,0.3881,1.1044,0.5744,0.5201,0.8805,1.9536,2.2188,0.7753,3.8167,4.923,-0.141,0.1839,-1.3042,1.3198,1.0978,0.8319,0.7671,1.6776,2.1868,0.0547,15.0549,-0.906,-0.9452,0.9716,?,?,?,?,?,PANTALONI
3.8399,26.9119,5.1877,21.2989,-0.1607,3.3075,14.7112,3.8355,14.4236,-0.509,3.8399,26.9119,5.1877,21.2989,-0.1607,8.8456,30.7204,5.5426,22.7454,0.1348,1.161,1,0.4341,0.8613,0.3739,0.4341,1.3525,1,0.936,0.7394,0.692,0.936,1.8294,1,0.876,0.5466,0.4789,0.876,0.606,1,-0.8318,1.6502,-1.3726,-0.8318,1.9198,1,0.698,0.5209,0.3636,0.698,1.4767,1,0.9364,0.6772,0.6341,0.9364,0.0424,12.9251,-0.8368,1,0.9348,-0.8368,-0.6835,0.9348,3.0494,11.8274,3.4391,9.0586,-0.021,4.1154,8.5178,2.9185,10.8182,-0.6921,6.8664,2.5067,1.5832,5.1628,0.3805,0.741,0.4441,0.5994,1.1784,2.1722,1.8434,1.3885,4.7184,3.3981,0.042,-0.0586,-1.3952,1.3878,1.0646,0.7671,0.8373,1.7546,2.0954,0.0571,14.7446,-0.8167,-0.9533,0.9157,?,?,?,?,?,PANTALONI
1.7171,2.8196,1.6792,7.0707,-0.3048,6.7,3.6488,1.9102,7.7114,0.2964,1.7171,2.8196,1.6792,7.0707,-0.3048,7.412,5.1376,2.2666,9.4229,0.2954,0.2563,1,0.2317,3.9018,0.9039,0.2317,0.8791,1,0.7408,1.1376,0.8427,0.7408,0.7728,1,0.5488,1.2941,0.7102,0.5488,-0.5084,1,-0.418,-1.9671,0.8223,-0.418,0.4944,1,0.4052,2.0226,0.8195,0.4052,0.9169,1,0.7504,1.0906,0.8184,0.7504,0.0475,10.4939,0.3019,1,0.5807,0.3019,0.9409,0.5807,1.5451,3.7608,1.9393,5.6766,-0.0399,6.5212,0.278,0.5273,2.1236,0.7283,6.8392,0.5069,0.7119,2.2492,0.7098,0.2369,0.2259,0.9535,3.6778,2.7239,0.7406,13.5264,7.4197,0.5485,-0.0383,-0.0396,1.0346,0.6984,0.7042,1.0084,2.6731,2.5238,0.9442,0.0638,14.9392,-0.5584,-0.709,-0.1562,?,?,?,?,?,PANTALONI
1.8612,2.4824,1.5756,10.6941,-0.1395,4.7519,4.5478,2.1326,11.5168,0.089,1.8612,2.4824,1.5756,10.6941,-0.1395,5.7123,6.3911,2.5281,15.4602,0.1565,0.3917,1,0.3258,2.5531,0.8319,0.3258,0.7388,1,0.6232,1.3535,0.8436,0.6232,0.5458,1,0.3884,1.832,0.7116,0.3884,-1.1638,1,-0.4562,-0.8592,0.392,-0.4562,0.7424,1,0.512,1.3469,0.6897,0.512,0.9286,1,0.6917,1.0769,0.7449,0.6917,0.0362,8.6261,0.3649,1,0.7182,0.3649,0.8874,0.7182,1.4947,0.8474,0.9206,3.3975,0.0468,4.2993,0.6967,0.8347,3.1221,0.5095,8.581,0.3459,0.5881,2.6167,0.7148,0.3477,0.1742,0.501,1.1029,1.5652,1.4192,1.2164,2.4499,2.014,0.0514,0.0254,0.4945,0.5599,0.3885,0.6938,1.0882,1.2984,1.1931,0.0648,14.375,0.4264,-0.6411,-0.9551,?,?,?,?,?,PANTALONI
3.373,12.8504,3.5847,14.4659,-0.0454,2.9736,14.1543,3.7622,14.0453,-0.5527,3.373,12.8504,3.5847,14.4659,-0.0454,7.4035,16.6389,4.0791,16.3486,0.1668,1.1343,1,0.4556,0.8816,0.4017,0.4556,0.9528,1,0.8788,1.0495,0.9223,0.8788,0.9079,1,0.7723,1.1015,0.8507,0.7723,0.1257,1,-0.1921,7.9526,-1.5276,-0.1921,1.5297,1,0.7052,0.6537,0.461,0.7052,1.0299,1,0.8848,0.9709,0.8591,0.8848,0.0375,11.2345,-0.6472,1,0.9429,-0.6472,-0.4573,0.9429,2.5633,4.3761,2.0919,6.6415,0.1086,3.3663,10.7015,3.2713,11.2169,-1.0535,7.9044,0.7738,0.8797,2.945,0.6602,0.7615,0.3243,0.4259,0.6395,2.378,3.7187,0.4089,5.655,13.829,-0.1406,0.1414,-1.0058,1.3639,0.8597,0.6303,0.5921,2.2552,3.8088,0.0598,15.027,-0.8355,-0.9014,0.9471,?,?,?,?,?,PANTALONI
3.8561,20.2274,4.4975,16.922,-0.077,4.9442,12.7662,3.573,14.4254,-0.1475,3.8561,20.2274,4.4975,16.922,-0.077,9.1544,23.6023,4.8582,18.7641,0.1585,0.7799,1,0.4212,1.2822,0.5401,0.4212,1.2587,1,0.9257,0.7944,0.7355,0.9257,1.5844,1,0.857,0.6311,0.5409,0.857,0.6521,1,-0.3421,1.5334,-0.5246,-0.3421,1.2499,1,0.7047,0.8001,0.5638,0.7047,1.1731,1,0.9018,0.8525,0.7688,0.9018,0.0491,12.9694,-0.7079,1,0.8392,-0.7079,-0.2622,0.8392,2.9007,9.3138,3.0519,8.5674,0.0172,5.3702,9.4113,3.0678,11.0978,-0.4253,6.2896,0.6965,0.8346,3.2655,0.5521,0.5401,0.4612,0.8538,0.9948,3.6567,3.6758,0.9896,13.3718,13.5118,-0.0453,0.0373,-0.8228,1.1196,1.1958,1.0681,0.772,2.6237,3.3985,0.0584,14.9534,-0.9537,-0.6876,0.8259,?,?,?,?,?,PANTALONI
2.6918,10.8182,3.2891,11.2428,-0.0003,3.2655,8.439,2.905,13.4362,-0.8792,2.6918,10.8182,3.2891,11.2428,-0.0003,6.665,10.8078,3.2875,12.8716,0.2469,0.8243,1,0.4039,1.2131,0.4899,0.4039,1.1322,1,1.0005,0.8832,0.8836,1.0005,1.2819,1,1.001,0.7801,0.7808,1.001,0.0006,1,-0.0009,1679.84,-1.4894,-0.0009,1.5719,1,0.6575,0.6362,0.4183,0.6575,0.8368,1,0.8735,1.1951,1.0439,0.8735,0.0334,9.5945,-0.8627,1,0.9848,-0.8627,-0.8946,0.9848,2.4523,8.7154,2.9522,8.1396,0.0413,3.8161,6.4805,2.5457,11.7479,-0.8228,7.6175,2.435,1.5604,4.2275,0.5221,0.6426,0.3219,0.501,1.1597,1.8919,1.6314,1.3449,3.5792,2.6614,-0.0662,0.076,-1.1483,1.3174,0.9599,0.7286,0.6929,1.9254,2.7789,0.0591,14.5032,-0.5506,-0.9767,0.4092,?,?,?,?,?,PANTALONI
4.4553,20.2538,4.5004,17.8337,-0.0503,1.4622,29.6402,5.4443,16.809,-0.987,4.4553,20.2538,4.5004,17.8337,-0.0503,8.9942,31.0901,5.5759,24.2886,0.0218,3.047,1,0.4954,0.3282,0.1626,0.4954,0.8266,1,0.8071,1.2097,0.9764,0.8071,0.6833,1,0.6515,1.4634,0.9534,0.6515,0.1023,1,-1.5817,9.7711,-15.4551,-1.5817,2.0071,1,0.6839,0.4982,0.3407,0.6839,1.061,1,0.7342,0.9425,0.6921,0.7342,0.0452,14.2452,-0.7762,1,0.9725,-0.7762,-0.6745,0.9725,3.6475,6.5596,2.5612,7.8976,0.0652,2.6769,23.8579,4.8844,13.6933,-1.2787,6.5292,2.6356,1.6234,4.3333,0.4528,1.3626,0.5586,0.41,0.5244,1.5776,3.0087,0.2749,2.4889,9.0523,-0.0717,0.1536,-2.1433,1.4059,1.0669,0.7589,0.5767,1.8226,3.1601,0.0555,15.5528,-0.68,-0.8374,0.9549,?,?,?,?,?,PANTALONI
4.3625,34.5271,5.876,24.2334,-0.1417,1.9628,39.7444,6.3043,23.9763,-0.7869,4.3625,34.5271,5.876,24.2334,-0.1417,10.0184,50.3459,7.0955,29.9575,0.0344,2.2226,1,0.4355,0.4499,0.1959,0.4355,0.9321,1,0.8281,1.0729,0.8885,0.8281,0.8687,1,0.6858,1.1511,0.7894,0.6858,0.2848,1,-2.8157,3.5106,-9.8849,-2.8157,1.5819,1,0.6841,0.6321,0.4325,0.6841,1.0107,1,0.8089,0.9894,0.8003,0.8089,0.0443,15.3601,-0.7984,1,0.913,-0.7984,-0.5791,0.913,3.4202,9.6503,3.1065,8.9335,0.0177,3.237,33.8506,5.8181,15.8723,-0.9132,5.217,3.2744,1.8095,5.5685,0.2078,1.0566,0.6556,0.6205,0.5339,1.7167,3.2153,0.2851,2.9472,10.3381,-0.0213,0.1104,-5.1881,1.0963,1.2939,1.1803,0.5628,1.6043,2.8504,0.0481,15.0539,-0.7486,-0.8145,0.9064,?,?,?,?,?,PANTALONI
2.1412,20.6328,4.5423,19.2453,-0.2704,3.3905,24.6982,4.9697,20.6319,-0.857,2.1412,20.6328,4.5423,19.2453,-0.2704,8.2391,18.7462,4.3297,21.0011,0.0331,0.6315,1,0.2599,1.5835,0.4115,0.2599,0.914,1,1.0491,1.0941,1.1478,1.0491,0.8354,1,1.1006,1.197,1.3175,1.1006,0.4302,1,-5.6913,2.3243,-13.2285,-5.6913,1.3635,1,0.6974,0.7334,0.5115,0.6974,0.9328,1,0.9164,1.072,0.9824,0.9164,0.0322,12.1815,-0.6936,1,0.8224,-0.6936,-0.4312,0.8224,1.6436,8.3022,2.8814,9.0829,-0.1343,4.2543,18.2276,4.2694,15.5012,-1.0856,6.9227,0.9374,0.9682,3.2455,0.5886,0.3863,0.2374,0.6145,0.6749,2.976,4.4095,0.4555,8.8563,19.4441,0.1333,-0.2316,-1.7375,1.0774,1.015,0.9421,0.5859,2.7986,4.7762,0.0588,14.9543,-0.6817,-0.7987,0.8513,?,?,?,?,?,PANTALONI
