@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
-0.4342,3.1068,1.7626,7.395,-3.7006,-3.4948,14.3136,3.7833,11.414,-19.2704,1.1086,7.1455,2.6731,10.2792,-0.2626,4.7148,15.968,3.996,12.9661,0.0212,0.1242,-0.3917,-0.0921,-3.1525,-0.7412,0.2351,0.4659,0.6594,0.4411,1.4153,0.9468,0.6689,0.2171,0.4348,0.1946,2.0032,0.8964,0.4475,0.5365,2.7235,-20.744,5.0762,-38.664,-7.6168,2.7939,0.1932,0.1188,0.0692,0.0425,0.6146,0.6479,0.7194,0.5703,1.1104,0.8803,0.7928,0.0369,6.7921,0.5897,-0.7495,-0.6813,-0.5803,-0.9644,0.7162,-0.0233,0.8927,0.9449,3.7742,-1.3497,-0.6516,1.4334,1.1973,5.681,-1.2208,1.4446,3.0426,1.7443,5.423,-0.045,0.0358,-0.0162,-0.4511,0.7892,0.5417,0.6864,0.6228,0.2934,0.4711,0.6942,9.2877,13.379,0.6279,0.3095,0.4929,0.6644,0.696,1.0476,0.0158,3.1312,-0.6495,-0.6965,0.2652,4.0758,0.0005,0.0234,0.0477,0.9883,DAVANTI_PANTALONI
2.1245,9.1843,3.0306,12.2974,-0.2134,-2.0675,22.5505,4.7487,20.9743,-1.754,1.2757,24.9536,4.9954,20.6633,-0.5898,6.5907,23.6664,4.8648,17.0742,0.0294,-1.0276,1.6653,0.3223,-1.6207,-0.3137,0.1936,0.6382,0.6067,0.623,0.9506,0.9761,1.0268,0.4073,0.3681,0.3881,0.9037,0.9529,1.0544,0.1619,0.2821,-4.1876,1.7426,-25.869,-14.8455,1.3307,0.7798,0.5762,0.586,0.433,0.7389,0.5863,0.5951,0.7202,1.0151,1.2284,1.2102,0.034,10.2282,-0.4355,-0.142,0.5394,-0.5084,-0.7483,0.5283,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,36.2632,182.9728,13.5267,32,0.4182,DAVANTI_PANTALONI
-0.2772,0.4242,0.6513,3.4341,-2.408,0.5947,1.7721,1.3312,5.8339,-0.554,1.0036,7.5266,2.7435,8.6925,-0.5705,2.7442,3.63,1.9053,5.6481,0.0138,-0.4662,-0.2762,-0.101,0.5926,0.2167,0.3657,0.4893,0.2374,0.3419,0.4852,0.6987,1.4399,0.2394,0.0564,0.1169,0.2354,0.4882,2.0734,1.1666,0.7684,-30.6546,0.6587,-26.2764,-39.8917,0.2684,0.1821,0.1759,0.6782,0.6555,0.9664,0.5886,0.3951,0.608,0.6711,1.0329,1.539,0.0136,3.762,0.4123,-0.1707,-0.2598,0.0998,0.3236,0.6712,0.6257,0.5419,0.7362,1.9719,-0.1055,-1.418,2.43,1.5588,4.9614,?,1.0428,1.439,1.1996,2.9175,-0.0315,-0.4412,0.6,-1.3597,0.4723,0.6137,1.2995,0.223,0.3766,1.6886,0.0379,2.1096,55.6301,0,0.6307,0,0.3974,0.6759,1.7006,0.0212,3.1814,-0.7067,0.9654,-0.561,2,0,0,0,1,DAVANTI_PANTALONI
0.0286,0.0146,0.1209,0.555,-0.6353,0.0806,0.0153,0.1237,0.627,-0.505,0.0126,0.0101,0.1006,0.4893,-0.6463,0.1966,0.0088,0.094,0.4419,0.0931,0.3553,2.2641,0.1456,6.3722,0.4097,0.0643,0.9777,1.2021,1.2863,1.2294,1.3156,1.0701,0.956,1.445,1.6547,1.5115,1.7309,1.1451,1.0248,1.1226,-4.7525,1.0954,-4.6377,-4.2336,0.8147,1.1421,0.6966,1.4018,0.855,0.6099,0.8852,1.1344,1.2561,1.2815,1.419,1.1072,0.0009,0.303,0.5172,-0.1916,0.4102,0.6375,0.5163,0.2177,0.0513,0.001,0.032,0.1087,0.0893,0.0274,0.0006,0.025,0.1087,-0.3421,0.0366,0.0003,0.0163,0.0597,0.2,1.868,1.4023,0.7507,1.2832,1.9598,1.5273,1.6465,3.8408,2.3327,-0.3846,0.7143,-1.8572,1.4737,1.6,1.0857,1,1.8214,1.8214,0.0007,0.118,-0.6153,0.7216,-0.1441,4.1432,0,0,0,1,DAVANTI_PANTALONI
0.0061,0.0081,0.0901,0.4808,-1.5756,0.0191,0.0194,0.1392,0.6875,-1.0083,0.0032,0.0128,0.1133,0.4986,-1.1671,0.1741,0.0104,0.1022,0.4402,0.0363,0.3212,1.9114,0.0353,5.9515,0.1099,0.0185,0.6471,0.7954,0.8819,1.2291,1.3627,1.1087,0.4188,0.6327,0.7777,1.5108,1.857,1.2292,0.852,1.0954,-17.7138,1.2856,-20.7901,-16.1716,0.5453,0.8114,0.4087,1.488,0.7495,0.5037,0.6993,0.9643,1.0922,1.379,1.5619,1.1327,0.0002,0.2719,0.3932,0.1685,0.0206,0.9407,-0.0532,-0.0599,0.0266,0.0001,0.0074,0.0309,0.2162,0.039,0,0.0047,0.0298,0.44,0.0112,0.0001,0.0078,0.0352,-0.1379,0.6812,2.3821,3.4967,1.5721,0.9526,0.6059,2.4714,0.9074,0.3672,0.3636,-1.9998,-5.4995,0.74,1.2759,1.7241,1.0357,0.8788,0.8485,0.0005,0.077,-0.1572,0.0399,0.6354,4.1432,0,0,0,1,DAVANTI_PANTALONI
1.7377,7.0486,2.6549,11.3498,-0.9621,-1.1694,13.8788,3.7254,18.2144,-1.6879,1.4871,14.9536,3.867,17.0334,-0.9812,5.8985,7.6874,2.7726,11.1814,0.1045,-1.486,1.1685,0.2946,-0.7863,-0.1982,0.2521,0.7126,0.6866,0.9575,0.9634,1.3436,1.3947,0.5079,0.4714,0.9169,0.9281,1.8054,1.9452,0.4866,0.6597,-4.2666,1.3558,-8.7689,-6.4676,0.8536,0.6728,0.4633,0.7882,0.5427,0.6886,0.6231,0.6663,1.0151,1.0693,1.629,1.5234,0.0259,8.7706,-0.5672,-0.3936,0.1043,0.0136,-0.5493,0.3637,-0.2994,1.1886,1.0902,5.3096,-3.4437,-1.115,3.852,1.9627,7.5804,-0.9675,1.2563,1.7833,1.3354,4.4679,-0.3727,0.2685,-0.2383,-0.8875,0.5555,0.8164,1.4697,0.3086,0.6665,2.1601,1.1039,3.3921,3.073,0.3101,0.3671,1.1837,0.7004,1.1884,1.6966,0.0172,4.1692,-0.6099,0.5782,-0.2128,3.6566,5.9427,2.4378,7,0,DAVANTI_PANTALONI
0.0264,0.0121,0.1101,0.5697,-0.734,-0.0251,0.0665,0.2578,1.234,-1.1744,0.0064,0.0152,0.1235,0.6204,-0.705,0.2752,0.0194,0.1394,0.6211,0.0894,-1.052,4.1376,0.0958,-3.9329,-0.091,0.0231,0.4271,0.8916,0.7897,2.0877,1.8491,0.8857,0.1824,0.7949,0.6236,4.3584,3.419,0.7845,0.3618,0.94,-3.9532,2.5978,-10.9253,-4.2056,0.579,0.903,0.4817,1.5596,0.832,0.5335,0.4617,0.9183,0.9173,1.9889,1.9868,0.999,0.0004,0.3912,0.0288,0.0722,0.1477,0.2558,-0.2279,0.0593,-0.0209,0.0001,0.0099,0.0458,?,0.027,0.0003,0.0175,0.0767,-0.1077,0.002,0.0002,0.0125,0.0448,-0.9091,-0.7762,-10.388,13.3828,0.5625,0.7871,1.3995,0.3164,0.6196,1.9585,6.1428,2.15,0.35,0,0,2.9546,0.5972,1.0238,1.7143,0.0003,0.0592,-0.4513,-0.1369,0.7315,4.1432,0,0,0,1,DAVANTI_PANTALONI
1.016,0.3543,0.5952,2.4864,-0.0749,0.1431,3.8972,1.9741,10.7032,-0.2861,0.4502,2.8115,1.6767,6.226,-0.5634,2.4522,2.3051,1.5183,8.3686,0.0278,7.0979,2.2567,0.4143,0.3179,0.0584,0.1836,0.3015,0.355,0.392,1.1774,1.3003,1.1044,0.0909,0.126,0.1537,1.3862,1.6907,1.2197,0.0728,0.0772,-0.7251,1.0612,-9.9653,-9.3907,0.2779,0.5808,0.2687,2.0897,0.9669,0.4627,0.2323,0.3993,0.2971,1.7191,1.279,0.744,0.0111,3.6992,-0.3189,0.0641,0.2394,-0.0078,0.6552,0.4143,0.2509,1.0117,1.0058,3.9682,-0.2506,-0.8341,0.549,0.741,2.3417,-24.8471,0.268,0.2329,0.4826,2.0752,-0.5247,-0.3008,0.9359,-3.1117,1.3574,2.084,1.5353,1.8426,4.3432,2.3571,0.3532,1.1134,3.1522,35.0236,2.3312,0.0666,1.6946,1.9122,1.1284,0.009,1.8168,-0.0217,-0.4241,-0.428,9.16,12.9121,3.5933,10.7257,0.2786,DAVANTI_PANTALONI
-0.1104,2.2873,1.5124,6.6002,-0.9749,-2.5178,9.5233,3.086,17.8988,-1.7035,1.1604,8.4335,2.9041,12.4629,-0.6685,4.2369,9.9904,3.1608,12.1848,0.0236,0.0439,-0.0952,-0.0261,-2.1698,-0.5942,0.2739,0.4901,0.5208,0.4785,1.0626,0.9763,0.9188,0.2402,0.2712,0.2289,1.1292,0.9532,0.8442,0.2889,0.6525,-11.054,2.2587,-38.2634,-16.9406,0.5048,0.4474,0.2678,0.8863,0.5305,0.5985,0.3688,0.5296,0.5417,1.4362,1.4689,1.0228,0.0275,6.5249,-0.0714,0.2333,0.308,-0.5504,-0.7969,0.6034,-0.3572,1.7408,1.3194,5.7545,-2.0572,-1.3349,2.1393,1.4626,6.3386,-2.5231,0.1655,1.217,1.1032,3.9053,-0.7202,0.2675,-2.1575,-8.0638,0.9021,1.196,1.3259,0.8137,1.4304,1.7579,0.853,2.3683,2.7764,1.0462,0.8291,0.7925,0.9079,1.4735,1.6231,0.0138,3.4266,0.2138,0.0002,-0.5609,13.2309,44.6438,6.6816,18.5326,0.1827,DAVANTI_PANTALONI
-1.9363,12.0466,3.4708,11.6445,-2.6633,-1.8609,9.1097,3.0182,14.173,-1.6932,1.1135,27.9928,5.2908,18.7913,-0.3718,6.2207,18.904,4.3479,15.6609,0.0313,1.0405,-1.7389,-0.3113,-1.6712,-0.2991,0.179,1.15,0.656,0.7983,0.5705,0.6942,1.2169,1.3224,0.4303,0.6373,0.3254,0.4819,1.4808,0.9501,1.6621,-16.7039,1.7494,-17.5812,-10.0498,0.604,0.2321,0.1966,0.3842,0.3255,0.8472,0.8216,0.6197,0.7435,0.7542,0.905,1.1999,0.0297,9.6754,0.7333,-0.4743,-0.6207,-0.4864,-0.5182,0.6792,0.8232,1.3243,1.1508,4.7563,-0.4258,-0.9571,3.2768,1.8102,7.4437,-1.8138,1.1656,2.4199,1.5556,5.002,-0.2291,-0.8601,0.7063,-0.8211,0.6357,0.7398,1.1637,0.4042,0.5473,1.3541,0.296,1.5234,5.1461,1.261,0.8197,0.65,0.639,0.9509,1.4881,0.0175,3.6787,-0.4612,0.824,-0.4651,7.4286,88.3673,9.4004,25,0,DAVANTI_PANTALONI
