@RELATION WhereIsSmartphone
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
1094.6012,207782.23,455.83136,1398.83,0.104085855,TASCA_DESTRA_DAVANTI_PANTALONI
1612.5969,267865.84,517.55756,2204.11,0.12704062,TASCA_DESTRA_DAVANTI_PANTALONI
1027.3457,210468.2,458.76813,1530.1283,0.04270294,TASCA_DESTRA_DAVANTI_PANTALONI
438.7923,52256.527,228.59686,682.53235,0.0068584373,TASCA_DESTRA_DAVANTI_PANTALONI
1714.3606,280532.03,529.6528,1917.0475,0.10531324,TASCA_DESTRA_DAVANTI_PANTALONI
714.9076,219493.78,468.50165,1290.1682,0.0032010681,TASCA_DESTRA_DAVANTI_PANTALONI
4.0662584,5.466253E-4,0.023380019,0.047724247,0.98834544,TASCA_DESTRA_DAVANTI_PANTALONI
37.582455,128.0398,11.315467,32.0,0.4181818,TASCA_DESTRA_DAVANTI_PANTALONI
365.43643,19701.623,140.36247,350.0,0.39965695,TASCA_DESTRA_DAVANTI_PANTALONI
284.9007,33658.99,183.46387,481.0,0.21661238,TASCA_DESTRA_DAVANTI_PANTALONI
295.94406,9579.947,97.877205,301.0,0.3568376,TASCA_DESTRA_DAVANTI_PANTALONI
195.11847,3309.7202,57.530167,262.0,0.054151624,TASCA_DESTRA_DAVANTI_PANTALONI
31.650177,16.821098,4.101353,17.0,0.6136364,TASCA_DESTRA_DAVANTI_PANTALONI
21.164913,15.239481,3.9037778,21.0,0.3,TASCA_DESTRA_DAVANTI_PANTALONI
252.41667,1320.243,36.335148,250.0,0.18566775,TASCA_DESTRA_DAVANTI_PANTALONI
2.0,0.0,0.0,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
2.4,0.47448283,0.68882716,2.0,0.5,TASCA_DESTRA_DAVANTI_PANTALONI
2.0,0.0,0.0,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
11.465649,38.79846,6.228841,18.0,0.05263158,TASCA_DESTRA_DAVANTI_PANTALONI
0.0,0.0,0.0,1.4E-45,0.0,TASCA_DESTRA_DAVANTI_PANTALONI
1.0,0.0,0.0,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
15.343512,76.07286,8.721975,21.0,0.0,TASCA_DESTRA_DAVANTI_PANTALONI
4.1431837,2.2737368E-11,4.7683716E-6,0.0,1.0,TASCA_DESTRA_DAVANTI_PANTALONI
