@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
4.5411,22.3221,4.7246,20.5835,-0.4172,3.3012,11.8938,3.4487,13.0151,-0.2472,4.5411,22.3221,4.7246,20.5835,-0.4172,9.1625,24.7287,4.9728,19.4414,0.0576,1.3756,1,0.4956,0.727,0.3603,0.4956,1.37,1,0.9501,0.7299,0.6935,0.9501,1.8768,1,0.9027,0.5328,0.481,0.9027,2.3491,1,-5.0957,0.4257,-2.1693,-5.0957,1.3918,1,0.704,0.7185,0.5058,0.704,1.5815,1,1.0588,0.6323,0.6695,1.0588,0.0481,13.2937,-0.8146,1,0.8865,-0.8146,-0.538,0.8865,1094.6012,207782.2344,455.8314,1398.83,0.1041,1100,0,0,0,1,DAVANTI_PANTALONI
3.8399,26.9119,5.1877,21.2989,-0.1607,3.3075,14.7112,3.8355,14.4236,-0.509,3.8399,26.9119,5.1877,21.2989,-0.1607,8.8456,30.7204,5.5426,22.7454,0.1348,1.161,1,0.4341,0.8613,0.3739,0.4341,1.3525,1,0.936,0.7394,0.692,0.936,1.8294,1,0.876,0.5466,0.4789,0.876,0.606,1,-0.8318,1.6502,-1.3726,-0.8318,1.9198,1,0.698,0.5209,0.3636,0.698,1.4767,1,0.9364,0.6772,0.6341,0.9364,0.0424,12.9251,-0.8368,1,0.9348,-0.8368,-0.6835,0.9348,1612.5969,267865.8438,517.5576,2204.1101,0.127,1100,0,0,0,1,DAVANTI_PANTALONI
1.7171,2.8196,1.6792,7.0707,-0.3048,6.7,3.6488,1.9102,7.7114,0.2964,1.7171,2.8196,1.6792,7.0707,-0.3048,7.412,5.1376,2.2666,9.4229,0.2954,0.2563,1,0.2317,3.9018,0.9039,0.2317,0.8791,1,0.7408,1.1376,0.8427,0.7408,0.7728,1,0.5488,1.2941,0.7102,0.5488,-0.5084,1,-0.418,-1.9671,0.8223,-0.418,0.4944,1,0.4052,2.0226,0.8195,0.4052,0.9169,1,0.7504,1.0906,0.8184,0.7504,0.0475,10.4939,0.3019,1,0.5807,0.3019,0.9409,0.5807,1027.3457,210468.2031,458.7681,1530.1283,0.0427,1100,0,0,0,1,DAVANTI_PANTALONI
1.8612,2.4824,1.5756,10.6941,-0.1395,4.7519,4.5478,2.1326,11.5168,0.089,1.8612,2.4824,1.5756,10.6941,-0.1395,5.7123,6.3911,2.5281,15.4602,0.1565,0.3917,1,0.3258,2.5531,0.8319,0.3258,0.7388,1,0.6232,1.3535,0.8436,0.6232,0.5458,1,0.3884,1.832,0.7116,0.3884,-1.1638,1,-0.4562,-0.8592,0.392,-0.4562,0.7424,1,0.512,1.3469,0.6897,0.512,0.9286,1,0.6917,1.0769,0.7449,0.6917,0.0362,8.6261,0.3649,1,0.7182,0.3649,0.8874,0.7182,438.7923,52256.5273,228.5969,682.5323,0.0069,1100,0,0,0,1,DAVANTI_PANTALONI
3.373,12.8504,3.5847,14.4659,-0.0454,2.9736,14.1543,3.7622,14.0453,-0.5527,3.373,12.8504,3.5847,14.4659,-0.0454,7.4035,16.6389,4.0791,16.3486,0.1668,1.1343,1,0.4556,0.8816,0.4017,0.4556,0.9528,1,0.8788,1.0495,0.9223,0.8788,0.9079,1,0.7723,1.1015,0.8507,0.7723,0.1257,1,-0.1921,7.9526,-1.5276,-0.1921,1.5297,1,0.7052,0.6537,0.461,0.7052,1.0299,1,0.8848,0.9709,0.8591,0.8848,0.0375,11.2345,-0.6472,1,0.9429,-0.6472,-0.4573,0.9429,1714.3606,280532.0312,529.6528,1917.0475,0.1053,1100,0,0,0,1,DAVANTI_PANTALONI
3.8561,20.2274,4.4975,16.922,-0.077,4.9442,12.7662,3.573,14.4254,-0.1475,3.8561,20.2274,4.4975,16.922,-0.077,9.1544,23.6023,4.8582,18.7641,0.1585,0.7799,1,0.4212,1.2822,0.5401,0.4212,1.2587,1,0.9257,0.7944,0.7355,0.9257,1.5844,1,0.857,0.6311,0.5409,0.857,0.6521,1,-0.3421,1.5334,-0.5246,-0.3421,1.2499,1,0.7047,0.8001,0.5638,0.7047,1.1731,1,0.9018,0.8525,0.7688,0.9018,0.0491,12.9694,-0.7079,1,0.8392,-0.7079,-0.2622,0.8392,714.9076,219493.7812,468.5016,1290.1682,0.0032,1100,0,0,0,1,DAVANTI_PANTALONI
4.3549,34.5504,5.878,25.7259,-0.212,1.9841,39.8482,6.3125,25.8639,-0.7427,4.3549,34.5504,5.878,25.7259,-0.212,10.0634,49.543,7.0387,30.0608,0.0343,2.1949,1,0.4327,0.4556,0.1972,0.4327,0.9312,1,0.8351,1.0739,0.8968,0.8351,0.8671,1,0.6974,1.1533,0.8043,0.6974,0.4083,1,-4.213,2.4494,-10.3195,-4.213,1.4302,1,0.6819,0.6992,0.4768,0.6819,0.9947,1,0.8558,1.0054,0.8604,0.8558,0.0222,15.4742,-0.7912,1,0.9121,-0.7912,-0.5823,0.9121,365.4364,19701.623,140.3625,350,0.3997,1100,0,0,0,1,DAVANTI_PANTALONI
2.1618,21.0256,4.5854,19.5298,-0.2654,3.3422,24.7879,4.9787,20.783,-0.8455,2.1618,21.0256,4.5854,19.5298,-0.2654,8.2984,18.4922,4.3003,21.4075,0.0325,0.6468,1,0.2605,1.546,0.4027,0.2605,0.921,1,1.0663,1.0858,1.1578,1.0663,0.8482,1,1.137,1.1789,1.3404,1.137,0.4302,1,-5.6913,2.3243,-13.2285,-5.6913,1.3705,1,0.6975,0.7297,0.5089,0.6975,0.9397,1,0.9123,1.0642,0.9708,0.9123,0.0161,12.3693,-0.6813,1,0.8306,-0.6813,-0.447,0.8306,284.9007,33658.9883,183.4639,481,0.2166,1100,0,0,0,1,DAVANTI_PANTALONI
4.4389,30.8396,5.5533,23.9323,-0.2112,1.6361,39.4381,6.28,25.7354,-0.9031,4.4389,30.8396,5.5533,23.9323,-0.2112,9.7781,47.5901,6.8986,29.7787,0.0202,2.7131,1,0.454,0.3686,0.1673,0.454,0.8843,1,0.805,1.1308,0.9103,0.805,0.782,1,0.648,1.2788,0.8287,0.648,0.3417,1,-6.7835,2.9268,-19.8541,-6.7835,1.4612,1,0.6501,0.6844,0.4449,0.6501,0.9299,1,0.8037,1.0753,0.8642,0.8037,0.0227,15.0781,-0.8068,1,0.9377,-0.8068,-0.6621,0.9377,295.9441,9579.9473,97.8772,301,0.3568,1100,0,0,0,1,DAVANTI_PANTALONI
2.908,23.6473,4.8629,15.2654,-0.0501,2.2323,4.2044,2.0505,6.7612,-0.3577,2.908,23.6473,4.8629,15.2654,-0.0501,6.388,32.5886,5.7086,19.0698,0.0727,1.3027,1,0.4552,0.7677,0.3495,0.4552,2.3716,1,0.8518,0.4217,0.3592,0.8518,5.6244,1,0.7256,0.1778,0.129,0.7256,0.4086,1,-0.4871,2.4474,-1.1921,-0.4871,2.9192,1,0.7069,0.3426,0.2422,0.7069,2.2578,1,0.8005,0.4429,0.3546,0.8005,0.0357,8.7814,-0.88,1,0.9804,-0.88,-0.7849,0.9804,11.4656,38.7985,6.2288,18,0.0526,125000,0,0,0,1,DAVANTI_PANTALONI
