@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-0.2531,1.0374,1.0185,7.8938,-1.505,-0.6102,1.9079,1.3813,6.8843,-1.503,0.014,2.706,1.645,7.8632,-0.6007,1.9233,2.389,1.5456,5.98,0.0241,0.4148,-18.112,-0.1316,-43.6611,-0.3173,0.0073,0.7374,0.6192,0.659,0.8397,0.8937,1.0643,0.5438,0.3834,0.4343,0.7051,0.7986,1.1327,1.1472,1.6072,-32.139,1.4009,-28.014,-19.9972,1.1457,0.6415,0.5143,0.5599,0.4489,0.8017,1.1466,1.0039,1.32,0.8755,1.1512,1.3149,0.0044,2.8833,0.4652,0.0067,-0.2586,0.5491,-0.5923,-0.006,0.0669,0.0246,0.157,0.5407,-2.417,-0.2623,0.0145,0.1203,0.5118,?,-0.6073,0.0141,0.1187,0.6726,?,-0.2551,-0.1102,0.4319,1.3044,1.3222,1.0136,1.7015,1.7481,1.0274,0.7473,0.5686,0.7609,0,0,1,1.0565,0.8039,0.7609,0.0044,1.0275,0.6271,-0.9879,-0.5228,0.0005,0.6019,0.7758,3.7742,-1.3497,-0.4261,1.0576,1.0284,5.681,-1.2208,0.9719,2.4755,1.5734,5.423,-0.045,-0.0011,0.0005,-0.4384,0.7544,0.4931,0.6536,0.5692,0.2432,0.4272,0.6942,9.2877,13.379,0.6279,0.3095,0.4929,0.6644,0.696,1.0476,0.0071,2.1446,-0.6002,-0.645,0.0964,TASCA_DESTRA_DAVANTI_PANTALONI
-0.009,7.4681,2.7328,13.1659,-0.7369,-1.0323,15.3437,3.9171,19.2939,-1.5198,0.0874,14.1532,3.7621,20.5396,-0.9513,4.5721,17.134,4.1393,13.5367,0.0106,0.0087,-0.1024,-0.002,-11.8044,-0.2258,0.0191,0.6977,0.7264,0.6602,1.0412,0.9463,0.9089,0.4867,0.5277,0.4359,1.0841,0.8955,0.826,0.48,0.5578,-38.4296,1.1622,-80.0621,-68.8904,0.99,0.7201,0.554,0.7274,0.5596,0.7694,0.6824,0.641,0.9726,0.9394,1.4253,1.5173,0.0037,6.9276,-0.5704,-0.4341,0.1681,0.0288,-0.577,0.1049,0.293,0.0064,0.0803,0.2958,0.2611,-0.1427,0.054,0.2323,0.649,-5.7392,0.4472,0.0235,0.1533,0.4512,0.4129,-2.0532,0.6551,-0.319,0.3456,0.5239,1.5159,0.1195,0.2745,2.2978,-0.1891,0.3294,-1.7416,4.1573,0.5209,0.1253,0.4558,0.6556,1.4384,0.0019,0.9278,0.7153,-0.8646,-0.949,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.2692,0.5204,0.7214,3.6556,-3.8189,0.3792,1.2901,1.1358,5.4187,-0.6421,0.7605,5.9223,2.4336,8.5944,-0.4898,2.1511,3.8999,1.9748,6.4015,0.016,-0.71,-0.354,-0.1252,0.4986,0.1763,0.3535,0.6351,0.2964,0.3653,0.4667,0.5752,1.2323,0.4033,0.0879,0.1334,0.2178,0.3308,1.5186,1.3672,1.0253,-27.8942,0.7499,-20.4022,-27.2072,0.2299,0.1315,0.1166,0.572,0.5072,0.8868,0.6746,0.4253,0.5711,0.6305,0.8465,1.3426,0.027,3.0383,0.2205,-0.4369,-0.5393,0.064,0.2179,0.7386,0.2757,0.0334,0.1827,0.4967,0.2381,0.058,0.0162,0.1275,0.3826,-1.6481,0.7543,0.0007,0.0269,0.0752,0.9029,4.7506,0.3654,0.0769,1.4333,6.8031,4.7464,2.0544,46.2826,22.5286,-0.6518,0.2219,-0.3405,4.5116,0.8416,0.1865,1.2981,6.6048,5.0881,0.0061,1.163,-0.9967,-0.9847,0.9701,0.4262,0.4469,0.6685,1.9719,-0.1055,-0.9554,2.0704,1.4389,5.0238,-79.6275,0.6945,1.215,1.1023,2.9175,-0.0315,-0.4461,0.6137,-1.3757,0.4646,0.6064,1.3054,0.2158,0.3678,1.704,0.0379,2.1096,55.6301,28.6275,0.6307,0.022,0.3925,0.6759,1.7219,0.0096,2.1614,-0.7627,0.9702,-0.6522,TASCA_DESTRA_DAVANTI_PANTALONI
-0.6194,0.0139,0.1178,0.8897,?,-0.4642,0.0186,0.1365,0.838,?,-0.2252,0.0128,0.1131,0.6067,-6.2451,0.8181,0.0257,0.1604,0.8051,0.3386,1.3344,2.7509,-0.7571,2.0615,-0.5673,-0.2752,0.8631,1.0416,0.7345,1.2069,0.851,0.7051,0.7449,1.085,0.5394,1.4566,0.7242,0.4972,1.0617,1.7015,-2.1591,1.6026,-2.0336,-1.269,1,0,0,0,0,0.0688,1.0617,1.4666,1.1051,1.3814,1.0409,0.7535,0.0054,1.3107,0.4862,-0.0353,-0.796,0.7728,-0.9066,-0.5411,0.5841,0,0.0032,0.0093,0.9842,-0.1347,0.0002,0.0129,0.1511,?,-0.7486,0,0.0012,0.7503,?,-4.3352,-0.7803,0.18,0.2503,2.582,10.3166,0.0626,6.6665,106.4315,-3.8381,-0.773,0.2014,0,0,1,0.0617,0.0124,0.2014,0.0064,1.4674,0.9745,0.7133,0.6048,0.0466,0.0009,0.0306,0.145,-0.2143,0.0341,0.0012,0.0347,0.1716,-0.3644,0.0246,0.0006,0.0248,0.1087,-0.4571,1.3683,1.8924,1.383,0.8808,1.23,1.3964,0.7759,1.5128,1.9498,0.5581,0.75,1.3438,0.9492,1.6,1.6857,0.8447,1.3333,1.5784,0.0004,0.1167,-0.6876,0.5876,-0.4525,TASCA_DESTRA_DAVANTI_PANTALONI
-0.5059,0.0095,0.0973,0.8063,?,-0.3907,0.019,0.1379,0.7279,?,-0.1993,0.0128,0.113,0.5362,-6.5331,0.6837,0.022,0.1483,0.7294,0.34,1.295,2.5388,-0.7399,1.9605,-0.5713,-0.2914,0.7052,0.8605,0.6559,1.2201,0.9301,0.7623,0.4973,0.7404,0.4302,1.4887,0.8651,0.5811,1.1077,1.7338,-2.1462,1.5652,-1.9375,-1.2379,1,0,0,0,0,0.0644,1.1077,1.5036,1.1054,1.3574,0.9979,0.7352,0.0045,1.0979,0.365,0.1087,-0.6797,0.9338,-0.9206,-0.7835,0.5415,0,0.0009,0.0035,0.9936,-0.2139,0,0.0009,0.2156,?,-0.7586,0,0.0028,0.764,?,-2.5319,-0.7138,0.2819,1.0321,0.3314,0.3211,1.0652,0.1098,0.1031,-2.5,-0.7056,0.2822,0,0,1,0.0161,0.0045,0.2822,0.0064,1.514,-0.7431,0.9311,-0.8288,0.0248,0.0001,0.0076,0.0309,0.2162,0.0398,0.0001,0.0087,0.0501,0.2656,0.011,0.0001,0.0078,0.0352,-0.1379,0.6227,2.2491,3.6117,0.8698,0.9774,1.1238,0.7565,0.9553,1.2628,0.4706,-1.9998,-4.2497,0.5781,1.2759,2.2069,0.617,0.8788,1.4242,0.0003,0.0759,-0.2381,-0.0139,0.0866,TASCA_DESTRA_DAVANTI_PANTALONI
0.3797,5.2595,2.2934,13.0295,-1.3826,-1.2314,9.8314,3.1355,16.2717,-1.097,0.2914,8.4448,2.906,12.8955,-0.8782,3.8627,10.3609,3.2188,11.5193,0.0018,-0.3084,1.303,0.0983,-4.2254,-0.3188,0.0754,0.7314,0.7892,0.7125,1.079,0.9741,0.9028,0.535,0.6228,0.5076,1.1642,0.9489,0.8151,0.8883,1.254,-367.8748,1.4117,-414.1549,-293.366,0.7048,0.7965,0.4739,1.1301,0.6724,0.595,0.8007,1.0104,1.1311,1.2618,1.4126,1.1195,0.0045,5.9701,-0.7895,-0.2918,0.144,0.0334,-0.3745,0.3357,0.3421,0.019,0.1379,0.4008,0.3284,-0.0659,0.0996,0.3155,0.8797,-2.019,0.6589,0.0049,0.0701,0.233,0.6935,-5.1945,0.5193,-0.1,0.4371,1.9685,4.504,0.191,3.8749,20.2856,-0.3331,0.3717,-1.1159,2.048,0.785,0.3833,0.4556,1.7201,3.7754,0.0025,1.2824,-0.7552,-0.4109,0.3969,-0.2632,0.8217,0.9065,5.4517,-3.5182,-0.8002,2.802,1.6739,7.605,-0.9739,0.8181,1.5795,1.2568,4.4733,-0.3721,0.3289,-0.3218,-0.9782,0.5415,0.7213,1.3319,0.2933,0.5202,1.774,1.1314,3.4996,3.0932,0.3132,0.3701,1.1818,0.7169,1.2187,1.7001,0.004,2.9286,-0.5693,0.4702,-0.313,TASCA_DESTRA_DAVANTI_PANTALONI
0.2632,0.0118,0.1085,0.5827,-0.0307,-0.3046,0.0625,0.25,1.284,-2.8945,-0.2057,0.0154,0.1243,0.6316,-3.2004,0.5129,0.031,0.1761,0.8228,0.2007,-0.8642,-1.2797,0.5132,1.4808,-0.5938,-0.401,0.4341,0.8735,0.6164,2.0121,1.4199,0.7057,0.1884,0.763,0.3799,4.0486,2.0162,0.498,0.0182,0.036,-0.084,1.9829,-4.6186,-2.3292,1.7148,3.7598,0.5492,2.1925,0.3203,0.1461,0.4538,0.9226,0.7082,2.0328,1.5604,0.7676,0.003,0.804,0.0607,0.0375,0.2999,0.267,-0.8163,-0.4756,0.2265,0,0.0032,0.0101,0.9564,0.5844,0,0.0013,0.0054,0.9908,0.0748,0,0.0017,0.0072,0.9086,0.3876,3.0262,7.8072,2.472,1.8654,0.7546,6.1109,3.4795,0.5694,0.3804,3.0813,8.0997,0.3941,2.9272,7.4273,1.8724,1.3966,0.7459,0.0042,0.8857,0.6883,0.1838,0.8385,-0.021,0.0001,0.0089,0.0458,?,0.0236,0.0003,0.0164,0.0778,-0.1231,-0.0004,0.0001,0.0118,0.048,-1.0455,-0.8915,46.9061,-52.6152,0.5456,0.7591,1.3912,0.2977,0.5762,1.9355,5.375,1.8696,0.3478,0,0,2.9546,0.589,0.9556,1.6222,0.0002,0.0548,-0.2904,-0.0474,0.7433,TASCA_DESTRA_DAVANTI_PANTALONI
0.167,0.7677,0.8762,3.5119,-0.8393,0.1979,1.2859,1.134,6.9998,-0.5797,-0.3352,1.6356,1.2789,6.0405,-1.0204,1.689,1.0157,1.0078,4.522,0.0307,0.8439,-0.4982,0.0989,-0.5904,0.1171,-0.1984,0.7727,0.6851,0.8694,0.8867,1.1252,1.2689,0.597,0.4694,0.7558,0.7862,1.266,1.6102,0.6239,0.5253,-11.1878,0.842,-17.9332,-21.2987,0.4309,0.6386,0.4093,1.4821,0.9498,0.6409,0.5017,0.5814,0.7766,1.1588,1.5479,1.3358,0.0028,2.5711,0.1641,-0.7391,0.066,-0.0782,0.1409,-0.2574,0.1829,0.0007,0.0269,0.1815,0.457,-0.276,0.0165,0.1283,0.5182,?,0.35,0.0008,0.0288,0.1328,0.7084,-0.6627,0.5227,-0.7887,0.2097,0.9336,4.4519,0.044,0.8717,19.8195,-0.2948,0.4735,-1.6062,0,0.734,0,0.3503,1.3669,3.9025,0.0032,0.8089,-0.3558,0.7338,-0.5881,0.1739,0.6889,0.83,3.9682,-0.2506,-0.5298,0.5547,0.7448,2.4078,-14.3674,0.2026,0.165,0.4062,2.0752,-0.5247,-0.3282,0.8583,-2.6151,1.1144,2.0433,1.8335,1.242,4.175,3.3616,0.3532,1.1134,3.1522,20.2517,2.3312,0.1151,1.6481,1.9122,1.1602,0.0039,1.2765,-0.0943,-0.3775,-0.4719,TASCA_DESTRA_DAVANTI_PANTALONI
0.213,1.0522,1.0258,6.8492,-0.992,-0.1713,3.7218,1.9292,9.4087,-1.045,-0.3365,4.1898,2.0469,11.1893,-1.5001,2.5622,2.5871,1.6084,8.5471,0.0271,-1.2431,-0.6328,0.0831,0.5091,-0.0669,-0.1313,0.5317,0.5011,0.6378,0.9425,1.1994,1.2726,0.2827,0.2511,0.4067,0.8883,1.4386,1.6195,0.7094,0.508,-14.3386,0.7161,-20.2122,-28.2241,0.7474,0.7683,0.3914,1.028,0.5237,0.5094,0.728,0.6121,0.8013,0.8409,1.1008,1.3091,0.0029,3.8239,0.3335,0.1627,-0.1385,0.2905,0.0601,-0.1429,0.0432,0.0324,0.1801,0.6313,-1.7395,-0.0898,0.01,0.1002,0.3706,?,-0.4745,0.0034,0.0581,0.5856,?,-0.4806,-0.091,0.1893,1.7975,3.102,1.7257,3.2309,9.6221,2.9782,1.0817,0.6845,0.6328,0,0,1,1.7036,1.078,0.6328,0.0032,0.7256,0.9661,-0.0804,-0.0842,-0.2469,1.189,1.0904,5.7545,-2.0572,-0.8803,1.8486,1.3596,6.3386,-2.5231,0.1109,0.8201,0.9056,3.9053,-0.7202,0.2805,-2.2265,-7.938,0.802,1.2041,1.5014,0.6432,1.4499,2.2542,0.853,2.3683,2.7764,1.0462,0.8291,0.7925,0.9079,1.4735,1.6231,0.0061,2.3154,0.2544,-0.0121,-0.5324,TASCA_DESTRA_DAVANTI_PANTALONI
-0.1881,6.5753,2.5642,14.5461,-1.1802,-0.9743,10.8025,3.2867,14.1907,-1.3744,-0.0413,12.2473,3.4996,16.1833,-0.6926,4.4904,10.448,3.2323,10.5675,0.0044,0.193,4.558,-0.0419,23.6144,-0.217,-0.0092,0.7802,0.7327,0.7933,0.9392,1.0168,1.0827,0.6087,0.5369,0.6293,0.882,1.0339,1.1722,0.9586,1.1891,-167.6422,1.2405,-174.8857,-140.9852,1.1164,0.6978,0.6286,0.6251,0.563,0.9008,1.025,0.8988,1.3765,0.8769,1.3429,1.5314,0.0036,6.7162,0.2652,0.0205,-0.109,0.2983,-0.293,0.1126,-0.1367,0.0911,0.3019,1.0864,-1.2988,0.1095,0.0617,0.2485,0.6301,-0.9668,0.4502,0.5733,0.7572,1.7801,-0.855,-1.2477,-0.3036,0.2433,1.2149,0.3987,0.3282,1.476,0.159,0.1077,1.9817,0.7481,0.3775,1.4751,0.4925,0.3339,1.7241,0.6103,0.354,0.0017,1.3549,0.955,0.9244,0.9952,0.5456,1.046,1.0227,4.7563,-0.4258,-0.6383,2.4,1.5492,7.4437,-1.8138,0.7711,1.9369,1.3917,5.002,-0.2291,-0.8548,0.7075,-0.8277,0.6602,0.7349,1.1131,0.4358,0.54,1.2391,0.296,1.5234,5.1461,1.261,0.8197,0.65,0.639,0.9509,1.4881,0.0039,2.4927,-0.5232,0.8505,-0.5276,TASCA_DESTRA_DAVANTI_PANTALONI
