@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
1.4548,8.2508,2.8724,15.3875,-0.3204,-1.0216,6.4507,2.5398,15.8579,-1.2868,-0.2414,9.8891,3.1447,18.1085,-0.9196,4.5458,7.1443,2.6729,11.4966,0.0494,-1.4241,-6.0278,0.32,4.2327,-0.2247,-0.0531,1.1309,0.9134,1.0747,0.8077,0.9502,1.1765,1.279,0.8343,1.1549,0.6523,0.9029,1.3842,0.4184,0.4304,-6.2469,1.0287,-14.9307,-14.5148,1.6806,1.2354,0.9636,0.7351,0.5734,0.78,0.9703,0.8497,1.3384,0.8757,1.3794,1.5751,0.0093,6.6602,-0.1279,0.1198,0.6981,0.5437,-0.1627,0.154,?,?,?,?,?,201.651,2670.3425,51.6754,262,0.0542,DAVANTI_PANTALONI
1.1159,4.7239,2.1734,13.1633,-0.6116,-0.7092,4.7071,2.1696,10.4647,-1.071,-0.0712,7.4104,2.7222,14.0047,-0.4224,3.8256,3.9599,1.9899,10.1836,0.079,-1.5734,-15.6728,0.2917,9.961,-0.1854,-0.0186,1.0018,0.7984,1.0922,0.797,1.0903,1.368,1.0036,0.6375,1.1929,0.6352,1.1887,1.8714,0.9231,1.2012,-5.7182,1.3013,-6.1947,-4.7604,1.6164,0.8296,0.7387,0.5132,0.457,0.8905,1.2579,0.9399,1.2926,0.7472,1.0276,1.3752,0.007,5.6902,-0.1958,0.089,0.528,0.4602,-0.0063,0.4645,?,?,?,?,?,29.7672,25.332,5.0331,22,0.5,DAVANTI_PANTALONI
1.1478,6.8519,2.6176,14.6575,-0.4077,-0.3413,8.3783,2.8945,15.2148,-1.6881,-0.0032,12.3729,3.5175,17.1208,-0.9452,4.8542,5.4741,2.3397,10.8202,0.0595,-3.3633,-359.6289,0.2365,106.9268,-0.0703,-0.0007,0.9043,0.7442,1.1188,0.8229,1.2372,1.5034,0.8178,0.5538,1.2517,0.6772,1.5306,2.2603,0.4443,0.5103,-6.2036,1.1485,-13.9623,-12.1569,1.8396,1.183,0.9051,0.6431,0.492,0.765,0.9634,0.8561,1.3546,0.8887,1.4062,1.5823,0.0063,7.2676,0.107,-0.1703,0.4417,0.4548,0.0853,0.1802,?,?,?,?,?,20.3474,13.4899,3.6729,21,0.3,DAVANTI_PANTALONI
0.5357,16.3277,4.0408,35.2631,-0.2283,0.0326,10.5964,3.2552,29.6684,-0.2954,0.0886,21.299,4.6151,27.8019,-0.7958,5.1638,21.8541,4.6748,36.0225,0.0206,16.4502,6.0452,0.1037,0.3675,0.0063,0.0172,1.2413,0.8756,0.8644,0.7053,0.6963,0.9872,1.5409,0.7666,0.7471,0.4975,0.4849,0.9746,0.9686,0.5319,-8.6446,0.5492,-8.9249,-16.2521,1.2536,1.8545,0.7806,1.4794,0.6227,0.4209,1.1886,1.2684,0.9789,1.0671,0.8236,0.7718,0.0028,7.7205,0.6449,0.0271,0.7651,-0.2416,0.6219,-0.0244,?,?,?,?,?,247.9167,1088.9098,32.9986,250,0.1857,DAVANTI_PANTALONI
0.9655,2.1254,1.4579,6.3433,-0.2636,-0.1232,0.4674,0.6837,3.1525,-1.2505,-0.7092,6.4428,2.5383,11.4678,-0.8168,2.9153,1.987,1.4096,5.9552,0.0756,-7.8364,-1.3613,0.3312,0.1737,-0.0423,-0.2433,2.1325,0.5744,1.0342,0.2693,0.485,1.8007,4.5474,0.3299,1.0697,0.0725,0.2352,3.2425,0.7555,0.2567,-2.7155,0.3398,-3.5945,-10.5798,3.5836,0.7953,0.7792,0.2219,0.2174,0.9797,2.0122,0.5531,1.0652,0.2749,0.5294,1.9257,0.0069,4.1578,-0.0472,-0.0123,0.5854,0.168,-0.0683,-0.0357,?,?,?,?,?,0,0,0,0,0,DAVANTI_PANTALONI
0.1302,2.2602,1.5034,6.9735,-1.4948,-0.3496,8.1422,2.8535,10.5086,-0.6801,0.0697,0.6684,0.8176,4.1631,-0.612,3.0324,2.0192,1.421,7.4266,0.0504,-0.3723,1.8663,0.0429,-5.0124,-0.1153,0.023,0.5269,1.8388,1.058,3.4901,2.0081,0.5754,0.2776,3.3813,1.1194,12.1808,4.0325,0.3311,0.9823,2.6435,-10.61,2.6913,-10.8016,-4.0136,0.4469,1.0824,0.3574,2.422,0.7998,0.3302,0.6636,1.6751,0.939,2.5243,1.415,0.5606,0.0019,4.5387,-0.9442,-0.7798,-0.3282,0.789,0.2471,0.2264,?,?,?,?,?,4.0108,0.0004,0.0198,0.0472,0.9883,DAVANTI_PANTALONI
-0.0716,1.5086,1.2283,6.5171,-0.6676,0.0258,1.8518,1.3608,7.5532,-1.7608,0.0481,1.2263,1.1074,6.4805,-0.8202,1.757,1.5077,1.2279,5.8672,0.0284,-2.7771,-1.489,-0.0408,0.5362,0.0147,0.0274,0.9026,1.1092,1.0003,1.2289,1.1083,0.9018,0.8147,1.2302,1.0006,1.5101,1.2282,0.8133,0.5416,0.8934,-15.2037,1.6497,-28.0722,-17.0168,1.4285,1.0977,0.6472,0.7684,0.453,0.5896,0.8628,1.0057,1.1108,1.1655,1.2874,1.1045,0.0004,2.6372,-0.5178,0.1237,0.3447,-0.2113,-0.5764,0.433,?,?,?,?,?,4.0472,0,0,0,1,DAVANTI_PANTALONI
0.8318,16.6437,4.0797,32.6309,-0.2544,0.1816,9.5071,3.0834,14.3384,-1.0682,-1.5072,9.1843,3.0306,14.581,-1.227,5.3756,9.4344,3.0715,25.9013,0.0179,4.579,-0.5519,0.1547,-0.1205,0.0338,-0.2804,1.3231,1.3462,1.3282,1.0174,1.0038,0.9867,1.7507,1.8122,1.7642,1.0352,1.0077,0.9735,0.8937,0.8239,-13.9808,0.9218,-15.6432,-16.9696,3.7521,3.9729,0.9863,1.0588,0.2629,0.2482,2.2758,2.2379,1.2598,0.9834,0.5536,0.5629,0.0093,8.0604,-0.5071,0.2443,0.5894,-0.2612,-0.1061,-0.1151,?,?,?,?,?,1.8342,0.3094,0.5563,2,0.3333,DAVANTI_PANTALONI
-0.0504,0.4857,0.6969,3.8141,-0.5238,-0.3432,0.8518,0.9229,3.8103,-1.2633,0.1733,0.1322,0.3636,1.7103,-0.5847,1.1655,0.2617,0.5116,2.5446,0.1094,0.1467,-0.2905,-0.0432,-1.9802,-0.2945,0.1487,0.7551,1.917,1.3623,2.5386,1.8041,0.7107,0.5702,3.6748,1.856,6.4445,3.2548,0.505,0.6165,2.0777,-4.1939,3.3701,-6.8028,-2.0186,1.4867,2.3192,0.876,1.5599,0.5892,0.3777,1.001,2.2301,1.4989,2.2278,1.4974,0.6721,0.0021,1.7226,0.5498,-0.3127,0.2672,-0.6291,0.0492,0.0781,?,?,?,?,?,0,0,0,0,0,DAVANTI_PANTALONI
0.76,26.8772,5.1843,34.8226,-0.9003,0.5969,13.753,3.7085,17.5348,-0.4106,-1.2321,7.3636,2.7136,13.8608,-0.9346,6.3607,9.9868,3.1602,18.5158,0.0635,1.2732,-0.6168,0.1195,-0.4845,0.0938,-0.1937,1.398,1.9105,1.6405,1.3666,1.1735,0.8587,1.9543,3.65,2.6913,1.8677,1.3771,0.7373,3.232,2.4637,-13.1501,0.7623,-4.0687,-5.3375,1.4742,2.5577,0.9269,1.735,0.6287,0.3624,1.9859,2.5123,1.8807,1.2651,0.947,0.7486,0.0084,9.3337,-0.1182,0.2727,0.0687,-0.0387,0.2751,0.2182,?,?,?,?,?,2.9892,0.3762,0.6134,3,0.25,DAVANTI_PANTALONI
