@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
2.975,11.5904,3.4045,14.2822,-0.227,-1.6367,10.9127,3.3034,15.2709,-1.2237,-0.2483,13.6135,3.6896,18.5786,-0.8954,6.4459,6.1586,2.4817,10.9079,0.1303,-1.8177,-11.9798,0.4615,6.5905,-0.2539,-0.0385,1.0306,0.9227,1.3719,0.8953,1.3311,1.4868,1.0621,0.8514,1.882,0.8016,1.7719,2.2105,0.3144,0.301,-1.617,0.9575,-5.1432,-5.3716,1.695,1.1876,0.9281,0.7006,0.5476,0.7815,0.9353,0.7687,1.3094,0.822,1.4,1.7032,0.0355,9.5797,-0.0474,0.2097,0.591,0.5393,-0.2986,0.0453,-0.38,0.9025,0.95,4.6121,-3.1779,-1.4392,1.7427,1.3201,4.8781,-3.815,0.7068,0.7221,0.8498,3.0067,-0.2745,0.2641,-0.5377,-2.0363,0.7196,1.1179,1.5535,0.5179,1.2498,2.4133,0.9077,5.4166,5.9675,1.0897,0.468,0.4295,0.9455,1.5339,1.6224,0.0172,3.1201,0.5238,-0.1471,-0.6825,PANTALONI
2.1477,6.3924,2.5283,13.1633,-0.6116,-1.3715,4.7058,2.1693,9.0269,-1.4969,-0.3005,4.186,2.046,8.9518,-0.8443,4.3144,3.2539,1.8039,7.5495,0.1037,-1.5659,-7.1472,0.4978,4.5643,-0.3179,-0.0696,1.1655,1.2358,1.4016,1.0603,1.2026,1.1342,1.3584,1.5271,1.9646,1.1242,1.4462,1.2864,0.9231,1.219,-5.7182,1.3205,-6.1947,-4.6911,2.2593,1.6828,0.9697,0.7448,0.4292,0.5762,1.4582,1.4705,1.7436,1.0084,1.1957,1.1857,0.027,6.5073,-0.055,0.102,0.6289,0.0037,-0.5536,0.0683,-0.465,0.9042,0.9509,4.0076,-3.0451,-1.0535,2.5264,1.5895,5.3726,-6.7564,0.591,0.5864,0.7658,2.6607,-0.2136,0.4414,-0.7868,-1.7825,0.5982,1.2417,2.0757,0.3579,1.5419,4.3085,0.6446,6.4431,9.9949,1.4303,0.4519,0.3159,0.7459,1.5062,2.0193,0.0136,2.6324,0.5268,-0.2711,-0.5922,PANTALONI
2.0513,10.7517,3.279,14.6575,-0.4077,-0.6135,10.9168,3.3041,15.2148,-1.6881,-0.0078,16.2686,4.0334,17.1208,-0.9452,6.0646,5.7426,2.3964,10.37,0.0986,-3.3434,-262.7881,0.3382,78.5997,-0.1012,-0.0013,0.9924,0.813,1.3683,0.8192,1.3788,1.6832,0.9849,0.6609,1.8723,0.671,1.901,2.833,0.4443,0.5103,-3.742,1.1485,-8.422,-7.333,1.8396,1.183,0.9051,0.6431,0.492,0.765,0.9634,0.8561,1.4135,0.8887,1.4672,1.651,0.0225,9.0828,0.2174,-0.1434,0.4782,0.3,0.0734,0.0715,-0.1356,1.0332,1.0165,4.3237,-1.4304,-1.1065,1.9043,1.38,5.1259,-8.2023,1.0209,2.2057,1.4852,5.4794,-0.4383,0.1226,-0.1329,-1.0838,0.7366,0.6844,0.9292,0.5426,0.4684,0.8634,0.557,1.5239,2.7361,3.1938,0.467,0.1462,0.8435,0.7891,0.9355,0.0159,3.5077,0.2342,0.064,-0.7815,PANTALONI
1.1832,27.3537,5.2301,35.2631,-0.2283,0.3882,20.3112,4.5068,29.6684,-0.2954,-0.0088,30.3039,5.5049,27.8019,-0.7958,6.6092,35.8377,5.9865,35.307,0.0401,3.0481,-134.9413,0.179,-44.2704,0.0587,-0.0013,1.1605,0.9501,0.8737,0.8187,0.7528,0.9196,1.3467,0.9026,0.7633,0.6703,0.5668,0.8456,0.9686,0.5319,-4.4472,0.5492,-4.5914,-8.3609,1.2536,1.8545,0.7806,1.4794,0.6227,0.4209,1.1886,1.2684,0.9988,1.0671,0.8403,0.7874,0.013,10.4596,0.6918,0.0405,0.8717,-0.3057,0.6728,0.0721,0.3456,2.3464,1.5318,5.3561,-0.4124,-0.9012,7.5081,2.7401,11.1813,-3.4021,-0.3039,2.0994,1.4489,5.7666,-2.153,-0.3835,-1.1374,2.9655,0.559,1.0572,1.8911,0.3125,1.1176,3.5763,0.181,0.3971,2.1945,1.493,2.0735,1.3888,0.479,0.9288,1.939,0.0105,4.1247,-0.169,-0.5225,0.447,PANTALONI
1.9684,1.6624,1.2893,5.0544,-0.0069,-0.233,0.4717,0.6868,2.9057,-1.5179,-1.4738,4.3765,2.092,7.8673,-1.9014,3.2772,1.8717,1.3681,4.8727,0.1372,-8.4484,-1.3356,0.6006,0.1581,-0.0711,-0.4497,1.8774,0.6163,0.9424,0.3283,0.502,1.5291,3.5247,0.3798,0.8882,0.1078,0.252,2.3382,0.0196,0.0067,-0.0444,0.3398,-2.2605,-6.6534,4.3501,1.8513,0.8889,0.4256,0.2043,0.4801,1.7395,0.6425,1.0373,0.3693,0.5963,1.6146,0.0281,4.7922,0.0239,0.2065,0.7053,-0.2876,0.0971,-0.3886,0.4745,0.3151,0.5614,2.237,-0.2576,-1.3505,0.9877,0.9938,3.7813,-37.6875,1.0351,0.2082,0.4563,1.6066,0.1991,-0.3514,0.4584,-1.3047,0.5648,1.2303,2.1781,0.3191,1.5137,4.7443,0.1244,-1.1468,-9.2202,18.2,0.8867,0.0487,0.5916,1.3924,2.3536,0.0201,2.9788,-0.5542,0.7894,-0.3562,PANTALONI
0.0356,2.5985,1.612,6.9735,-1.4948,-0.2559,8.8148,2.969,10.5047,-0.6794,0.1852,0.6801,0.8247,3.5916,-0.3908,3.1262,2.4215,1.5561,7.3569,0.0593,-0.1392,0.1924,0.0114,-1.3819,-0.0819,0.0592,0.5429,1.9547,1.0359,3.6002,1.9079,0.53,0.2948,3.821,1.0731,12.9617,3.6403,0.2808,0.9832,4.1404,-9.0155,4.2113,-9.1698,-2.1774,0.4469,1.0824,0.3574,2.422,0.7998,0.3302,0.6638,1.9416,0.9479,2.9248,1.4279,0.4882,0.0031,4.6475,-0.9315,-0.8032,-0.4314,0.8191,0.3333,0.2805,0.1048,0.0328,0.1811,0.7504,-0.7087,-0.1256,0.0392,0.198,0.8079,-2.31,-0.0805,0.0454,0.213,0.7877,-1.0302,-0.8348,-1.3026,1.5604,0.9148,0.8503,0.9295,0.8368,0.723,0.864,0.552,0.7787,1.4107,1.7991,1.1319,0.6291,0.9288,0.9526,1.0257,0.0018,0.5297,0.1272,-0.2255,-0.0728,PANTALONI
0.3701,1.8949,1.3765,6.5171,-0.6676,0.0063,2.9854,1.7278,7.5532,-1.7608,0.2985,1.7291,1.315,6.4805,-0.8202,2.1458,2.2312,1.4937,5.8308,0.0345,58.9843,1.2399,0.1725,0.021,0.0029,0.1391,0.7967,1.0468,0.9215,1.314,1.1567,0.8803,0.6347,1.0958,0.8492,1.7265,1.338,0.775,0.5416,0.8934,-12.541,1.6497,-23.1557,-14.0366,1.4285,1.0977,0.6472,0.7684,0.453,0.5896,0.8628,1.0057,1.1177,1.1655,1.2954,1.1114,0.0047,3.3332,-0.6506,0.2323,0.4919,-0.2866,-0.6571,0.389,-0.7432,0.9897,0.9948,3.8051,-3.6065,0.7217,0.5939,0.7706,3.6548,-0.1166,-0.3281,0.4801,0.6929,2.3161,-1.3827,-1.0298,2.2655,-2.1999,1.2909,1.4358,1.1122,1.6665,2.0614,1.237,7.8073,2.2165,0.2839,0.2524,0.8498,3.3673,1.0411,1.6429,1.578,0.0108,2.3535,-0.9378,0.5455,-0.5714,PANTALONI
-0.6568,11.8153,3.4373,16.8054,-0.6199,1.8603,8.4432,2.9057,12.0865,-0.7414,-2.2347,9.7687,3.1255,13.9169,-1.3204,5.9001,4.1024,2.0254,10.2524,0.1434,-0.3531,0.2939,-0.1113,-0.8325,0.3153,-0.3788,1.183,1.0998,1.6971,0.9297,1.4346,1.5431,1.3994,1.2095,2.8801,0.8643,2.0581,2.3812,1.2497,0.8121,-3.7455,0.6498,-2.997,-4.6123,1.4947,1.7297,0.8668,1.1572,0.5799,0.5011,1.3904,1.2076,1.6392,0.8685,1.1789,1.3574,0.0317,9.1165,-0.3669,0.2374,0.1781,-0.3259,0.0605,-0.4104,-0.8505,0.7546,0.8687,4.4807,-4.4203,-0.811,3.2378,1.7994,6.2538,-1.5448,-1.68,0.6595,0.8121,3.998,-18.5151,1.0486,0.5062,0.4828,0.4827,1.0696,2.2157,0.233,1.1441,4.9093,0.9625,0.9634,1.0009,0.3364,4.0352,11.9956,0.7165,1.1208,1.5643,0.0218,4.2284,-0.0083,-0.1301,0.3264,PANTALONI
-0.2849,0.3174,0.5634,3.6826,-0.5516,-0.445,0.3035,0.5509,2.9619,-0.7593,0.304,0.1049,0.3239,1.3409,-0.2424,0.9693,0.1578,0.3973,2.3798,0.1161,0.6403,-0.9374,-0.294,-1.4639,-0.4591,0.3136,1.0228,1.7393,1.4181,1.7006,1.3866,0.8154,1.046,3.0251,2.0111,2.892,1.9226,0.6648,1.0241,5.0045,-4.1876,4.8866,-4.089,-0.8368,1.4098,2.1991,0.8815,1.5599,0.6253,0.4008,1.2433,2.7464,1.5474,2.2089,1.2446,0.5634,0.0066,1.4773,-0.002,0.2476,0.1562,-0.204,0.1855,0.1598,-0.0284,0.0309,0.1757,0.7936,-2.0837,0.0059,0.0175,0.1321,0.6142,-1.1718,-0.0028,0.0106,0.103,0.5992,-1.5996,-4.7817,10.1785,-2.1287,1.3298,1.706,1.2829,1.7682,2.9104,1.6459,1.6183,1.4544,0.8987,0.9101,1.1165,1.2269,1.2922,1.3244,1.025,0.0003,0.3298,0.7188,-0.1364,-0.1248,PANTALONI
-1.9621,22.9628,4.792,24.4951,-2.0628,2.0992,16.8848,4.1091,16.9255,-0.3616,-1.5111,5.7591,2.3998,11.8766,-1.2117,6.9316,8.1003,2.8461,15.4315,0.0752,-0.9347,1.2985,-0.2831,-1.3892,0.3029,-0.218,1.1662,1.9968,1.6837,1.7123,1.4438,0.8432,1.36,3.9872,2.8348,2.9318,2.0845,0.711,3.6701,2.5354,-13.1501,0.6908,-3.583,-5.1865,0.6434,1.4894,0.4793,2.3148,0.745,0.3218,1.4472,2.0625,1.5873,1.4251,1.0968,0.7696,0.0349,10.1303,0.1932,-0.0016,-0.49,-0.1565,0.4311,0.0192,-0.2045,0.5187,0.7202,4.1849,-1.7172,-0.5217,2.1918,1.4805,6.0872,-1.0436,-1.5725,1.4585,1.2077,4.1667,-7.3569,0.3919,0.13,0.3318,0.4865,0.5963,1.2259,0.2367,0.3556,1.5027,0.8508,0.721,0.8474,0.5171,3.089,5.9742,0.6875,1.0044,1.4609,0.018,3.4983,-0.0989,-0.2126,0.0672,PANTALONI
