@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
0.9107,6.196,2.4892,15.2847,-1.5819,0.0264,9.9629,3.1564,11.5376,-1.2344,0.8021,12.1889,3.4913,20.6015,-1.5712,4.9901,4.9204,2.2182,15.0906,0.0683,34.5105,1.1355,0.1825,0.0329,0.0053,0.1607,0.7886,0.713,1.1222,0.9041,1.423,1.5739,0.6219,0.5083,1.2593,0.8174,2.0248,2.4772,1.4692,0.7439,-8.4588,0.5063,-5.7572,-11.371,1.1465,0.7388,0.3655,0.6444,0.3188,0.4947,1.3248,0.7419,1.0129,0.56,0.7646,1.3652,0.0121,7.4017,-0.0758,0.643,0.0867,0.1518,-0.0504,-0.081,0.2877,0.0037,0.0606,0.2073,0.4833,-0.1989,0.0786,0.2803,0.6959,-3.6384,0.4969,0.0054,0.0738,0.2341,0.6062,-1.4461,0.5789,-0.4003,0.2161,0.821,3.7983,0.0467,0.674,14.4274,-0.3553,0.5382,-1.5148,2.6747,0.6751,0.2524,0.2979,0.8858,2.9731,0.0061,1.0752,0.6768,-0.8569,-0.2925,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.9526,8.8086,2.9679,14.0469,-0.4348,-1.1763,2.9422,1.7153,7.7861,-1.1057,0.2406,13.9826,3.7393,15.4193,-0.5132,4.4704,8.098,2.8457,13.5048,0.0459,-0.8098,3.9596,0.2131,-4.8894,-0.2631,0.0538,1.7303,0.7937,1.043,0.4587,0.6028,1.314,2.9938,0.63,1.0877,0.2104,0.3633,1.7267,1.0412,0.814,-6.5532,0.7818,-6.2939,-8.0501,2.6477,0.9607,0.6917,0.3629,0.2612,0.7199,1.8041,0.911,1.0401,0.505,0.5765,1.1418,0.0153,6.7125,0.1296,0.8454,0.7515,0.3845,-0.042,0.6645,0.2847,0.0065,0.0808,0.3158,0.1972,-0.184,0.0609,0.2467,0.6912,-4.9693,0.3293,0.0047,0.0686,0.2704,0.4452,-1.5472,0.8646,-0.5588,0.3274,1.1779,3.5974,0.1072,1.3875,12.941,-0.1348,0.3575,-2.6515,3.3969,0.8069,0.2375,0.4568,1.1675,2.5558,0.0047,0.8603,0.6365,-0.9431,-0.4426,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.2553,1.7766,1.3329,5.7464,-0.8745,0.0617,4.9004,2.2137,8.7551,-0.9541,0.5593,12.6906,3.5624,16.4503,-0.7861,4.014,3.6374,1.9072,8.9323,0.1347,4.1379,0.4566,0.0636,0.1103,0.0154,0.1393,0.6021,0.3742,0.6989,0.6214,1.1607,1.8679,0.3626,0.14,0.4884,0.3861,1.3472,3.4889,0.6271,0.3703,-1.9288,0.5904,-3.0756,-5.209,0.6842,0.3328,0.297,0.4864,0.434,0.8923,0.6563,0.3493,0.6433,0.5322,0.9802,1.8417,0.0062,6.0103,-0.1804,0.2169,0.4838,0.6742,0.124,0.382,0.3757,0.0016,0.04,0.1519,0.6591,0.0343,0.0238,0.1542,0.4261,-1.1026,0.3555,0.0104,0.1018,0.3603,0.3335,10.947,1.0568,0.0965,0.2592,0.3926,1.5148,0.0672,0.1541,2.2946,-1.3147,1.6296,-1.2395,2.1993,0.8246,0.3749,0.3566,0.4217,1.1828,0.0052,0.8799,-0.6239,-0.6218,0.7422,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.0672,2.3067,1.5188,9.4048,-0.6157,0.5405,3.2019,1.7894,8.6917,-0.3849,0.5137,22.0384,4.6945,19.2085,-0.6158,4.4846,7.9957,2.8277,12.0627,0.0558,0.1243,0.1308,0.015,1.052,0.1205,0.1146,0.8488,0.3235,0.5371,0.3812,0.6328,1.6602,0.7204,0.1047,0.2885,0.1453,0.4005,2.7563,1.4836,0.4896,-5.0279,0.33,-3.389,-10.2704,0.9275,0.4897,0.4556,0.5279,0.4913,0.9305,1.082,0.4896,0.7797,0.4525,0.7205,1.5924,0.0075,6.2537,0.109,0.1244,0.0297,0.7081,0.5942,0.4648,0.2271,0.0019,0.0441,0.1599,0.519,-0.1184,0.0076,0.0874,0.3562,-10.2267,-0.0564,0.0344,0.1853,0.5858,-1.0975,-1.9179,-4.0286,2.1005,0.5051,0.2381,0.4713,0.2552,0.0567,0.2221,-0.5318,-0.563,1.0585,10.4798,1.1905,0.1136,0.449,0.273,0.608,0.0026,0.532,0.1404,0.0507,0.9252,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.9662,7.492,2.7371,11.7898,-0.4848,-0.5198,7.9553,2.8205,11.184,-1.3929,0.8261,18.1012,4.2545,16.5619,-0.8972,5.2014,8.3797,2.8948,11.2513,0.02,-1.8588,1.1696,0.1857,-0.6292,-0.0999,0.1588,0.9704,0.6433,0.9455,0.6629,0.9743,1.4697,0.9418,0.4139,0.8941,0.4395,0.9493,2.1601,0.5913,0.4915,-16.7414,0.8312,-28.3142,-34.0642,1.6989,0.9096,0.6916,0.5354,0.4071,0.7603,1.0542,0.7119,1.0479,0.6753,0.994,1.472,0.0137,7.7552,0.6945,0.7115,0.5618,0.5603,0.1809,0.415,0.1214,0.0382,0.1955,0.5572,-1.0324,-0.2106,0.014,0.1184,0.415,?,-0.0891,0.0081,0.0898,0.3209,-1.5617,-0.5764,-1.3626,2.3639,1.6518,2.177,1.3179,2.7284,4.7391,1.737,0.6821,1.4469,2.1213,0,2.1887,0,1.3427,1.7365,1.2932,0.0026,0.5444,0.8941,-0.734,-0.375,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.4115,6.7069,2.5898,10.3951,-0.4805,-0.6457,3.4462,1.8564,7.1717,-0.878,0.2465,14.9576,3.8675,16.0502,-0.55,4.7555,4.9656,2.2284,11.9346,0.0477,-2.1859,5.7269,0.2968,-2.62,-0.1358,0.0518,1.395,0.6696,1.1622,0.48,0.8331,1.7356,1.9461,0.4484,1.3507,0.2304,0.694,3.0122,1.0062,0.5923,-5.6463,0.5887,-5.6117,-9.5326,1.8387,0.6781,0.5603,0.3688,0.3047,0.8263,1.4495,0.6477,0.871,0.4468,0.6009,1.3448,0.0157,7.2241,0.4141,0.7282,0.6469,0.6335,0.1569,0.5008,0.2929,0.0151,0.1231,0.3835,0.0904,-0.2001,0.0432,0.2079,0.5576,-27.2969,0.1474,0.0054,0.0732,0.3005,0.2032,-1.4638,1.9868,-1.3572,0.5918,1.6821,2.8424,0.3502,2.8293,8.0793,-0.0708,0.4972,-7.0176,21.3953,1.1178,0.0522,0.6878,1.2761,1.8554,0.0038,0.6449,0.9891,-0.8225,-0.75,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.3432,21.4652,4.6331,19.0396,-0.4648,-1.6089,20.4363,4.5207,17.0038,-1.1962,0.1499,18.4183,4.2917,21.7394,-1.1164,7.4292,9.5413,3.0889,13.8688,0.1273,-0.8348,8.9613,0.1808,-10.7343,-0.2166,0.0202,1.0249,1.0795,1.4999,1.0534,1.4635,1.3894,1.0503,1.1654,2.2497,1.1096,2.1419,1.9304,0.6524,0.5269,-2.9873,0.8076,-4.5792,-5.67,1.6788,1.2654,0.8179,0.7537,0.4872,0.6464,1.1197,0.8758,1.3728,0.7822,1.226,1.5675,0.0217,11.5916,-0.0642,0.5753,0.6235,-0.0797,-0.2747,0.2725,0.2427,0.0435,0.2086,0.5768,-0.1533,-0.323,0.0681,0.2609,0.6967,-14.553,0.2949,0.0357,0.189,0.5411,0.1025,-0.7515,0.8232,-1.0954,0.7994,1.1034,1.3803,0.6391,1.2176,1.9053,0.1176,-1.241,-10.5516,11.1636,0.8296,0.0743,0.8278,1.066,1.2878,0.0052,0.8974,0.9077,-0.9924,-0.9181,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.9486,8.5054,2.9164,14.2467,-0.5932,-1.2714,10.1547,3.1866,13.0493,-1.6068,-0.1805,10.7537,3.2793,13.6809,-1.2393,5.2681,4.21,2.0518,9.5543,0.0724,-0.7461,-5.2554,0.1801,7.044,-0.2413,-0.0343,0.9152,0.8893,1.4214,0.9717,1.5531,1.5982,0.8376,0.7909,2.0203,0.9443,2.4121,2.5544,0.6595,0.7006,-7.1145,1.0623,-10.7875,-10.1546,1.7863,1.4636,0.8682,0.8194,0.486,0.5931,1.0918,1.0414,1.4911,0.9538,1.3658,1.4319,0.017,7.9671,0.4709,0.1625,0.0536,0.0955,-0.4094,-0.0391,0.2058,0.0392,0.198,0.6416,-0.6414,-0.2195,0.0328,0.1811,0.504,-57.3615,0.0066,0.047,0.2168,0.7657,-0.2984,-0.9375,31.0033,-33.0688,1.0933,0.9132,0.8353,1.1952,0.834,0.6978,0.5061,1.4246,2.815,45.2574,0.6628,0.0146,1.2729,0.8379,0.6583,0.0032,0.6419,0.8622,-0.9262,-0.6632,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.2864,19.3224,4.3957,17.5871,-0.5585,-2.1532,20.7662,4.557,17.7576,-1.1941,0.6357,17.4151,4.1731,17.8581,-0.6499,7.4145,9.2236,3.037,14.8342,0.0744,-0.5974,2.0237,0.1735,-3.3872,-0.2904,0.0857,0.9646,1.0533,1.4474,1.092,1.5005,1.3741,0.9305,1.1095,2.0949,1.1924,2.2514,1.8881,0.6521,0.896,-5.2831,1.3739,-8.1013,-5.8966,1.3943,1.0426,0.7041,0.7477,0.505,0.6753,0.9904,0.9848,1.1856,0.9944,1.1971,1.2039,0.0272,11.6512,0.1712,0.526,0.4872,0.0579,-0.3447,0.2091,0.1079,0.078,0.2793,0.7231,-0.8399,-0.3728,0.0363,0.1905,0.616,?,-0.0231,0.03,0.1733,0.5336,-0.481,-0.2895,-4.6645,16.1143,1.4663,1.6113,1.0989,2.15,2.5963,1.2076,0.5359,1.9046,3.5544,0,1.0908,0,1.1739,1.3551,1.1544,0.004,0.8125,0.756,-0.9695,-0.6662,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
2.776,11.9852,3.462,10.2266,-0.0556,-1.2239,1.3194,1.1487,4.2754,-3.9302,-1.1155,1.8933,1.376,6.1953,-3.3873,3.9805,9.802,3.1308,9.0939,0.0854,-2.2682,-2.4886,0.6974,1.0972,-0.3075,-0.2802,3.0139,2.516,1.1058,0.8348,0.3669,0.4395,9.0835,6.3303,1.2227,0.6969,0.1346,0.1932,0.1582,0.1127,-0.6349,0.7125,-4.014,-5.6333,11.1712,6.8603,0.9743,0.6141,0.0872,0.142,2.392,1.6507,1.1245,0.6901,0.4701,0.6813,0.1469,5.6813,-0.7143,0.1361,0.9822,-0.0192,-0.761,0.0271,0.1839,0.0036,0.0601,0.239,-0.0565,-0.1701,0.0614,0.2477,0.6784,-11.5776,0.044,0.0052,0.0724,0.2269,-0.4142,-1.0815,4.1844,-3.8689,0.2425,0.8295,3.4204,0.0588,0.6881,11.6994,0.0205,0.1925,9.3987,4.1949,1.4104,0.3362,0.3524,1.0537,2.9903,0.0029,0.4546,0.826,-0.3993,-0.1769,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
