@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.3627,5.8395,2.4165,9.7892,-0.8112,-2.1835,12.6754,3.5602,12.3051,-2.2203,0.489,33.2993,5.7706,21.0955,-0.9584,7.0788,6.8439,2.6161,8.5584,0.2812,0.1661,-0.7417,-0.0512,-4.4651,-0.3085,0.0691,0.6787,0.4188,0.9237,0.617,1.3609,2.2058,0.4607,0.1754,0.8532,0.3806,1.8521,4.8655,0.5168,0.4247,-1.3093,0.8218,-2.5334,-3.0828,1.4144,0.5018,0.4539,0.3547,0.3209,0.9046,0.7955,0.464,1.1438,0.5833,1.4378,2.4649,0.0236,10.3497,-0.2711,-0.7132,0.3283,0.6072,-0.2925,-0.3956,-23.2474,21.571,4.6445,28.4393,?,1.2898,62.5855,7.9111,24.1776,-0.6862,-18.4224,91.2073,9.5503,29.6387,?,-18.0243,1.2619,-0.07,0.5871,0.4863,0.8284,0.3447,0.2365,0.6862,2.8905,0.9595,0.332,0,1,0,1.1763,0.9595,0.8157,0.3093,48.7476,-0.9526,-0.933,0.9961,?,?,?,?,?,DESTRA_PANTALONI
0.9144,6.7602,2.6,13.0028,-1.017,-1.5797,7.8663,2.8047,12.464,-1.4383,-0.0978,4.0424,2.0106,9.4132,-2.397,4.2277,4.1368,2.0339,9.7525,0.0116,-0.5789,-9.3529,0.2163,16.157,-0.3737,-0.0231,0.927,1.2932,1.2783,1.395,1.379,0.9885,0.8594,1.6723,1.6342,1.9459,1.9016,0.9772,0.8917,0.987,-57.101,1.1069,-64.0353,-57.8508,1.2612,2.3265,0.6533,1.8447,0.518,0.2808,1.0432,1.3813,1.3333,1.3241,1.278,0.9652,0.0192,6.6406,-0.8237,0.1672,0.2279,0.3694,-0.4779,-0.4051,-2.7852,196.9538,14.034,41.6977,-1.8025,-25.7462,86.4622,9.2985,33.8989,?,-23.1838,8.2281,2.8685,28.1998,?,0.1082,0.1201,1.1105,1.5093,4.8925,3.2416,2.2779,23.9366,10.5081,0.7911,0.951,1.2021,0,0,1,1.2301,1.4787,1.2021,0.3659,60.865,-0.9593,0.1607,0.0025,?,?,?,?,?,DESTRA_PANTALONI
0.7638,14.9674,3.8688,15.9974,-0.7217,-0.6156,28.7448,5.3614,25.3419,-1.2682,-0.1411,14.6416,3.8264,13.9331,-1.2907,7.1358,8.416,2.901,16.3558,0.094,-1.2406,-5.4133,0.107,4.3634,-0.0863,-0.0198,0.7216,1.0111,1.3336,1.4012,1.8481,1.319,0.5207,1.0222,1.7784,1.9632,3.4155,1.7397,0.4733,0.8542,-3.9514,1.8048,-8.3493,-4.626,0.8316,1.5276,0.5147,1.8369,0.6189,0.3369,0.6313,1.1482,0.9781,1.8188,1.5494,0.8519,0.0103,11.1546,-0.8828,-0.144,0.323,0.5328,-0.4014,-0.3072,1.8862,260.0829,16.1271,48.1186,-1.2656,-27.2513,27.3184,5.2267,31.4987,?,-27.2246,5.2199,2.2847,30.6,?,-0.0692,-0.0693,1.001,3.0855,7.0587,2.2877,9.5204,49.8256,5.2335,0.8534,0.8784,1.0294,0,0,1,1.5276,1.5725,1.0294,0.406,69.0124,-0.8947,0.2563,0.1792,?,?,?,?,?,DESTRA_PANTALONI
-0.0929,24.0348,4.9025,24.0089,-0.3552,0.0281,27.0997,5.2057,25.0715,-0.4422,1.517,44.4511,6.6672,26.7807,-0.3023,8.1234,31.907,5.6486,25.8391,0.1022,-3.3021,-0.0612,-0.0114,0.0185,0.0035,0.1867,0.9418,0.7353,0.8679,0.7808,0.9216,1.1803,0.8869,0.5407,0.7533,0.6097,0.8493,1.3931,0.8186,1.0123,-2.1406,1.2367,-2.615,-2.1145,1.0191,0.8615,0.6156,0.8453,0.6041,0.7146,0.9576,0.8965,0.9292,0.9362,0.9703,1.0364,0.0317,12.6714,0.5387,0.4678,0.5394,0.2125,0.5323,0.8311,-31.0404,135.7589,11.6516,43.6875,?,-15.4349,27.2519,5.2203,26.3125,?,-26.8112,249.6456,15.8002,44.5,?,2.0111,1.1577,0.5757,2.232,0.7374,0.3304,4.9816,0.5438,0.1092,1.6603,0.9817,0.5913,1,1,1,1.6603,0.9817,0.5913,0.913,73.2865,0.8407,-0.9396,-0.9504,?,?,?,?,?,DESTRA_PANTALONI
-3.4626,0.5768,0.7595,4.3423,?,0.285,0.8156,0.9031,2.9548,-0.7921,1.9085,1.6957,1.3022,4.656,-0.0972,4.2712,0.5577,0.7468,2.2949,0.5543,-12.1512,-1.8143,-0.8107,0.1493,0.0667,0.4468,0.8409,0.5832,1.0169,0.6935,1.2093,1.7436,0.7072,0.3401,1.0341,0.481,1.4624,3.0403,3.3249,10.5282,-1.5213,3.1665,-0.4576,-0.1445,0,0,0,0.3885,0.3202,0.8241,1.4696,0.9326,1.8922,0.6346,1.2876,2.0289,0.3604,6.3087,0.4162,0.3033,-0.4664,0.0421,-0.238,0.629,-17.4886,220.1116,14.8362,47.6875,-5.3058,-39.3864,1.5812,1.2575,40.6875,?,-28.4446,47.6696,6.9043,35.375,?,0.444,0.6148,1.3847,11.7986,2.1488,0.1821,139.2061,4.6174,0.0332,0.9862,1.1343,1.1502,0,0,1,1.172,1.3481,1.1502,1.1735,86.7372,0.0438,-0.9343,0.3077,?,?,?,?,?,DESTRA_PANTALONI
-0.147,0.2009,0.4483,2.0108,-0.7256,-0.302,14.1769,3.7652,12.7511,-0.9017,0.0659,11.3849,3.3742,11.5549,-0.6657,4.5774,4.9269,2.2197,9.2496,0.043,0.4868,-2.2309,-0.0321,-4.5829,-0.066,0.0144,0.1191,0.1328,0.2019,1.1159,1.6963,1.5201,0.0142,0.0176,0.0408,1.2452,2.8774,2.3108,0.1398,0.1831,-2.0345,1.3093,-14.5486,-11.1117,0.1738,0.168,0.1206,0.9665,0.6937,0.7177,0.1577,0.174,0.2174,1.1035,1.3785,1.2492,0.0067,6.7986,0.4566,0.3896,-0.144,0.9961,0.1585,0.1842,5.0995,0.7157,0.846,2.9,0.5541,-41.5336,0.4987,0.7062,42.409,?,-21.6889,1.7174,1.3105,24.7092,?,-0.1228,-0.2351,1.915,1.198,0.6455,0.5388,1.4352,0.4167,0.2904,-0.085,-0.1458,1.7163,0,0,1,0.0684,0.1174,1.7163,0.9242,68.322,0.0088,0.267,-0.896,?,?,?,?,?,DESTRA_PANTALONI
-1.1338,1.3786,1.1742,4.9362,-2.4838,-1.7897,4.7079,2.1698,9.7227,-4.7917,1.6479,4.9168,2.2174,7.5105,-0.3017,3.6814,4.6549,2.1575,9.1381,0.0395,0.6335,-0.688,-0.308,-1.086,-0.4861,0.4476,0.5411,0.5295,0.5442,0.9785,1.0057,1.0277,0.2928,0.2804,0.2962,0.9575,1.0114,1.0563,0.4375,2.0216,-9.3765,4.6208,-21.4315,-4.638,0.844,0.2456,0.1489,0.291,0.1765,0.6065,0.5077,0.6572,0.5402,1.2946,1.064,0.8219,0.0526,5.728,0.4048,0.3198,-0.2174,-0.5322,-0.8609,0.7453,-37.4874,20.4625,4.5236,45.9345,?,20.7317,42.7258,6.5365,20.5269,0.2543,13.8804,8.6705,2.9446,11.1401,0.3154,-1.8082,-2.7007,1.4936,0.692,1.5362,2.2198,0.4789,2.36,4.9277,-6.561,-8.9519,1.3644,0,0,1.6918,2.2378,4.1233,1.8426,0.883,72.0996,0.9903,0.8782,0.9198,?,?,?,?,?,DESTRA_PANTALONI
0.4857,1.8886,1.3743,6.0442,-0.5741,-2.9824,11.3861,3.3743,13.0666,-6.0963,-1.8737,4.2454,2.0604,9.6367,-1.9044,4.6346,8.682,2.9465,11.1421,0.123,-0.1628,-0.2592,0.1048,1.5918,-0.6435,-0.4043,0.4073,0.667,0.4664,1.6377,1.1452,0.6993,0.1659,0.4449,0.2175,2.682,1.3115,0.489,0.1964,0.3489,-1.4107,1.7765,-7.1833,-4.0435,2.0853,1.1573,0.3022,0.555,0.1449,0.2612,0.4626,0.6272,0.5425,1.3559,1.1727,0.8649,0.0378,6.7757,-0.2058,-0.3009,0.2574,0.5628,-0.9137,-0.721,-40.8134,6.7501,2.5981,43.8599,?,-7.2853,77.2036,8.7866,28.3783,-3.1495,-5.5453,69.7791,8.3534,28.0182,-7.6491,5.6022,7.3601,1.3138,0.2957,0.311,1.0519,0.0874,0.0967,1.1064,2.0363,1.7701,0.8693,0,0,2.1112,1.5455,1.5654,1.0129,0.445,57.0835,0.1992,-0.7175,-0.7966,?,?,?,?,?,SINISTRA_PANTALONI
-0.0505,0.0332,0.1823,0.7162,-0.9936,-1.1803,0.4159,0.6449,2.2483,?,-0.8054,0.2505,0.5005,1.6404,-140.7246,1.4531,0.6324,0.7952,2.5897,0.0726,0.0428,0.0627,-0.0347,1.4655,-0.8123,-0.5543,0.2826,0.3642,0.2292,1.2886,0.811,0.6293,0.0799,0.1326,0.0525,1.6606,0.6577,0.396,0.1588,0.2191,-1.762,1.3803,-11.0981,-8.0403,0,31.0376,0.1287,0,0,0.0041,0.3186,0.4366,0.2766,1.3706,0.8682,0.6334,0.0154,2.1508,0.6829,0.5375,-0.633,0.9751,-0.9964,-0.989,-12.7748,0.1,0.3162,13.3194,?,-38.2167,0.0843,0.2903,38.6398,?,17.9261,0.2563,0.5063,1.8585,0.9013,0.3343,-0.7126,-2.1319,1.0893,0.6247,0.5735,1.1866,0.3902,0.3289,0.3447,-0.7844,-2.2756,1,0,0,0.3447,7.1667,20.7906,0.4742,68.9176,0.1512,-0.0554,0.7662,?,?,?,?,?,SINISTRA_PANTALONI
-0.3768,4.8512,2.2026,10.0115,-0.7707,-0.6642,63.9734,7.9983,30.0425,-0.7053,0.6257,26.8167,5.1785,19.4597,-1.481,9.0386,14.9205,3.8627,16.1175,0.1654,0.5672,-0.6022,-0.0417,-1.0616,-0.0735,0.0692,0.2754,0.4253,0.5702,1.5445,2.0707,1.3406,0.0758,0.1809,0.3251,2.3856,4.2876,1.7973,0.3507,0.3751,-1.3646,1.0696,-3.8909,-3.6376,0.3209,0.7208,0.2928,2.2461,0.9123,0.4062,0.3332,0.5145,0.6212,1.5438,1.864,1.2074,0.0106,12.924,-0.0378,0.0386,0.1623,0.544,0.5315,0.1526,-48.8979,10.5416,3.2468,51.7197,?,-7.8055,87.8631,9.3735,28.0777,-13.1874,-4.5579,8.575,2.9283,10.08,?,6.2645,10.7281,1.7125,0.3464,1.1088,3.201,0.12,1.2293,10.2465,1.9817,5.1309,2.5892,0,1,0,1.842,5.1309,2.7855,0.5347,61.8082,-0.9703,-0.9378,0.9057,?,?,?,?,?,SINISTRA_PANTALONI
