@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
1.2647,7.3877,2.718,13.9498,-0.3984,-1.0443,7.9576,2.8209,14.5788,-1.1756,-0.0671,15.5304,3.9409,18.2125,-1.114,5.2518,5.9889,2.4472,10.3037,0.1003,-1.211,-18.8434,0.2408,15.5596,-0.1988,-0.0128,0.9635,0.6897,1.1107,0.7158,1.1527,1.6103,0.9284,0.4757,1.2336,0.5124,1.3287,2.5932,0.5045,0.4141,-3.4604,0.8208,-6.8588,-8.3561,1.4886,1.1579,0.871,0.7778,0.5851,0.7522,0.9569,0.7659,1.3539,0.8005,1.4149,1.7676,0.0085,7.7881,0.3316,0.3632,0.3436,0.5467,-0.2374,-0.1198,-16.2308,62.2522,7.89,28.4393,?,-5.4816,77.5052,8.8037,27.5375,-0.9205,-24.8992,87.7956,9.3699,32.6385,?,2.961,0.6519,0.2202,0.8962,0.8421,0.9396,0.8032,0.7091,0.8828,2.1547,0.8713,0.4044,0,1,0,1.0327,0.8713,0.8437,0.1574,50.7955,-0.9396,-0.9039,0.9877,?,?,?,?,?,DESTRA_PANTALONI
0.6406,3.1992,1.7886,10.9747,-0.8618,-1.0916,6.9866,2.6432,11.8046,-1.5832,0.1896,4.9817,2.232,9.3437,-0.8145,3.7776,2.5356,1.5923,7.3409,0.0711,-0.5868,3.3789,0.1696,-5.758,-0.289,0.0502,0.6767,0.8014,1.1233,1.1842,1.66,1.4017,0.4579,0.6422,1.2618,1.4024,2.7555,1.9648,0.7022,1.2112,-9.0385,1.7249,-12.8721,-7.4624,1.2899,1.1447,0.7459,0.8874,0.5782,0.6516,0.9297,1.1746,1.495,1.2634,1.6081,1.2728,0.0068,5.7248,0.188,-0.0951,0.1887,0.2198,-0.4329,0.0581,6.8048,192.0332,13.8576,43.7378,-1.5851,-28.2756,50.1874,7.0843,33.8989,?,-21.7512,6.6643,2.5815,28.1998,?,-0.2407,-0.3128,1.3,1.9561,5.368,2.7442,3.8263,28.8152,7.5308,0.7911,0.951,1.2021,0,0,1,1.2902,1.551,1.2021,0.1922,64.2306,-0.8904,0.4803,-0.213,?,?,?,?,?,DESTRA_PANTALONI
0.8192,5.6874,2.3848,13.9689,-0.517,-0.2757,14.0093,3.7429,17.465,-1.5123,0.4243,13.2596,3.6414,13.7252,-0.5058,5.4501,4.1793,2.0443,10.4628,0.0659,-2.9714,1.9307,0.1503,-0.6498,-0.0506,0.0779,0.6372,0.6549,1.1665,1.0279,1.8309,1.7812,0.406,0.4289,1.3608,1.0565,3.352,3.1726,0.4528,1.0326,-6.4539,2.2803,-14.2521,-6.2501,1.3246,1.0102,0.8221,0.7627,0.6207,0.8138,0.7998,1.0178,1.3351,1.2725,1.6692,1.3118,0.005,8.0177,0.2791,-0.2644,0.0781,0.3091,-0.0775,0.3107,10.861,211.6181,14.5471,48.1796,-1.262,-28.2049,17.6617,4.2026,32.8186,?,-26.0019,6.0898,2.4677,30.6,?,-0.3851,-0.4177,1.0847,3.4615,5.8949,1.703,11.9817,34.7497,2.9002,0.819,0.8784,1.0725,0,0,1,1.4681,1.5745,1.0725,0.2098,71.3929,-0.7283,0.3997,-0.2457,?,?,?,?,?,DESTRA_PANTALONI
-0.1342,21.6678,4.6549,34.6428,-0.5053,0.1118,19.0082,4.3598,31.3122,-0.4052,1.3028,24.7848,4.9784,24.4389,-0.4138,6.2091,28.6352,5.3512,31.0408,0.0412,-1.2005,-0.103,-0.0216,0.0858,0.018,0.2098,1.0677,0.935,0.8699,0.8757,0.8147,0.9303,1.1399,0.8742,0.7567,0.7669,0.6638,0.8655,1.2879,1.6258,-8.7171,1.2624,-6.7686,-5.3616,1.0328,1.3313,0.7109,1.289,0.6883,0.5339,1.1064,1.4175,1.116,1.2812,1.0087,0.7873,0.0137,9.5751,0.7205,-0.1448,0.356,-0.232,0.3781,0.4996,-27.7031,82.0233,9.0567,43.6875,?,-16.2337,16.5174,4.0642,26.3125,?,-32.5254,159.6268,12.6343,44.5,?,1.7065,0.8517,0.4991,2.2284,0.7168,0.3217,4.9659,0.5138,0.1035,1.6603,0.9817,0.5913,1,1,1,1.6603,0.9817,0.5913,0.4761,76.4622,0.6761,-0.944,-0.7059,?,?,?,?,?,DESTRA_PANTALONI
2.275,1.8875,1.3739,4.3652,0.0791,-0.3324,0.425,0.652,2.6406,-2.4667,-1.3406,3.2548,1.8041,6.4648,-1.6976,3.2413,2.1447,1.4645,4.4377,0.1733,-6.8446,-1.6971,0.7019,0.2479,-0.1025,-0.4136,2.1073,0.7615,0.9381,0.3614,0.4452,1.2319,4.4407,0.5799,0.8801,0.1306,0.1982,1.5176,-0.1996,-0.0922,0.403,0.4618,-2.0193,-4.3724,6.2231,1.978,0.883,0.3178,0.1419,0.4464,1.6531,0.6752,0.9837,0.4085,0.595,1.4568,0.121,4.7168,-0.1794,0.0014,0.8141,-0.2651,-0.158,-0.4256,-0.527,407.7308,20.1923,62.625,-1.7833,-36.5518,9.9251,3.1504,40.6875,?,-31.2798,32.0811,5.664,35.375,?,0.0144,0.0168,1.1685,6.4094,3.565,0.5562,41.0808,12.7094,0.3094,0.9862,1.1343,1.1502,0,0,1,1.5392,1.7703,1.1502,0.5467,85.5021,0.8093,-0.8267,-0.3529,?,?,?,?,?,DESTRA_PANTALONI
0.5411,2.1631,1.4707,6.7406,-1.1956,-0.1152,6.8867,2.6242,9.3578,-0.6261,-0.0636,0.6953,0.8338,4.2467,-0.7119,2.8812,1.7537,1.3243,6.6249,0.0654,-4.6958,-8.51,0.1878,1.8123,-0.04,-0.0221,0.5604,1.7638,1.1106,3.1473,1.9816,0.6296,0.3141,3.1112,1.2334,9.9052,3.9268,0.3964,1.0187,2.0784,-7.9114,2.0402,-7.7659,-3.8065,0.5335,1.2376,0.4331,2.3199,0.8118,0.3499,0.7203,1.5873,1.0175,2.2036,1.4125,0.641,0.0055,4.3352,-0.9444,-0.6716,-0.3159,0.6555,0.2422,0.295,5.2866,0.6699,0.8185,3,0.5457,-40.919,0.6561,0.81,42.409,?,-23.3313,3.6831,1.9192,25.6384,?,-0.1292,-0.2266,1.7538,1.0105,0.4265,0.4221,1.0211,0.1819,0.1781,-0.085,-0.1405,1.6541,0,0,1,0.0707,0.117,1.6541,0.4693,69.5369,0.2256,-0.0676,-0.9369,?,?,?,?,?,DESTRA_PANTALONI
0.0476,2.4694,1.5714,6.8066,-0.6052,-0.8518,3.0065,1.7339,6.6366,-3.3437,-0.0701,2.0459,1.4304,6.069,-0.906,2.5155,1.9266,1.388,6.0621,0.0489,-0.0559,-0.6799,0.0189,12.1574,-0.3386,-0.0279,0.9063,1.0986,1.1321,1.2122,1.2492,1.0305,0.8214,1.207,1.2817,1.4695,1.5605,1.0619,0.5023,0.8896,-8.226,1.7709,-16.3757,-9.247,2.7754,1.3317,0.6653,0.4798,0.2397,0.4996,1.0256,1.1215,1.1228,1.0935,1.0948,1.0011,0.0085,3.8721,-0.376,0.1835,0.5746,-0.478,-0.8186,0.39,-32.0285,43.5006,6.5955,45.9345,?,26.7142,60.2965,7.7651,28.4002,0.1978,14.7521,5.5592,2.3578,12.8463,0.2854,-1.1989,-2.1711,1.8109,0.8494,2.7973,3.2934,0.7214,7.8249,10.8462,-6.561,-8.9519,1.3644,0,0,1.9692,1.6174,3.5757,2.2108,0.438,73.4948,0.9862,0.6588,0.7453,?,?,?,?,?,DESTRA_PANTALONI
0.1877,7.2259,2.6881,15.2196,-0.5767,-1.5629,5.4983,2.3448,9.1398,-2.4323,0.821,7.4087,2.7219,13.1273,-0.6186,4.337,4.4747,2.1154,9.981,0.1084,-0.1201,0.2287,0.0433,-1.9037,-0.3604,0.1893,1.1464,0.9876,1.2708,0.8615,1.1085,1.2867,1.3142,0.9753,1.6148,0.7421,1.2287,1.6557,0.8595,1.1095,-4.5887,1.2909,-5.3389,-4.1357,3.6249,1.1902,0.8623,0.3283,0.2379,0.7245,1.6652,1.1594,1.5249,0.6962,0.9157,1.3152,0.0095,6.6634,-0.0671,0.3832,0.3037,-0.1278,-0.4598,0.2445,-33.3353,63.2642,7.9539,43.8599,?,1.2575,113.0687,10.6334,32.4585,-1.9726,-17.8856,190.5648,13.8045,37.1384,-10.4644,-26.5101,1.8638,-0.0703,0.748,0.5762,0.7703,0.5595,0.332,0.5933,2.0363,1.2938,0.6354,0,0,3.3707,1.3513,1.181,0.874,0.2024,61.5315,0.8023,-0.9415,-0.9309,?,?,?,?,?,SINISTRA_PANTALONI
0.0727,0.412,0.6419,4.0484,-0.3859,-0.5303,0.5348,0.7313,3.3939,-0.8792,0.1061,0.0789,0.281,1.5521,-1.479,0.9699,0.3828,0.6187,3.2507,0.0149,-0.1371,0.6854,0.0749,-5.0003,-0.5468,0.1094,0.8777,2.2846,1.0375,2.6028,1.182,0.4541,0.7704,5.2194,1.0764,6.7746,1.3971,0.2062,0.7099,1.2174,-22.9845,1.7148,-32.3757,-18.8803,1.6174,4.6654,0.8852,2.8845,0.5473,0.1897,1.1928,2.6083,1.2454,2.1866,1.0441,0.4775,0.0029,1.4172,0.3614,-0.0823,0.2438,-0.7527,-0.1319,-0.0971,-12.5198,0.1671,0.4088,13.3194,?,-38.1589,0.0678,0.2603,38.6398,?,18.1547,0.4749,0.6892,2.3392,0.8789,0.3281,-0.6896,-2.1019,1.5703,0.5932,0.3778,2.4658,0.3519,0.1427,0.3447,-0.7844,-2.2756,1,0,0,0.3447,5.6941,16.5186,0.2382,68.8334,0.4356,0.4061,0.5491,?,?,?,?,?,SINISTRA_PANTALONI
-0.7652,16.0672,4.0084,20.3107,-1.7792,-0.2421,12.263,3.5019,15.9211,-0.6557,-0.4142,4.3754,2.0917,11.4992,-1.5193,5.3084,5.3421,2.3113,12.6432,0.098,3.1601,1.8475,-0.1441,0.5846,-0.0456,-0.078,1.1446,1.9163,1.7343,1.6741,1.5151,0.905,1.3102,3.6722,3.0077,2.8027,2.2956,0.819,2.0622,1.875,-9.4668,0.9092,-4.5907,-5.049,0.76,1.6011,0.5214,2.1067,0.686,0.3256,1.2757,1.7663,1.6064,1.3845,1.2593,0.9095,0.0049,7.7394,0.1876,0.3386,-0.2423,-0.2321,0.0362,0.0239,-42.8547,85.0056,9.2198,51.7197,?,3.8356,212.4215,14.5747,51.0574,-1.0457,-13.3102,115.6907,10.756,31.8588,?,-11.1729,3.2197,-0.2882,0.6326,0.8572,1.355,0.4002,0.7348,1.8361,1.9817,1.6234,0.8192,0,1,0,1.013,1.6234,1.6026,0.2421,68.0794,0.6893,-0.9614,-0.7813,?,?,?,?,?,SINISTRA_PANTALONI
