@RELATION WhereIsSmartphone
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-10.29449,174.32863,13.203357,41.600006,-1.6000004,24.011145,51.251865,7.159041,25.186646,0.28832957,-22.42975,47.469006,6.8897753,31.654968,?,-0.428738,0.45896587,-1.0705043,1.8442913,1.9163697,1.0390819,3.4014103,3.6724727,1.0796912,-2.508762,0.80872,-0.32235822,0.4520938,?,?,1.6516691,1.3141699,0.7956617,0.1721631,61.592426,0.5386377,0.26036194,0.8977328,TASCA_DESTRA_DAVANTI_PANTALONI
-4.900007,315.8672,17.772654,56.30002,-1.6556597,25.583881,37.880714,6.1547313,19.274673,0.42512077,-15.298323,30.130854,5.4891577,21.73584,?,-0.19152711,0.320297,-1.6723324,2.887641,3.2377744,1.1212524,8.3384695,10.483181,1.2572068,-2.4625466,1.6148447,-0.6557621,0.63230366,?,?,2.9209323,2.5901928,0.88676924,0.15104501,56.250195,0.5918553,-0.29592374,0.43541914,TASCA_DESTRA_DAVANTI_PANTALONI
-10.363504,133.69107,11.562486,34.100006,-3.0117655,-28.888521,51.12279,7.1500206,37.658493,?,-19.560522,68.44631,8.273229,31.137451,?,0.35874125,0.52981734,1.4768789,1.6171262,1.3975784,0.8642358,2.6150973,1.9532254,0.74690354,0.6797937,0.82216126,1.2094276,?,?,1.0,0.9055064,1.0951444,1.2094276,0.18197273,61.86854,-0.8650432,0.90293765,-0.86915356,TASCA_DESTRA_DAVANTI_PANTALONI
-8.011997,221.2812,14.875524,44.899994,-1.5657139,-25.417458,17.48247,4.1812043,32.39441,?,-6.2857122,60.919,7.8050623,28.377335,-1.8608698,0.3152163,1.2746364,4.043688,3.5577126,1.9058815,0.53570414,12.65732,3.632384,0.28697893,0.8458248,1.4844342,1.755014,?,1.7642679,0.0,1.3860414,1.5822484,1.1415592,0.13690776,49.627914,-0.76166075,0.9105133,-0.759356,TASCA_DESTRA_DAVANTI_PANTALONI
-2.3341863,338.01135,18.385084,67.04712,-1.09869,31.56508,38.326817,6.1908655,20.853333,0.520937,-11.610928,49.479324,7.034154,26.8434,-14.560785,-0.07394837,0.20103358,-2.7185667,2.9697115,2.613688,0.88011515,8.819187,6.8313656,0.77460265,-1.5478858,1.3973855,-0.9027704,0.7339204,18.519354,25.233463,3.2151754,2.4977136,0.7768514,0.16856872,58.02937,0.50168043,-0.5326266,0.034124184,TASCA_DESTRA_DAVANTI_PANTALONI
-5.552312,326.51105,18.069616,53.0,-1.6259785,34.368942,41.642433,6.453095,18.21846,0.5889163,-19.692127,46.951958,6.85215,29.910416,?,-0.16155027,0.28195593,-1.7453139,2.8001473,2.6370726,0.9417621,7.8408256,6.954152,0.8869158,-1.257374,1.0971779,-0.8725947,0.45541075,?,?,2.9091372,1.771958,0.6091009,0.19998951,71.04485,0.7901139,0.3635529,0.74878174,TASCA_DESTRA_DAVANTI_PANTALONI
7.676958,185.13391,13.606392,51.90001,-0.91633433,37.16737,12.329501,3.511339,10.918701,0.73745835,7.966125,25.109768,5.010965,19.957672,-0.39159772,0.20655102,0.9637004,4.6656775,3.8749866,2.7153237,0.7007311,15.015523,7.372984,0.4910241,-0.80917007,4.4188957,-5.4610224,0.65121347,1.8884261,2.8998573,4.7533135,2.6005042,0.5470929,0.19389483,58.554737,-0.5937196,0.7443873,-0.2142919,TASCA_DESTRA_DAVANTI_PANTALONI
-3.4113915,14.386546,3.7929602,15.119934,?,36.949825,14.141338,3.760497,12.001038,0.6996716,-23.345839,15.171805,3.8951,33.659363,?,-0.09232497,0.14612418,-1.5827157,1.0086327,0.9737773,0.965443,1.0173398,0.9482422,0.93208015,-0.54079574,0.44920442,-0.830636,0.0,1.0,?,1.2598855,0.44920442,0.3565438,0.23073743,63.707027,0.86619,0.7784359,0.9797869,TASCA_DESTRA_DAVANTI_PANTALONI
5.29631,88.32942,9.398374,31.558228,-0.44902962,34.643307,20.597504,4.5384474,16.38031,0.5973368,-18.331163,46.653492,6.830336,27.418518,?,0.15288119,-0.28892383,-1.8898586,2.0708346,1.3759753,0.66445446,4.288356,1.8933078,0.4414997,-0.40244898,0.3566698,-0.8862485,0.53537136,?,?,1.9265952,1.1509823,0.5974178,0.2038685,61.689766,-0.6556082,-0.42112252,0.9079631,TASCA_DESTRA_DAVANTI_PANTALONI
6.569679,27.354055,5.2301106,19.438171,-0.2461117,41.89457,8.192715,2.8622918,9.359741,0.7914457,-9.9264345,67.54358,8.21849,26.818848,-9.645669,0.15681456,-0.6618367,-4.220505,1.8272458,0.6363834,0.34827468,3.338827,0.4049838,0.12129524,-0.10808489,0.15799057,-1.4617269,0.3475792,6.1920047,17.814657,2.076785,0.72479516,0.34899864,0.23166403,59.291004,-0.6978305,-0.7095571,0.97206354,TASCA_DESTRA_DAVANTI_PANTALONI
