@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
1.1811,8.4887,2.9135,11.9377,-0.5608,-1.4102,5.6027,2.367,13.626,-5.8605,-0.5931,8.654,2.9418,12.9552,-1.4416,4.5517,5.7631,2.4006,12.0033,0.0439,-0.8375,-1.9913,0.2595,2.3776,-0.3098,-0.1303,1.2309,0.9904,1.2136,0.8046,0.986,1.2254,1.5151,0.9809,1.4729,0.6474,0.9722,1.5016,0.3685,0.5608,-7.7791,1.5217,-21.1101,-13.8726,3.8509,1.4415,0.6092,0.3743,0.1582,0.4226,0.8761,0.9215,0.9945,1.0518,1.1352,1.0793,0.0133,6.6059,-0.6752,0.1357,0.6287,0.0059,-0.7746,-0.1598,-0.1237,0.3584,0.5987,3.6676,-1.7094,-0.8172,1.996,1.4128,5.3243,-8.1172,0.848,2.1085,1.4521,5.2754,-0.0651,0.1514,-0.1459,-0.9637,0.4237,0.4123,0.9729,0.1796,0.17,0.9466,0.4881,7.1742,14.697,2.318,0.2733,0.1179,0.6888,0.6952,1.0093,0.0082,2.3396,0.3096,-0.6004,-0.804,?,?,?,?,?,PANTALONI
1.7198,4.3406,2.0834,7.0629,-0.1309,-0.1185,2.0817,1.4428,6.4513,-1.1897,-1.3268,7.2767,2.6975,12.0333,-1.8669,3.7405,4.4402,2.1072,7.1991,0.1075,-14.5075,-1.2962,0.4598,0.0893,-0.0317,-0.3547,1.444,0.7723,0.9887,0.5349,0.6847,1.2802,2.0852,0.5965,0.9776,0.2861,0.4688,1.6388,0.2332,0.1043,-0.9424,0.4473,-4.0408,-9.0335,2.1198,1.488,0.7742,0.7019,0.3652,0.5203,1.0948,0.5869,0.9811,0.5361,0.8961,1.6715,0.0166,5.5006,0.0078,-0.299,0.8265,0.2228,-0.2591,-0.5968,0.3442,0.5989,0.7739,3.1655,-0.328,-1.1598,3.2092,1.7914,6.1673,-33.8138,0.2524,0.9134,0.9557,3.2278,-0.202,-0.2968,1.3637,-4.5948,0.432,0.8098,1.8744,0.1866,0.6557,3.5133,0.1305,1.4414,11.0428,13.4552,0.8876,0.066,0.5133,0.9807,1.9107,0.0094,2.3361,-0.83,0.4645,-0.5209,?,?,?,?,?,PANTALONI
0.0825,2.2591,1.503,5.5111,-1.1139,0.0495,3.8915,1.9727,7.3519,-0.614,-0.0117,0.3019,0.5494,2.8215,-0.5017,2.3631,0.8778,0.9369,4.3277,0.1241,1.6667,-7.05,0.0349,-4.2298,0.0209,-0.005,0.7619,2.7356,1.6042,3.5903,2.1055,0.5864,0.5805,7.4834,2.5735,12.8906,4.4331,0.3439,1.0384,3.0808,-4.7351,2.967,-4.5601,-1.537,0.5723,1.3876,0.5276,2.4245,0.9219,0.3803,0.7496,1.9533,1.2735,2.6057,1.6988,0.652,0.0006,3.4672,-0.6734,-0.2674,-0.3225,0.5011,0.4705,0.2752,-0.0952,0.0392,0.1979,0.8452,-1.5255,0.0654,0.0795,0.282,1.0413,-0.6503,0.1154,0.0111,0.1053,0.4626,-0.2802,-1.456,-0.8246,0.5663,0.7018,1.8787,2.677,0.4925,3.5294,7.1664,1.2442,5.0421,4.0526,0.5304,0.9263,1.7463,0.8117,1.8272,2.2512,0.0011,0.5456,-0.744,-0.2226,0.1614,?,?,?,?,?,PANTALONI
1.8669,5.9925,2.448,8.9337,-0.1363,-1.0208,2.6809,1.6374,6.2929,-2.2351,-0.6774,4.8509,2.2025,11.6802,-1.6001,3.8558,3.643,1.9087,7.2709,0.126,-1.8289,-2.7559,0.4842,1.5069,-0.2647,-0.1757,1.4951,1.1115,1.2825,0.7434,0.8579,1.1539,2.2352,1.2353,1.6449,0.5527,0.7359,1.3316,0.2465,0.1491,-1.0223,0.6049,-4.1472,-6.8564,4.0418,1.7501,0.945,0.433,0.2338,0.54,1.4196,0.7649,1.2287,0.5388,0.8655,1.6064,0.0148,5.5005,-0.0951,0.2621,0.8173,0.3644,-0.3419,-0.0426,-0.0031,0.4111,0.6412,4.1856,-1.1708,-0.6534,1.4524,1.2051,5.4529,-4.6781,0.882,0.4612,0.6791,2.4824,0.0047,0.0047,-0.0035,-0.7408,0.532,0.9442,1.7747,0.2831,0.8915,3.1494,0.5025,-192.5507,-383.1922,2.0078,0.7731,0.385,0.7676,1.6861,2.1967,0.0073,2.2164,0.048,-0.4509,-0.7118,?,?,?,?,?,PANTALONI
1.6266,12.4253,3.525,16.7231,-0.1505,-2.2421,21.6103,4.6487,20.2057,-2.1358,-0.1851,11.3683,3.3717,18.6203,-0.5756,5.5515,22.2917,4.7214,19.1199,0.0081,-0.7255,-8.7867,0.293,12.1115,-0.4039,-0.0333,0.7583,1.0455,0.7466,1.3787,0.9846,0.7141,0.575,1.093,0.5574,1.9009,0.9694,0.51,0.1589,0.3215,-13.9273,2.0231,-87.6402,-43.3199,2.2559,1.23,0.7541,0.5452,0.3343,0.6131,0.8276,0.8981,0.8746,1.0851,1.0568,0.9739,0.019,8.3805,-0.4273,0.3462,0.7939,0.0388,-0.7787,0.2331,-0.1908,0.4405,0.6637,3.3443,-1.8579,-0.6687,3.4313,1.8524,9.6194,-1.3949,1.0785,3.3999,1.8439,7.2365,-0.1486,0.2854,-0.1769,-0.62,0.3583,0.3599,1.0046,0.1284,0.1296,1.0092,0.388,2.3226,5.9855,0.2913,0.1857,0.6375,0.3477,0.4621,1.3293,0.0088,3.0253,0.1046,-0.2803,-0.0287,?,?,?,?,?,PANTALONI
1.5004,5.4151,2.327,12.5617,-0.4584,-2.3997,19.8006,4.4498,20.4807,-3.4331,-0.1468,12.9246,3.5951,20.5313,-0.5732,5.5712,15.1334,3.8902,17.0468,0.0701,-0.6253,-10.2241,0.2693,16.3517,-0.4307,-0.0263,0.523,0.6473,0.5982,1.2377,1.1439,0.9241,0.2735,0.419,0.3578,1.532,1.3084,0.854,0.2489,0.5279,-3.0717,2.1203,-12.3389,-5.8193,1.8643,0.66,0.4698,0.354,0.252,0.7119,0.6133,0.6118,0.7369,0.9975,1.2014,1.2044,0.0195,8.3771,-0.158,0.3472,0.4636,-0.2735,-0.8345,0.4376,-0.2104,0.3114,0.558,2.697,-1.924,-0.7568,2.232,1.494,7.9094,-0.6893,1.1597,5.6353,2.3739,9.5073,-0.2758,0.2781,-0.1815,-0.6526,0.3735,0.2351,0.6293,0.1395,0.0553,0.3961,0.5499,0.8634,1.5701,0.197,0.1238,0.6283,0.341,0.2837,0.8319,0.0097,3.1649,0.4113,0.0097,0.4874,?,?,?,?,?,PANTALONI
1.9602,14.3239,3.7847,19.5866,-0.2294,-2.711,19.0274,4.362,17.4123,-3.4308,0.5101,26.6435,5.1617,23.093,-0.3533,6.4909,29.3156,5.4144,25.0976,0.0339,-0.7231,3.8426,0.302,-5.3145,-0.4177,0.0786,0.8676,0.7332,0.699,0.8451,0.8056,0.9533,0.7528,0.5376,0.4886,0.7141,0.6491,0.9089,0.271,0.6061,-4.1431,2.2364,-15.2865,-6.8353,4.0542,0.9337,0.6133,0.2303,0.1513,0.6568,1.1249,0.8482,0.7804,0.754,0.6938,0.9201,0.0232,10.1455,-0.5434,0.7021,0.8633,-0.2642,-0.7976,0.6517,-0.1707,0.5377,0.7333,3.8313,-1.6959,-0.4322,4.9763,2.2308,10.5177,-0.9351,1.2727,6.3594,2.5218,9.7038,-0.2005,0.395,-0.1342,-0.3396,0.3287,0.2908,0.8846,0.108,0.0845,0.7825,0.4742,1.4871,3.136,0.2615,0.1758,0.6724,0.3643,0.3948,1.0839,0.0093,3.5709,0.6648,-0.0842,0.2491,?,?,?,?,?,PANTALONI
1.995,14.9124,3.8617,18.4997,-0.2585,-1.9189,18.847,4.3413,19.8871,-8.8306,-0.2166,15.4251,3.9275,19.815,-0.8971,5.4237,27.477,5.2419,23.6889,0.0216,-1.0397,-9.2107,0.3678,8.859,-0.3538,-0.0399,0.8895,0.9832,0.7367,1.1054,0.8282,0.7493,0.7912,0.9668,0.5427,1.2218,0.6859,0.5614,0.2127,0.4056,-7.2578,1.9065,-34.1179,-17.896,7.2663,1.4074,0.6071,0.1937,0.0836,0.4314,0.9302,0.9336,0.7809,1.0036,0.8395,0.8365,0.0191,8.3602,-0.805,0.4708,0.8665,-0.4485,-0.8913,0.524,-0.1206,1.5738,1.2545,7.2754,-3.5079,-0.7457,1.7227,1.3125,6.1331,-2.3873,1.2397,5.9979,2.4491,10.3395,-0.1118,0.1617,-0.0973,-0.6015,0.9558,0.5122,0.5359,0.9135,0.2624,0.2872,1.3098,5.4454,4.1575,0.8914,0.1735,0.1947,1.1863,0.7037,0.5932,0.01,2.9335,0.2141,-0.5788,-0.4253,?,?,?,?,?,PANTALONI
1.3493,22.5083,4.7443,29.6612,-0.2671,1.0295,9.9382,3.1525,13.7569,-0.84,-0.8332,7.1935,2.6821,16.2334,-1.086,5.9225,8.1381,2.8527,23.0349,0.0513,1.3106,-1.6193,0.2278,-1.2355,0.1738,-0.1407,1.5049,1.7689,1.6631,1.1754,1.1051,0.9402,2.2648,3.129,2.7658,1.3816,1.2212,0.8839,0.9956,0.7398,-5.0218,0.7431,-5.044,-6.7876,3.1309,3.008,0.9641,0.9608,0.3079,0.3205,2.1561,1.8272,1.2877,0.8474,0.5972,0.7047,0.0135,8.6624,-0.4967,0.2511,0.5467,-0.231,-0.0697,0.1407,0.1202,0.8108,0.9004,5.0479,-0.6032,-0.3948,2.7722,1.665,6.5187,-1.3917,-0.3516,4.8008,2.1911,10.8275,-0.5135,-0.3044,-0.3418,1.1229,0.5408,0.4109,0.7599,0.2925,0.1689,0.5774,0.5007,0.517,1.0326,1.1553,0.4401,0.381,0.7744,0.4662,0.6021,0.0039,3.7941,0.0031,0.2696,0.0609,?,?,?,?,?,PANTALONI
0.1488,1.5596,1.2488,5.2667,-1.0092,-0.1582,0.9461,0.9727,4.2794,-0.933,-0.3648,0.4593,0.6777,3.1156,-2.5921,1.5636,0.7004,0.8369,3.493,0.0472,-0.9403,-0.4079,0.0952,0.4338,-0.1012,-0.2333,1.2839,1.8428,1.4922,1.4353,1.1622,0.8098,1.6485,3.3959,2.2267,2.06,1.3508,0.6557,1.2808,1.1767,-15.2968,0.9187,-11.9435,-13.0002,1.184,3.0222,0.715,2.5524,0.6039,0.2366,1.2307,1.6904,1.5078,1.3735,1.2251,0.892,0.0031,2.4164,0.0674,0.3538,-0.4983,-0.7763,0.3612,-0.5559,0.5699,0.0937,0.3061,1.2978,-0.1683,0.3934,0.1233,0.3511,1.2347,-0.4472,-0.097,0.0315,0.1774,0.8224,-2.9528,1.4487,-5.878,-4.0575,0.8719,1.7256,1.9791,0.7602,2.9775,3.9168,0.49,0.3043,0.6211,1.302,5.3385,4.1004,1.051,1.5779,1.5013,0.005,1.2008,0.9347,-0.56,-0.5668,?,?,?,?,?,PANTALONI
