@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
1.1137,5.6283,2.3724,19.0262,-1.9626,-0.1343,6.0659,2.4629,16.1801,-0.8296,0.5999,19.3292,4.3965,20.3591,-0.7452,5.0419,7.2207,2.6871,16.768,0.0416,-8.2904,1.8564,0.2209,-0.2239,-0.0266,0.119,0.9633,0.5396,0.8829,0.5602,0.9166,1.6361,0.9279,0.2912,0.7795,0.3138,0.8401,2.6769,1.7179,1.4498,-17.3081,0.8439,-10.075,-11.9383,0.7262,0.5505,0.3671,0.7581,0.5054,0.6667,1.1759,0.9345,1.1347,0.7947,0.9649,1.2142,0.0064,7.678,-0.3614,0.3994,0.2597,-0.1239,-0.1267,0.3491,2.8543,10.762,3.2806,8.837,-0.0065,3.9954,12.0751,3.4749,10.7014,-0.6085,6.8345,2.5763,1.6051,4.9354,0.3861,0.7144,0.4176,0.5846,0.9441,2.0439,2.165,0.8913,4.1774,4.6871,0.014,-0.0183,-1.3042,1.3198,1.0921,0.8275,0.8258,1.7905,2.1683,0.0421,14.7798,-0.9064,-0.9481,0.9695,1109.3068,157164.8125,396.4402,1398.83,0.1041,DESTRA_PANTALONI
1.0178,7.9006,2.8108,11.102,-0.5336,-0.9745,7.2396,2.6907,12.7363,-2.4735,0.6872,18.9348,4.3514,20.2456,-0.4725,5.25,8.9705,2.9951,15.7389,0.0262,-1.0445,1.4813,0.1939,-1.4182,-0.1856,0.1309,1.0447,0.646,0.9385,0.6183,0.8984,1.4529,1.0913,0.4173,0.8807,0.3823,0.8071,2.1108,0.4259,0.5946,-9.1349,1.396,-21.4475,-15.3633,1.9743,0.5265,0.4479,0.2667,0.2269,0.8507,0.8717,0.5484,0.7054,0.6291,0.8092,1.2863,0.0078,7.7746,-0.4444,0.1763,0.3828,-0.3829,-0.7371,0.5855,2.3409,10.3865,3.2228,9.0586,-0.021,4.4944,6.8268,2.6128,10.8182,-0.6921,7.1559,2.1349,1.4611,5.1628,0.3805,0.5209,0.3271,0.6281,1.2335,2.2057,1.7882,1.5214,4.8652,3.1978,0.042,-0.0586,-1.3952,1.3878,1.0646,0.7671,0.8373,1.7546,2.0954,0.0438,14.5289,-0.8262,-0.9569,0.9161,1548.1969,214519.5781,463.1626,2204.1101,0.127,DESTRA_PANTALONI
0.1516,2.5224,1.5882,8.5623,-0.6161,0.3866,2.7041,1.6444,8.1255,-0.9096,0.3796,14.935,3.8646,17.6466,-0.6189,4.1425,3.3179,1.8215,10.0776,0.091,0.3922,0.3995,0.0366,1.0186,0.0933,0.0916,0.9658,0.411,0.8719,0.4255,0.9028,2.1216,0.9328,0.1689,0.7602,0.1811,0.815,4.5013,0.8433,0.4838,-3.2339,0.5737,-3.8347,-6.684,1.2452,0.4861,0.4779,0.3904,0.3838,0.9832,1.0538,0.4852,0.8496,0.4605,0.8063,1.7511,0.0028,6.0186,0.0847,0.5583,0.2,0.3703,0.0449,0.3714,1.3068,3.011,1.7352,5.6766,-0.0399,6.3949,0.262,0.5118,2.1236,0.7283,7.0591,0.5277,0.7264,2.3808,0.698,0.2044,0.1851,0.9059,3.3904,2.3887,0.7046,11.4945,5.706,0.4964,-0.0383,-0.0396,1.0346,0.6984,0.6925,0.9916,2.6731,2.3843,0.892,0.0481,14.7861,-0.3916,-0.702,-0.3523,1139.7404,199451.2188,446.5996,1548.9763,0.0422,DESTRA_PANTALONI
-0.085,3.2587,1.8052,13.2746,-0.4988,0.3079,1.8012,1.3421,8.8492,-0.8051,0.2247,18.8174,4.3379,18.2539,-0.5618,4.3114,5.4421,2.3328,11.4852,0.0397,-0.2762,-0.3784,-0.0197,1.37,0.0714,0.0521,1.3451,0.4161,0.7738,0.3094,0.5753,1.8595,1.8092,0.1732,0.5988,0.0957,0.331,3.4578,1.1193,0.6728,-9.31,0.6011,-8.3176,-13.8367,1.8067,0.7578,0.7405,0.4194,0.4099,0.9773,1.5001,0.7272,1.1558,0.4848,0.7705,1.5893,0.002,6.035,-0.1587,0.1111,0.0374,-0.0253,0.2184,0.3734,1.3546,0.7258,0.8519,3.4201,0.0404,4.2141,0.5575,0.7467,3.1221,0.5095,8.6649,0.2826,0.5316,2.6167,0.7148,0.3214,0.1563,0.4863,1.141,1.6025,1.4045,1.3018,2.5681,1.9727,0.0444,0.022,0.4945,0.5599,0.3885,0.6938,1.0955,1.307,1.1931,0.0487,14.2336,0.4267,-0.6499,-0.9522,482.5362,45134.4883,212.4488,682.5323,0.0069,DESTRA_PANTALONI
0.3907,1.3598,1.1661,7.2828,-0.8281,-1.3098,20.9799,4.5804,20.7489,-3.9178,0.6261,20.7651,4.5569,17.993,-0.7619,5.6876,13.0159,3.6078,16.1409,0.0305,-0.2983,0.6241,0.0687,-2.0921,-0.2303,0.1101,0.2546,0.2559,0.3232,1.0052,1.2696,1.2631,0.0648,0.0655,0.1045,1.0103,1.6119,1.5954,0.1996,0.424,-6.4866,2.1244,-32.5021,-15.2995,0.9442,0.3901,0.2393,0.4132,0.2534,0.6134,0.351,0.4048,0.4512,1.1532,1.2855,1.1147,0.0075,7.6429,-0.0065,0.1108,0.1471,-0.1838,-0.7666,0.2896,2.3238,3.4723,1.8634,6.6415,0.1086,3.6021,8.1969,2.863,11.2169,-1.0535,8.0933,0.688,0.8295,3.0288,0.6538,0.6451,0.2871,0.4451,0.6509,2.2465,3.4516,0.4236,5.0468,11.9138,-0.1406,0.1414,-1.0058,1.3639,0.8515,0.6243,0.5921,2.1928,3.7034,0.0458,14.9139,-0.8365,-0.8932,0.9166,1798.5468,231986.125,481.6494,1917.0475,0.1053,DESTRA_PANTALONI
0.9458,3.195,1.7875,8.6285,-0.5791,-1.1317,5.7366,2.3951,13.703,-1.9855,0.4178,20.4464,4.5218,19.4652,-0.5053,5.0499,6.2262,2.4952,15.0434,0.0504,-0.8358,2.2638,0.1873,-2.7087,-0.2241,0.0827,0.7463,0.3953,0.7164,0.5297,0.9599,1.8122,0.557,0.1563,0.5132,0.2806,0.9214,3.2839,0.3472,0.4842,-3.9602,1.3946,-11.4055,-8.1781,1.1905,0.4226,0.3449,0.355,0.2897,0.8162,0.6297,0.4433,0.5736,0.704,0.9109,1.2939,0.0077,7.3432,-0.5286,0.1992,0.3037,-0.3185,-0.5733,0.5204,2.3439,7.9549,2.8204,8.5742,0.0164,5.7671,7.5358,2.7451,11.0978,-0.4253,6.4342,0.5916,0.7691,3.2655,0.5521,0.4064,0.3643,0.8963,1.0274,3.667,3.5691,1.0556,13.4469,12.7384,-0.0433,0.0356,-0.8228,1.1196,1.1958,1.0681,0.7726,2.6257,3.3985,0.0448,14.8399,-0.9496,-0.722,0.8301,840.0075,212810.7188,461.3141,1290.1682,0.0032,DESTRA_PANTALONI
1.378,8.7045,2.9503,15.9568,-0.4861,-1.5465,23.6948,4.8677,31.4394,-1.3796,0.4342,34.6142,5.8834,28.8364,-0.5822,6.8546,24.5065,4.9504,23.5882,0.0239,-0.8911,3.1733,0.201,-3.5613,-0.2256,0.0634,0.6061,0.5015,0.596,0.8274,0.9833,1.1885,0.3674,0.2515,0.3552,0.6845,0.9669,1.4124,0.2863,0.4919,-9.0175,1.7178,-31.4922,-18.3329,0.8127,0.5891,0.4443,0.7249,0.5467,0.7542,0.5075,0.5534,0.6765,1.0903,1.3328,1.2225,0.0055,10.3011,-0.2613,-0.0828,0.4614,-0.5368,-0.6713,0.5235,2.5944,9.3277,3.0541,9.2694,-0.0187,4.2065,28.1298,5.3038,15.8772,-0.9127,5.6009,2.9137,1.7069,5.5685,0.2078,0.6168,0.4632,0.751,0.5758,1.7892,3.1072,0.3316,3.2014,9.6545,0.0225,-0.1165,-5.1881,1.0962,1.2946,1.181,0.5838,1.6646,2.8512,0.0193,14.7978,-0.7743,-0.8455,0.9126,333.3152,17942.8535,133.9509,350,0.3997,DESTRA_PANTALONI
0.8908,4.8654,2.2058,10.323,-0.5623,-1.8935,24.5338,4.9532,29.3893,-2.8402,0.5044,17.788,4.2176,20.3481,-0.6907,5.8743,17.3138,4.161,21.4606,0.0391,-0.4705,1.7661,0.1517,-3.754,-0.3223,0.0859,0.4453,0.523,0.5301,1.1744,1.1904,1.0136,0.1983,0.2735,0.281,1.3792,1.417,1.0274,0.1709,0.447,-4.2518,2.6148,-24.8737,-9.5128,0.8634,0.549,0.2958,0.6359,0.3427,0.5389,0.3513,0.5073,0.481,1.4443,1.3695,0.9482,0.0057,8.6841,0.0073,0.291,0.2227,-0.4954,-0.8248,0.5823,1.0705,7.2957,2.7011,9.1061,-0.1363,4.7855,14.7406,3.8393,15.5425,-1.0912,7.0243,0.7485,0.8652,3.247,0.5885,0.2237,0.1524,0.6813,0.7035,3.122,4.4377,0.4949,9.7469,19.6931,0.1347,-0.2352,-1.7464,1.0782,1.0156,0.9419,0.5859,2.8045,4.7868,0.0228,14.8396,-0.7044,-0.7963,0.8563,245.4853,30032.9922,173.3003,497,0.1906,DESTRA_PANTALONI
0.8141,7.9568,2.8208,14.9123,-0.8379,-2.5797,31.6394,5.6249,30.8114,-2.4717,0.7533,33.0739,5.751,29.4395,-0.5902,7.36,26.3858,5.1367,23.3642,0.0584,-0.3156,1.0807,0.1106,-3.4245,-0.3505,0.1023,0.5015,0.4905,0.5491,0.9781,1.095,1.1196,0.2515,0.2406,0.3016,0.9566,1.1991,1.2535,0.3099,0.6222,-4.6879,2.0075,-15.1259,-7.5346,0.9142,0.4383,0.327,0.4794,0.3577,0.746,0.484,0.5065,0.6383,1.0466,1.3187,1.26,0.0074,10.9315,-0.089,-0.2967,0.2232,-0.4227,-0.7952,0.5113,2.7227,9.7179,3.1174,9.057,0.0026,4.1137,22.3118,4.7235,15.3979,-1.0262,5.9914,3.9032,1.9756,6.385,0.1674,0.6619,0.4544,0.6866,0.66,1.5779,2.3909,0.4356,2.4898,5.7163,-0.003,0.0182,-6.0757,1.1949,1.1841,0.991,0.5882,1.4185,2.4116,0.0204,14.8144,-0.6928,-0.9295,0.834,279.4068,8321.5703,91.2226,301,0.3568,DESTRA_PANTALONI
0.7494,3.537,1.8807,8.6283,-0.3253,-0.8925,4.4196,2.1023,10.0371,-4.6001,0.5027,8.588,2.9305,13.797,-0.3817,3.0976,8.5603,2.9258,11.2667,0.0405,-0.8397,1.4908,0.2419,-1.7755,-0.2881,0.1623,0.8946,0.6418,0.6428,0.7174,0.7185,1.0016,0.8003,0.4119,0.4132,0.5146,0.5163,1.0032,0.2569,0.5557,-4.4542,2.1633,-17.3399,-8.0154,3.6324,0.652,0.5544,0.1795,0.1526,0.8504,0.8596,0.6254,0.7658,0.7275,0.8909,1.2246,0.0073,4.6974,-0.7793,0.2518,0.7573,-0.518,-0.882,0.6795,1.2495,1.9479,1.3957,6.2578,0.0285,3.0099,0.6265,0.7915,3.1992,0.1748,8.664,0.5848,0.7647,2.5352,0.7347,0.4151,0.1442,0.3474,1.7633,1.8251,1.0351,3.1091,3.331,1.0714,0.2709,0.0261,0.0965,1.6615,0.674,0.4057,1.956,2.4684,1.2619,0.0532,12.9233,-0.8064,-0.7413,0.7982,13.2356,39.456,6.2814,18,0.0526,DESTRA_PANTALONI
