@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
-0.2925,8.1214,2.8498,13.2751,-1.1852,0.262,5.2618,2.2939,17.5496,-0.4714,-0.5391,23.4525,4.8428,27.5129,-1.258,5.3172,9.0078,3.0013,15.6838,0.0189,-1.1167,0.5427,-0.055,-0.4859,0.0493,-0.1014,1.2424,0.5885,0.9495,0.4737,0.7643,1.6136,1.5435,0.3463,0.9016,0.2244,0.5841,2.6036,1.2807,0.4697,-23.821,0.3668,-18.6005,-50.7119,0.5093,0.4986,0.38,0.9789,0.7461,0.7622,0.7564,0.4825,0.8464,0.6379,1.119,1.7542,0.0036,7.6547,-0.2099,0.3535,-0.2264,-0.2852,0.0553,-0.1551,-44.4257,70.4806,8.3953,69.5,?,27.4378,87.8765,9.3742,34.75,0.2527,-12.8203,40.7924,6.3869,45.5,?,-1.6191,3.4653,-2.1402,0.8956,1.3145,1.4677,0.802,1.7278,2.1542,-5.9149,1.5275,-0.2582,0,1,0,2,1.5275,0.7637,0.2906,84.6838,-0.2927,0.734,-0.3207,?,?,?,?,?,DESTRA_PANTALONI
-0.1406,18.5221,4.3037,27.4349,-2.8032,-0.981,9.37,3.061,22.0666,-0.9534,-1.1226,6.8086,2.6093,15.291,-1.3374,5.158,10.3384,3.2153,20.4555,0.0443,0.1433,0.1252,-0.0273,0.8738,-0.1902,-0.2177,1.406,1.6494,1.3385,1.1731,0.952,0.8115,1.9767,2.7204,1.7916,1.3762,0.9063,0.6586,1.8775,2.3112,-21.3057,1.231,-11.3477,-9.2183,0.6386,1.1027,0.337,1.7268,0.5278,0.3056,1.2433,1.7942,1.3412,1.4431,1.0788,0.7475,0.0078,7.627,-0.1814,0.0907,-0.4715,0.0958,-0.1668,-0.2779,-31.0023,255.5163,15.9849,57,?,12.3522,38.634,6.2156,21.5,-0.0393,56.5576,108.9748,10.4391,37.25,0.4471,-2.5099,-0.5482,0.2184,2.5717,1.5313,0.5954,6.6138,2.3447,0.3545,70.1538,-1.8921,-0.027,0,0,0.3071,2.6512,1.5302,0.5772,0.342,99.9863,-0.1133,0.9573,-0.054,2,0,0,0,1,DESTRA_PANTALONI
0.999,1.7484,1.3223,4.5686,-0.0996,0.1687,0.5118,0.7154,3.9134,-1.2275,-1.233,3.9008,1.975,7.4142,-5.571,2.1062,4.2716,2.0668,6.6146,0.007,5.9206,-0.8102,0.4743,-0.1368,0.0801,-0.5854,1.8482,0.6695,0.6398,0.3622,0.3462,0.9556,3.4159,0.4482,0.4093,0.1312,0.1198,0.9132,0.192,0.0659,-8.8196,0.3431,-45.9434,-133.9166,2.3647,3.6821,0.6237,1.5571,0.2637,0.1694,1.1674,0.6162,0.6907,0.5278,0.5916,1.1209,0.0092,3.069,0.5127,-0.6069,0.7665,-0.0182,0.107,-0.9419,-20.2741,43.1306,6.5674,33.9375,?,-11.6157,15.0387,3.878,20.6875,?,-17.9756,240.4385,15.5061,55.625,-0.9955,1.7454,1.1279,0.6462,1.6935,0.4235,0.2501,2.868,0.1794,0.0625,1.6405,1.223,0.7455,1,0,0,1.6405,0.6101,0.3719,0.1694,54.6613,0.9462,-0.8894,-0.7125,16.7414,63.2262,7.9515,21,0,DESTRA_PANTALONI
-0.5946,2.9033,1.7039,10.7179,-1.7768,0.2222,4.277,2.0681,20.7072,-1.0295,-0.4689,3.4655,1.8616,13.3512,-0.9059,2.4575,5.2294,2.2868,10.7957,0.0078,-2.6759,1.2681,-0.242,-0.4739,0.0904,-0.1908,0.8239,0.9153,0.7451,1.1109,0.9044,0.8141,0.6788,0.8378,0.5552,1.2342,0.8179,0.6627,0.6529,1.0807,-80.2926,1.6552,-122.9798,-74.2985,0.3783,0.551,0.3547,1.4565,0.9377,0.6438,0.5176,0.8028,0.9928,1.551,1.9181,1.2367,0.0039,3.6783,-0.2879,-0.0667,-0.5038,0.1518,0.2437,-0.2165,-26.5871,60.1466,7.7554,44.2,?,-12.3542,6.8204,2.6116,16.2,?,30.0945,86.1695,9.2828,29.7,0.1863,2.1521,-0.8835,-0.4105,2.9696,0.8355,0.2813,8.8187,0.698,0.0792,2.7284,-6.5,-2.3824,1,0,0,2.7284,1.4882,0.5455,0.209,69.0358,-0.5393,0.9862,-0.5586,4.111,0.0071,0.0845,1.0569,0.791,DESTRA_PANTALONI
-0.0022,0.0112,0.1058,0.541,-1.0836,0.0048,0.0129,0.1136,0.7034,-1.1591,0.0125,0.0133,0.1152,0.672,-0.8827,0.1799,0.0052,0.0722,0.3726,0.0738,-0.4548,-0.1757,-0.0122,0.3864,0.0269,0.0696,0.9313,0.9182,1.4656,0.9859,1.5736,1.5961,0.8674,0.8431,2.1479,0.972,2.4763,2.5476,0.745,0.8929,-9.4745,1.1985,-12.7168,-10.6105,0.797,0.7274,0.6455,0.9127,0.8099,0.8873,0.7691,0.805,1.452,1.0467,1.888,1.8037,0.0001,0.2678,0.0232,0.0606,-0.0203,0.0436,0.0201,0.1201,40.9499,0.0341,0.1846,0.8,0.9806,-10.3296,0.0191,0.1382,10.7373,?,6.3405,0.1103,0.3321,1.5486,0.7815,-3.9643,6.4585,-1.6292,1.3359,0.5559,0.4162,1.7847,0.3091,0.1732,-3.7722,7.3106,-1.938,0,5.8264,0,0.0745,0.5166,6.9335,0.2135,57.6201,0.0538,-0.2205,0.2497,4.1432,0,0,0,1,DESTRA_PANTALONI
0.7457,3.1029,1.7615,9.0955,-0.1625,0.0237,0.5448,0.7381,4.1967,-0.789,-0.8926,6.4056,2.5309,13.7457,-3.9812,1.8986,7.8022,2.7932,11.9774,0.008,31.4958,-0.8354,0.3928,-0.0265,0.0125,-0.4702,2.3865,0.696,0.6306,0.2916,0.2642,0.9061,5.6955,0.4844,0.3977,0.085,0.0698,0.821,0.6871,0.1158,-13.0879,0.1685,-19.0484,-113.0657,3.3351,2.8352,0.648,0.8501,0.1943,0.2285,2.1673,0.6617,0.7594,0.3053,0.3504,1.1476,0.0058,2.8108,0.6107,-0.7284,0.8937,-0.5814,0.6312,-0.9047,-20.6443,26.2804,5.1264,36.4965,?,-26.9559,12.09,3.4771,33.1118,?,-25.6939,235.2539,15.338,65.2483,-1.0676,0.7659,0.8035,1.0491,1.4744,0.3342,0.2267,2.1737,0.1117,0.0514,1.1022,1.0833,0.9828,1,0,0,1.1022,0.5593,0.5075,0.2118,76.8316,-0.4629,-0.8895,0.7546,4.2494,0.0899,0.2999,2.5568,0.6184,DESTRA_PANTALONI
0.6221,2.0138,1.4191,8.6998,-0.3043,0.2524,1.2562,1.1208,7.4486,-0.9536,-1.1474,4.8843,2.21,12.5278,-4.5902,2.1105,5.4674,2.3382,11.4602,0.0049,2.4646,-0.5422,0.2947,-0.22,0.1196,-0.5437,1.2661,0.6421,0.6069,0.5071,0.4793,0.9452,1.603,0.4123,0.3683,0.2572,0.2298,0.8934,0.5582,0.1973,-35.6483,0.3535,-63.8652,-180.6883,1.7495,2.9764,0.5792,1.7013,0.331,0.1946,1.168,0.6944,0.7591,0.5946,0.65,1.0932,0.0066,3.1339,0.6033,-0.5311,0.7266,-0.2401,0.3733,-0.8766,-45.6278,66.3725,8.1469,64.3546,?,13.5331,6.9592,2.638,7.7739,0.4971,-13.2907,60.5916,7.7841,28.7039,-1.5753,-3.3716,3.4331,-1.0182,3.0883,1.0466,0.3389,9.5374,1.0954,0.1149,-8.375,3.6653,-0.4376,0,0,1.3869,8.2783,2.242,0.2708,0.2458,73.9843,0.9759,-0.9306,-0.8577,59.8667,701.5742,26.4872,140.3935,0.0287,DESTRA_PANTALONI
-0.0171,0.0082,0.0906,0.4503,-1.5064,-0.0213,0.0049,0.0703,0.329,-1.2004,-0.0021,0.01,0.0999,0.606,-1.0482,0.1399,0.0043,0.0655,0.3237,0.0374,0.8025,8.1114,-0.1222,10.1081,-0.1523,-0.0151,1.289,0.9066,1.3836,0.7034,1.0734,1.5261,1.6614,0.822,1.9142,0.4947,1.1521,2.3288,1.5079,0.8728,-21.5368,0.5788,-14.283,-24.6767,1.2016,0.6073,0.5344,0.5054,0.4447,0.8799,1.3687,0.7432,1.3913,0.543,1.0165,1.8721,0.0001,0.2095,0.4656,0.0419,-0.2825,-0.044,-0.2839,-0.135,38.112,0.0481,0.2193,0.63,0.9836,-15.5777,0.158,0.3974,16.163,?,15.2676,0.0197,0.1404,0.311,0.9799,-2.4466,2.4963,-1.0203,0.5518,1.5622,2.831,0.3045,2.4403,8.0143,-2.3389,2.4905,-1.0648,0,2.4811,0,0.039,2.0257,51.9711,0.2196,68.9572,0.8858,-0.7791,-0.7652,0.245,0.325,0.5701,2,0,DESTRA_PANTALONI
1.0888,16.6438,4.0797,24.5587,-0.4368,-0.3797,2.3278,1.5257,9.7274,-2.5491,-0.8406,7.2476,2.6921,14.142,-1.6572,3.3874,16.7808,4.0964,17.0326,0.0039,-2.8678,-1.2952,0.3214,0.4516,-0.1121,-0.2482,2.674,1.5154,0.9959,0.5667,0.3724,0.6572,7.1501,2.2965,0.9918,0.3212,0.1387,0.4319,1.0686,0.8465,-112.3416,0.7921,-105.1314,-132.717,6.2365,3.2117,0.9996,0.515,0.1603,0.3113,2.5247,1.7366,1.4419,0.6878,0.5711,0.8303,0.0071,4.8088,-0.4646,0.4352,0.6077,-0.2058,-0.4507,-0.2396,-23.5968,38.9193,6.2385,41.687,?,-18.4172,66.3761,8.1472,42.45,-2.9588,3.4626,212.0184,14.5609,55.346,-0.1064,1.2812,-6.8147,-5.3189,0.7657,0.4284,0.5595,0.5863,0.1836,0.3131,1.3139,7.833,5.9615,0,0,0.2144,0.982,0.7532,0.767,0.1499,52.2206,-0.679,-0.9219,0.4734,15.597,15.8426,3.9803,24,0,DESTRA_PANTALONI
-0.1501,0.0705,0.2655,1.3994,-1.2251,0.0684,0.2196,0.4686,3.2918,-0.878,0.3432,0.2213,0.4704,2.4535,-0.4516,0.6678,0.2104,0.4587,2.0032,0.0144,-2.1946,-0.4375,-0.2248,0.1994,0.1024,0.5138,0.5664,0.5643,0.5788,0.9962,1.0217,1.0256,0.3209,0.3184,0.335,0.9924,1.044,1.0519,0.5006,1.0094,-26.4084,2.0163,-52.7498,-26.1621,0.3588,0.3721,0.3094,1.037,0.8624,0.8317,0.4251,0.5704,0.6986,1.3417,1.6433,1.2248,0.0019,0.9879,0.2768,-0.299,-0.3292,-0.1058,0.2657,0.5735,-8.0017,1.6852,1.2981,12.2117,?,38.6358,2.0885,1.4452,4.6367,0.8847,11.3268,11.327,3.3656,9.9195,0.4304,-0.2071,-0.7064,3.411,0.8983,0.3857,0.4294,0.8069,0.1488,0.1844,-0.3432,-1.6291,4.7471,0,0,2.3095,2.6337,1.2311,0.4674,0.2042,57.9643,0.8777,-0.8981,-0.9699,4.1846,0.3439,0.5864,6.2178,0.3915,DESTRA_PANTALONI
