@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
3.088,18.9662,4.355,17.4558,-0.3012,0.2483,14.4949,3.8072,15.7691,-2.4068,3.088,18.9662,4.355,17.4558,-0.3012,7.1148,20.9392,4.5759,19.5001,0.0348,12.4365,1,0.434,0.0804,0.0349,0.434,1.1439,1,0.9517,0.8742,0.832,0.9517,1.3085,1,0.9058,0.7643,0.6922,0.9058,0.3627,1,-5.7489,2.7573,-15.8513,-5.7489,2.8983,1,0.664,0.345,0.2291,0.664,1.107,1,0.8952,0.9034,0.8087,0.8952,0.0451,11.5221,-0.8209,1,0.8766,-0.8209,-0.898,0.8766,?,?,?,?,?,?,?,?,?,?,DESTRA_PANTALONI
5.7459,18.3911,4.2885,13.4267,0.0237,0.446,2.428,1.5582,5.4779,-1.1504,5.7459,18.3911,4.2885,13.4267,0.0237,8.4794,33.5392,5.7913,17.3454,0.1124,12.882,1,0.6776,0.0776,0.0526,0.6776,2.7522,1,0.7405,0.3633,0.2691,0.7405,7.5746,1,0.5483,0.132,0.0724,0.5483,-0.1111,1,0.1482,-9,-1.3337,0.1482,5.3985,1,0.7037,0.1852,0.1304,0.7037,2.451,1,0.7741,0.408,0.3158,0.7741,0.0935,12.891,-0.2004,1,0.997,-0.2004,-0.1636,0.997,?,?,?,?,?,125000,0,0,0,1,DESTRA_PANTALONI
-6.5325,1.3422,1.1585,9.4331,?,6.2255,2.545,1.5953,6.3432,0.3997,-6.5325,1.3422,1.1585,9.4331,?,11.1885,4.1507,2.0373,7.8712,0.5243,-1.0493,1,-0.5839,-0.953,0.5564,-0.5839,0.7262,1,0.5687,1.377,0.783,0.5687,0.5274,1,0.3234,1.8962,0.6132,0.3234,-2.2334,1,-1.0875,-0.4477,0.4869,-1.0875,0,1,0,0,0.6386,0,1.4871,1,1.1984,0.6724,0.8059,1.1984,0.1114,19.2905,-0.6312,1,-0.9359,-0.6312,0.8633,-0.9359,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
5.4629,20.6176,4.5407,12.8785,0.0176,0.546,6.8323,2.6139,8.486,-0.6534,5.4629,20.6176,4.5407,12.8785,0.0176,8.5747,34.5273,5.876,17.7209,0.0443,10.0052,1,0.6371,0.0999,0.0637,0.6371,1.7371,1,0.7727,0.5757,0.4448,0.7727,3.0177,1,0.5971,0.3314,0.1979,0.5971,-0.0689,1,0.2814,-14.5104,-4.083,0.2814,2.5543,1,0.707,0.3915,0.2768,0.707,1.5176,1,0.7267,0.6589,0.4789,0.7267,0.0767,13.0397,-0.6763,1,0.9839,-0.6763,-0.5586,0.9839,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
3.7191,32.2549,5.6793,23.2634,-0.161,-0.3338,52.1035,7.2183,24.8011,-1.3961,3.7191,32.2549,5.6793,23.2634,-0.161,9.4119,55.8036,7.4702,29.2377,0.0104,-11.1425,1,0.3951,-0.0897,-0.0355,0.3951,0.7868,1,0.7603,1.271,0.9663,0.7603,0.6191,1,0.578,1.6154,0.9337,0.578,0.2233,1,-10.5379,4.4786,-47.1949,-10.5379,1.9358,1,0.6782,0.5166,0.3504,0.6782,0.938,1,0.7957,1.0661,0.8483,0.7957,0.0538,14.9195,-0.7248,1,0.9593,-0.7248,-0.723,0.9593,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
4.5657,11.8742,3.4459,17.848,-0.2548,-0.2224,54.8491,7.406,27.8468,-1.8282,4.5657,11.8742,3.4459,17.848,-0.2548,9.6531,27.1562,5.2112,21.0404,0.1033,-20.5336,1,0.473,-0.0487,-0.023,0.473,0.4653,1,0.6613,2.1492,1.4212,0.6613,0.2165,1,0.4373,4.6192,2.0198,0.4373,0.2013,1,-1.4958,4.967,-7.4294,-1.4958,1.4446,1,0.6062,0.6922,0.4196,0.6062,0.6409,1,0.8483,1.5602,1.3235,0.8483,0.0666,15.635,-0.6372,1,0.8221,-0.6372,-0.7632,0.8221,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
5.4454,37.9975,6.1642,23.8251,-0.082,-0.0513,59.2907,7.7,27.6194,-1.2537,5.4454,37.9975,6.1642,23.8251,-0.082,11.3371,66.0648,8.128,32.7352,0.023,-106.0746,1,0.4803,-0.0094,-0.0045,0.4803,0.8005,1,0.7584,1.2492,0.9473,0.7584,0.6409,1,0.5752,1.5604,0.8975,0.5752,0.1175,1,-2.3406,8.5099,-19.9188,-2.3406,1.7968,1,0.6572,0.5565,0.3658,0.6572,0.8626,1,0.7278,1.1593,0.8437,0.7278,0.0794,17.9058,-0.8469,1,0.9553,-0.8469,-0.7765,0.9553,?,?,?,?,?,1100,0,0,0,1,DESTRA_PANTALONI
4.1414,36.4173,6.0347,24.9873,-0.225,-1.2023,41.1623,6.4158,23.4183,-4.1466,4.1414,36.4173,6.0347,24.9873,-0.225,8.7243,73.6319,8.5809,30.9277,0.0154,-3.4447,1,0.4747,-0.2903,-0.1378,0.4747,0.9406,1,0.7033,1.0632,0.7477,0.7033,0.8847,1,0.4946,1.1303,0.559,0.4946,0.2432,1,-9.4589,4.1111,-38.8865,-9.4589,4.4828,1,0.6493,0.2231,0.1449,0.6493,1.067,1,0.8079,0.9372,0.7572,0.8079,0.0616,14.5151,-0.8967,1,0.9441,-0.8967,-0.9342,0.9441,?,?,?,?,?,?,?,?,?,?,DESTRA_PANTALONI
7.3863,6.7952,2.6068,13.0873,-0.0441,3.8715,17.4734,4.1801,17.0577,-0.126,7.3863,6.7952,2.6068,13.0873,-0.0441,11.9368,12.6805,3.561,13.4149,0.2608,1.9079,1,0.6188,0.5241,0.3243,0.6188,0.6236,1,0.732,1.6036,1.1739,0.732,0.3889,1,0.5359,2.5714,1.378,0.5359,0.2893,1,-0.1167,3.4564,-0.4035,-0.1167,0.8275,1,0.6907,1.2085,0.8348,0.6907,0.7672,1,0.9756,1.3034,1.2715,0.9756,0.1185,19.1626,-0.0957,1,0.7652,-0.0957,0.4824,0.7652,?,?,?,?,?,1100,0,0,0,1,SINISTRA_PANTALONI
7.3047,1.7581,1.3259,5.3463,0.5084,6.2944,1.1374,1.0665,3.6063,0.5783,7.3047,1.7581,1.3259,5.3463,0.5084,12.1572,3.1937,1.7871,7.636,0.5483,1.1605,1,0.6009,0.8617,0.5177,0.6009,1.2433,1,0.7419,0.8043,0.5968,0.7419,1.5457,1,0.5505,0.6469,0.3561,0.5505,1.118,1,0.5964,0.8945,0.5335,0.5964,1.2717,1,0.6433,0.7863,0.5058,0.6433,1.4825,1,0.7001,0.6745,0.4723,0.7001,0.1301,20.9038,0.1566,1,0.9429,0.1566,0.4754,0.9429,?,?,?,?,?,1100,0,0,0,1,SINISTRA_PANTALONI
