@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-1.0078,3.74,1.9339,8.667,-3.5609,2.4444,5.7061,2.3887,12.8547,-0.0777,-3.0936,28.4736,5.3361,23.6902,-0.9442,6.6576,10.1571,3.187,12.5794,0.1134,-0.4123,0.3258,-0.1514,-0.7901,0.3672,-0.4647,0.8096,0.3624,0.6068,0.4477,0.7495,1.6743,0.6555,0.1314,0.3682,0.2004,0.5618,2.8033,7.2971,0.5881,-4.2063,0.0806,-0.5764,-7.1519,0.1593,0.156,0.1339,0.9789,0.8407,0.8588,0.6742,0.3658,0.689,0.5426,1.0219,1.8832,0.0866,9.3588,-0.4312,0.2234,-0.301,0.2837,0.3714,0.0723,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.9919,6.749,2.5979,12.6498,-1.1655,0.0377,5.9698,2.4433,8.1395,-1.0902,0.9895,3.1976,1.7882,9.8974,-0.5129,4.3023,2.355,1.5346,6.9739,0.1202,52.8188,2.013,0.463,0.0381,0.0088,0.23,1.0633,1.4528,1.6929,1.3664,1.5921,1.1652,1.1305,2.1106,2.8658,1.8669,2.5349,1.3578,1.6037,2.029,-7.1475,1.2652,-4.457,-3.5227,1.5001,0.8929,0.737,0.5953,0.4913,0.8253,1.5541,1.2781,1.8139,0.8224,1.1671,1.4192,0.0463,6.2904,-0.141,0.1437,0.1247,-0.2551,0.1173,0.48,-0.0282,0.1601,0.4001,1.5724,-0.7298,0.6663,1.612,1.2696,4.8613,-0.8948,0.4367,2.8744,1.6954,5.973,-0.2802,-0.0424,-0.0646,1.5258,0.3151,0.236,0.7489,0.0993,0.0557,0.5608,0.289,0.5075,1.7561,0.3543,0.1948,0.5499,0.3234,0.2632,0.8139,0.0166,2.8044,-0.3136,0.2414,0.204,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
2.4854,1.6456,1.2828,4.0788,0.0182,0.2127,1.0134,1.0067,3.9134,-1.2275,-4.1847,1.6349,1.2786,6.2859,?,5.2397,0.5734,0.7572,3.1545,0.5265,11.6833,-0.5939,0.4743,-0.0508,0.0406,-0.7987,1.2743,1.0033,1.6941,0.7873,1.3295,1.6886,1.6238,1.0065,2.87,0.6199,1.7675,2.8514,-0.0351,-0.012,0.0216,0.3431,-0.6149,-1.7924,2.3647,0,0.6237,0,0.2637,0,1.0423,0.6489,1.293,0.6226,1.2406,1.9927,0.1107,7.5482,0.7698,0.6953,-0.288,0.6354,-0.4396,-0.8504,1.4832,0.3894,0.624,2.2993,0.1774,-2.8407,0.5138,0.7168,4.397,?,0.4364,0.1891,0.4348,1.4087,-0.4252,-0.5221,3.3988,-6.5096,0.8705,1.4351,1.6486,0.7578,2.0596,2.7178,-0.1128,-1.1802,10.4622,0,2.8282,0,0.5229,1.6323,3.1214,0.0735,4.8904,0.1037,0.3888,0.6607,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.5822,0.9033,0.9504,4.1213,-0.0678,-0.8422,1.2635,1.1241,4.8772,-27.5101,-0.496,0.754,0.8683,4.7215,-2.653,1.3816,2.3064,1.5187,5.4859,0.0153,-0.6913,-1.1739,0.4214,1.6982,-0.6096,-0.359,0.8455,1.0945,0.6258,1.2945,0.7402,0.5718,0.7149,1.198,0.3917,1.6757,0.5478,0.3269,0.0556,0.0763,-3.0628,1.3725,-55.0982,-40.1454,22.5623,2.9863,0.6928,0.1324,0.0307,0.232,0.845,0.8729,0.7513,1.033,0.8891,0.8607,0.0223,2.1232,-0.6052,-0.6326,0.8872,0.1922,-0.8675,-0.5721,0.6121,0.9382,0.9686,4.9189,0.0082,0.6305,0.762,0.8729,3.1784,0.001,-0.0331,0.0785,0.2801,1.4986,-0.7209,0.9708,-18.502,-19.0586,1.1096,3.4578,3.1163,1.2312,11.9564,9.7112,12.6672,-0.0645,-0.0051,1.5588,5.6952,3.6536,1.5476,3.2824,2.1209,0.0172,1.4041,0.7735,0.4631,0.1668,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0045,0.0105,0.1027,0.4119,-1.0523,-0.011,0.0141,0.1188,0.5751,-0.7652,-0.0008,0.0109,0.1043,0.4146,-1.0324,0.1762,0.0046,0.0681,0.3553,0.1045,0.4058,5.5177,-0.0255,13.596,-0.0627,-0.0046,0.8642,0.984,1.5071,1.1386,1.7439,1.5315,0.7469,0.9683,2.2713,1.2965,3.041,2.3456,0.8472,1.0029,-5.0955,1.1837,-6.0143,-5.081,0.6161,0.9839,0.5059,1.597,0.8212,0.5142,0.7163,0.9935,1.1594,1.387,1.6187,1.167,0.0002,0.2701,-0.0661,-0.0568,-0.1044,0.1406,0.1323,-0.0973,-0.0159,0.0001,0.0078,0.033,?,0.0303,0.0001,0.0105,0.049,0.1636,-0.0013,0,0.0069,0.0298,-2.1112,-0.5243,12.4148,-23.6791,0.7421,1.1281,1.52,0.5508,1.2726,2.3105,-3.4445,1.6316,-0.4737,0,0,6.1112,0.6739,1.1071,1.6428,0.0007,0.051,-0.3124,0.2246,0.4609,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
2.6774,6.7027,2.589,9.0955,-0.1625,0.537,1.5988,1.2644,4.1967,-0.789,-3.2442,15.8454,3.9806,13.7457,-3.9812,5.2573,14.4894,3.8065,11.0586,0.0841,4.9858,-0.8253,0.5093,-0.1655,0.1021,-0.6171,2.0475,0.6504,0.6801,0.3176,0.3322,1.0457,4.1924,0.423,0.4626,0.1009,0.1103,1.0936,0.6871,0.1158,-1.2517,0.1685,-1.8217,-10.8134,3.3351,2.8352,0.648,0.8501,0.1943,0.2285,2.1673,0.6617,0.8225,0.3053,0.3795,1.243,0.0831,7.9758,0.5893,-0.664,0.8423,-0.5069,0.6159,-0.9269,1.1999,1.1462,1.0706,3.7934,-0.1533,-3.1544,3.8377,1.959,7.6272,-8.7493,0.5275,1.2424,1.1146,3.5493,-0.5205,-0.3804,2.2748,-5.9802,0.5465,0.9605,1.7575,0.2987,0.9226,3.089,0.0737,0.4149,5.6333,4.2044,1.4091,0.3352,0.4973,1.0688,2.1489,0.067,5.469,-0.2902,0.3634,-0.8024,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.5255,4.9677,2.2288,8.6998,-0.3043,0.887,3.5651,1.8881,7.4486,-0.9536,-3.6994,5.6238,2.3715,10.2868,?,4.9021,6.9263,2.6318,10.062,0.1263,1.7198,-0.4124,0.3112,-0.2398,0.181,-0.7547,1.1804,0.9399,0.8469,0.7962,0.7174,0.9011,1.3934,0.8833,0.7172,0.6339,0.5147,0.812,0.5582,0.1973,-1.3947,0.3535,-2.4987,-7.0694,1.7495,0,0.5792,0,0.331,0,1.168,0.8457,0.8646,0.7241,0.7403,1.0223,0.0804,7.6056,0.6202,-0.6864,0.8367,-0.199,0.3772,-0.9355,1.498,0.4145,0.6438,2.476,0.0337,-1.1394,1.6469,1.2833,6.1329,-2.8514,0.4709,0.8584,0.9265,2.9002,-0.4566,-1.3147,3.1815,-2.4199,0.5017,0.6949,1.3851,0.2517,0.4829,1.9186,-0.019,-0.095,4.9941,1.6091,1.2869,0.7998,0.4037,0.8537,2.1147,0.038,3.6769,0.1104,0.5784,0.0922,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0079,0.0074,0.0858,0.3791,-1.1101,-0.0248,0.0028,0.0526,0.2046,-1.2396,-0.0073,0.0144,0.1201,0.5053,-1.589,0.149,0.0031,0.0555,0.2929,0.1289,0.3179,1.0872,-0.053,3.4194,-0.1667,-0.0487,1.6312,0.7141,1.5448,0.4378,0.947,2.1632,2.6607,0.5099,2.3863,0.1917,0.8969,4.6796,1.7616,0.6432,-4.6012,0.3651,-2.6119,-7.154,1.9671,0.9206,0.5344,0.468,0.2716,0.5804,1.8534,0.7503,1.2944,0.4049,0.6984,1.7251,0.0005,0.2201,0.4401,0.1423,-0.1387,0.0727,-0.0358,-0.3961,0.0181,0.0014,0.038,0.1738,-0.5806,-0.0217,0.0006,0.0251,0.1118,-5,-0.0162,0.0002,0.014,0.058,-5.3333,-0.8339,-1.12,1.3431,1.5148,2.7168,1.7935,2.2946,7.3809,3.2166,0.6852,1.3063,1.9062,5.9016,12,2.0333,1.5546,2.9947,1.9263,0.0007,0.0732,-0.6771,-0.1835,0.1075,28.1877,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
4.1085,50.1648,7.0827,24.5587,-0.4368,-1.436,7.0341,2.6522,9.7274,-2.5491,-2.5607,12.7821,3.5752,13.9601,-1.7158,9.28,9.3609,3.0596,11.7942,0.3102,-2.8611,-1.6045,0.4427,0.5608,-0.1547,-0.2759,2.6705,1.9811,2.3149,0.7418,0.8669,1.1685,7.1317,3.9246,5.359,0.5503,0.7514,1.3655,1.0686,0.8465,-1.4074,0.7921,-1.317,-1.6626,6.2365,3.3253,0.9996,0.5332,0.1603,0.3006,2.5247,1.7592,2.0823,0.6968,0.8248,1.1836,0.099,13.0666,-0.3342,0.8332,0.7951,-0.5246,-0.3033,0.6431,-0.0541,0.222,0.4711,1.9419,-2.4554,-2.4414,1.3437,1.1592,5.1212,?,2.2789,4.0011,2.0003,5.7757,-0.1376,0.0222,-0.0237,-1.0713,0.4064,0.2355,0.5795,0.1652,0.0555,0.3358,0.2695,1.9755,7.3314,0,0.1107,0,0.3792,0.3362,0.8867,0.0655,5.2482,-0.3368,-0.0426,-0.8167,27.638,0.0109,0.1046,0.2095,0.9924,TASCA_DESTRA_DAVANTI_PANTALONI
0.0091,0.0105,0.1025,0.4455,-1.1454,-0.0103,0.0186,0.1363,0.6936,-2.039,0.0174,0.0102,0.1011,0.5204,-0.4294,0.1829,0.0063,0.0796,0.4412,0.062,-0.8819,0.523,0.0497,-0.593,-0.0564,0.0951,0.7524,1.0141,1.2881,1.3479,1.7121,1.2702,0.566,1.0284,1.6593,1.8169,2.9314,1.6134,0.5112,1.5215,-8.1529,2.9765,-15.9501,-5.3586,0.9099,0.5704,0.4414,0.6269,0.4852,0.7739,0.6424,0.8561,1.0097,1.3327,1.5719,1.1794,0.0004,0.2706,-0.0512,-0.0812,-0.2262,-0.0248,-0.2704,0.1983,0.0311,0.0003,0.018,0.0853,-0.3333,0.0332,0.0002,0.0158,0.064,-0.2766,-0.0126,0.0003,0.0159,0.0661,-5.8891,0.9352,-2.4741,-2.6455,1.1423,1.1352,0.9938,1.3049,1.2886,0.9875,1.5384,0.3774,0.2453,1.2766,6.6668,5.2223,1.3333,1.2903,0.9677,0.0009,0.0827,0.9,0.6089,0.7533,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
