@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
0.1728,8.3085,2.8825,13.1767,-1.169,0.4102,5.6825,2.3838,15.6014,-0.308,-0.5138,29.1771,5.4016,27.5129,-1.258,5.8512,9.3933,3.0649,14.5531,0.0896,0.4213,-0.3363,0.0295,-0.7983,0.0701,-0.0878,1.2092,0.5336,0.9405,0.4413,0.7778,1.7624,1.4621,0.2848,0.8845,0.1948,0.605,3.1061,1.9329,0.4633,-4.9559,0.2397,-2.5639,-10.6968,0.5093,0.4986,0.38,0.9789,0.7461,0.7622,0.8446,0.4789,0.9054,0.5671,1.072,1.8905,0.0049,8.3169,-0.4545,0.4263,-0.2641,-0.2722,0.1285,-0.1861,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.4209,23.5068,4.8484,27.4349,-2.8032,-0.916,11.4054,3.3772,22.0666,-0.9534,-0.7924,8.1231,2.8501,15.291,-1.3374,5.7413,11.7174,3.4231,20.4521,0.0445,0.4595,0.5312,-0.0733,1.1561,-0.1596,-0.138,1.4356,1.7011,1.4164,1.1849,0.9866,0.8326,2.061,2.8938,2.0061,1.4041,0.9734,0.6933,1.8775,2.3112,-21.229,1.231,-11.3068,-9.1851,0.6386,1.1027,0.337,1.7268,0.5278,0.3056,1.2433,1.7942,1.3414,1.4431,1.0789,0.7477,0.0089,8.4514,-0.176,0.1354,-0.5135,0.0617,-0.1554,-0.3564,-0.0481,0.483,0.695,3.2999,-0.9701,-0.3412,3.0029,1.7329,7.3756,-1.3354,0.6756,4.1682,2.0416,8.5985,-0.8323,0.141,-0.0712,-0.505,0.401,0.3404,0.8488,0.1608,0.1159,0.7204,0.3853,0.416,1.0798,0.5304,0.3569,0.673,0.4474,0.3838,0.8578,0.0053,3.6537,-0.2475,0.4834,0.0112,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.3186,1.8954,1.3767,4.5681,-0.0995,0.2238,0.5417,0.736,3.9134,-1.2275,-1.6362,4.4101,2.1,7.4068,-5.6078,2.5706,4.7051,2.1691,6.6054,0.0084,5.8907,-0.8059,0.513,-0.1368,0.0871,-0.6365,1.8705,0.6556,0.6347,0.3505,0.3393,0.9681,3.4987,0.4298,0.4028,0.1228,0.1151,0.9373,0.1918,0.0658,-7.3643,0.3431,-38.4031,-111.938,2.3647,3.7064,0.6237,1.5674,0.2637,0.1683,1.1673,0.6167,0.6916,0.5284,0.5925,1.1213,0.0161,3.7419,0.5297,-0.5429,0.729,0.0747,0.0629,-0.9524,0.7043,0.5831,0.7636,2.8246,-0.0105,-1.3102,1.8329,1.3538,4.4214,-179.95,0.1622,0.1141,0.3378,1.4087,-0.4252,-0.5375,4.341,-8.0759,0.564,2.2603,4.0074,0.3181,5.1088,16.0595,0.0067,0.0698,10.4622,114.4,2.8282,0.0247,0.6389,2.0052,3.1388,0.0114,2.2702,-0.8135,0.519,-0.2548,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0995,1.0413,1.0205,6.5216,-0.6896,-0.3706,2.4874,1.5772,12.8809,-4.4198,-0.468,1.6172,1.2717,7.6996,-1.8286,1.6625,2.7485,1.6579,10.5246,0.0081,0.2684,0.2125,-0.0598,0.7919,-0.223,-0.2815,0.647,0.8025,0.6155,1.2402,0.9513,0.7671,0.4186,0.6439,0.3789,1.5381,0.905,0.5884,0.2534,0.5348,-31.164,2.1103,-122.9798,-58.2753,1.624,1.418,0.3638,0.8731,0.224,0.2566,0.5063,0.847,0.6197,1.6729,1.2239,0.7316,0.004,2.4652,-0.1397,-0.1941,-0.0521,0.2049,-0.4889,-0.5087,0.256,0.4066,0.6377,5.4646,-0.1019,0.2291,0.468,0.6841,5.6213,-0.7668,0.0014,0.1276,0.3571,1.9995,-0.938,1.1173,184.1152,164.7908,0.9322,1.7855,1.9154,0.869,3.1881,3.6689,0.2071,0.522,2.5209,1.5588,4.8068,3.0837,0.9721,2.7329,2.8113,0.0023,0.8715,0.6209,0.2468,-0.2136,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0025,0.0113,0.1064,0.502,-1.2752,0.0003,0.012,0.1096,0.5807,-0.7825,0.005,0.0129,0.1136,0.672,-0.8827,0.1782,0.0045,0.0673,0.3553,0.1045,-7.8948,-0.5068,-0.0143,0.0642,0.0018,0.0282,0.9704,0.9364,1.5817,0.965,1.6299,1.6891,0.9417,0.8769,2.5018,0.9312,2.6567,2.853,1.1037,0.8929,-6.7877,0.8091,-6.1502,-7.6015,0.6773,0.6181,0.5562,0.9127,0.8212,0.8997,0.8644,0.747,1.413,0.8641,1.6345,1.8916,0,0.2676,-0.0354,0.0769,-0.0765,0.0665,0.0268,0.1429,-0.0187,0.0001,0.0111,0.049,-45.0025,0.0325,0.0001,0.0117,0.0661,0.1268,0.0003,0.0001,0.0092,0.0448,-0.8261,-0.5734,-57.1345,99.6455,0.947,1.2008,1.2679,0.8969,1.4418,1.6076,-5.0001,2.3684,-0.4737,0.0141,0.0435,3.087,0.7419,1.0952,1.4762,0.0003,0.0582,-0.3785,-0.1823,0.6013,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.0025,3.8486,1.9618,9.0955,-0.1625,0.0397,0.7129,0.8443,4.1967,-0.789,-1.2115,8.095,2.8452,13.7457,-3.9812,2.4094,9.3258,3.0538,11.9232,0.0125,25.2296,-0.8275,0.4161,-0.0328,0.0165,-0.5028,2.3235,0.6895,0.6424,0.2968,0.2765,0.9317,5.3984,0.4754,0.4127,0.0881,0.0764,0.868,0.6871,0.1158,-8.4013,0.1685,-12.2274,-72.5784,3.3351,2.8352,0.648,0.8501,0.1943,0.2285,2.1673,0.6617,0.7628,0.3053,0.352,1.1529,0.0104,3.5679,0.6333,-0.7156,0.8893,-0.593,0.6588,-0.9054,0.392,0.7314,0.8552,3.7934,-0.1533,-1.0652,3.5306,1.879,7.6272,-8.7493,0.144,0.5057,0.7112,3.5493,-0.5205,-0.368,2.7226,-7.3988,0.4551,1.2025,2.6422,0.2072,1.4461,6.981,0.0737,0.4149,5.6333,4.2044,1.4091,0.3352,0.4973,1.0688,2.1489,0.0076,2.0357,-0.6659,0.4974,-0.745,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.8382,2.4877,1.5772,8.6998,-0.3043,0.3347,1.6394,1.2804,7.4486,-0.9536,-1.5367,5.885,2.4259,12.5278,-4.5902,2.7374,5.6944,2.3863,11.4602,0.0049,2.5042,-0.5455,0.3062,-0.2178,0.1223,-0.5613,1.2319,0.6502,0.661,0.5278,0.5366,1.0166,1.5175,0.4227,0.4369,0.2786,0.2879,1.0335,0.5582,0.1973,-35.6483,0.3535,-63.8652,-180.6883,1.7495,2.9764,0.5792,1.7013,0.331,0.1946,1.168,0.6944,0.7591,0.5946,0.65,1.0932,0.0118,4.0661,0.5976,-0.4907,0.7082,-0.2133,0.3584,-0.8725,0.6685,0.6162,0.785,2.6358,-0.0287,-0.7442,1.4381,1.1992,6.1329,-2.8514,0.0597,0.4125,0.6423,2.9002,-0.4566,-0.8982,11.189,-12.4568,0.6546,1.2222,1.8671,0.4285,1.4938,3.4861,0.0162,0.0809,4.9941,1.6091,1.2869,0.7998,0.4298,0.9089,2.1147,0.0066,1.9064,-0.4243,0.4609,0.1225,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0182,0.0082,0.0904,0.4503,-1.5064,-0.0297,0.005,0.0705,0.329,-1.2004,-0.0063,0.0091,0.0956,0.5053,-1.589,0.137,0.0048,0.0689,0.3237,0.0374,0.6136,2.8787,-0.1328,4.6919,-0.2165,-0.0461,1.2825,0.9457,1.3114,0.7374,1.0226,1.3867,1.6447,0.8943,1.7198,0.5437,1.0456,1.9231,1.5079,0.8728,-21.5368,0.5788,-14.283,-24.6767,1.2016,0.9206,0.5344,0.7662,0.4447,0.5804,1.3687,0.8912,1.3913,0.6512,1.0165,1.561,0.0002,0.2076,0.4969,0.1189,-0.3773,-0.0233,-0.3676,-0.2822,0.0109,0.001,0.0316,0.1738,-0.5806,-0.0148,0.0006,0.0235,0.128,-2.6754,-0.0224,0.0003,0.0159,0.0834,-8.1,-0.7375,-0.489,0.663,1.3414,1.9865,1.4809,1.7995,3.9463,2.193,0.6852,0.8601,1.2551,3.1579,12,3.8,1.358,2.0842,1.5348,0.0002,0.0696,-0.6773,-0.1022,0.1416,28.2038,0.0009,0.0307,0.075,0.9973,TASCA_DESTRA_DAVANTI_PANTALONI
1.4479,21.6323,4.6511,24.5587,-0.4368,-0.5,3.0373,1.7428,9.7274,-2.5491,-1.1247,9.295,3.0488,14.142,-1.6572,4.4087,18.1392,4.259,17.0326,0.0039,-2.8958,-1.2874,0.3284,0.4446,-0.1134,-0.2551,2.6688,1.5256,1.092,0.5716,0.4092,0.7158,7.1223,2.3273,1.1926,0.3268,0.1674,0.5124,1.0686,0.8465,-112.3416,0.7921,-105.1314,-132.717,6.2365,3.2117,0.9996,0.515,0.1603,0.3113,2.5247,1.7366,1.4419,0.6878,0.5711,0.8303,0.0126,6.2535,-0.4539,0.477,0.608,-0.2391,-0.4387,-0.1812,0.2069,0.2202,0.4693,2.7416,-1.0135,-0.8353,1.8411,1.3569,6.3518,-4.1616,0.6724,2.7206,1.6494,5.8707,-0.1563,-0.2477,0.3077,-1.2423,0.3459,0.2845,0.8226,0.1196,0.081,0.6767,0.2695,1.739,6.4538,1.1065,0.2682,0.2424,0.4316,0.467,1.0819,0.0072,2.2729,0.2168,-0.3489,-0.882,27.7115,0.0064,0.0803,0.2095,0.9924,TASCA_DESTRA_DAVANTI_PANTALONI
-0.1433,0.0438,0.2093,0.9666,-2.6279,-0.0709,0.0753,0.2744,2.1997,-2.3295,0.367,0.1454,0.3814,1.657,-0.1042,0.5276,0.1464,0.3826,1.6809,0.0171,2.0215,-0.3905,-0.2716,-0.1932,-0.1344,0.6956,0.7628,0.5488,0.5469,0.7194,0.717,0.9967,0.5818,0.3011,0.2991,0.5175,0.5141,0.9934,0.4549,4.4784,-23.9979,9.844,-52.7498,-5.3586,0.4033,0.1775,0.1558,0.4403,0.3863,0.8775,0.4394,0.5834,0.575,1.3275,1.3086,0.9857,0.0027,0.7701,0.4204,-0.4704,-0.6072,-0.0373,-0.35,0.8784,0.1329,0.0162,0.1272,0.5542,-0.04,0.0607,0.0098,0.0989,0.5255,-0.6217,0.0437,0.008,0.0894,0.3762,-0.3026,2.1886,3.0412,1.3895,1.2854,1.4215,1.1059,1.6523,2.0207,1.223,0.1058,0.2439,2.3049,1.6447,1.845,1.1218,1.0548,1.4731,1.3966,0.001,0.2878,0.1124,0.5221,-0.1648,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
