@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
1.8902,10.8537,3.2945,11.9377,-0.5608,-2.136,6.4011,2.53,12.719,-10.7863,-0.5273,10.2011,3.1939,12.9552,-1.4416,5.5189,5.4117,2.3263,12.0033,0.0439,-0.8849,-3.585,0.3425,4.0512,-0.387,-0.0955,1.3021,1.0315,1.4162,0.7921,1.0876,1.373,1.6956,1.064,2.0056,0.6275,1.1828,1.885,0.3685,0.5608,-7.7791,1.5217,-21.1101,-13.8726,7.0875,1.4415,0.6092,0.2034,0.086,0.4226,0.9386,0.9215,0.9945,0.9818,1.0596,1.0793,0.0299,8.0626,-0.6214,0.1895,0.5954,-0.0868,-0.7556,-0.2206,3.1015,9.1502,3.0249,8.2162,0.0661,2.1036,7.7451,2.783,10.5937,-1.7024,7.745,5.2354,2.2881,7.7367,0.1607,1.4744,0.4004,0.2716,1.0869,1.322,1.2163,1.1814,1.7478,1.4794,-0.0871,0.3926,-4.5064,2.2442,0.9544,0.4253,0.7756,1.062,1.3693,0.0887,14.1631,-0.8057,-0.9003,0.9774,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
2.7117,3.5801,1.8921,6.3594,-0.0183,-0.4151,2.504,1.5824,6.4513,-1.1897,-1.4396,10.282,3.2066,12.0333,-1.8669,4.7355,3.5394,1.8813,6.9703,0.1359,-6.5329,-1.8837,0.5726,0.2883,-0.0877,-0.304,1.1957,0.5901,1.0057,0.4935,0.8411,1.7044,1.4298,0.3482,1.0115,0.2435,0.7075,2.905,0.0325,0.0146,-0.104,0.4473,-3.1975,-7.1483,2.1198,1.488,0.7742,0.7019,0.3652,0.5203,0.9858,0.5285,0.9124,0.5361,0.9255,1.7264,0.0356,7.0546,0.2756,-0.3786,0.7262,0.1862,-0.0488,-0.7332,2.6359,4.251,2.0618,7.0273,0.0774,1.0124,0.6117,0.7821,2.2031,-0.1146,8.3452,2.6582,1.6304,5.5605,0.4663,2.6037,0.3159,0.1213,2.6362,1.2646,0.4797,6.9496,1.5992,0.2301,-2.6034,0.1214,-0.0466,3.8538,0.7312,0.1897,3.1897,1.2638,0.3962,0.1013,12.0413,-0.8953,-0.9178,0.8396,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.5801,1.8365,1.3552,5.0549,-0.9389,-0.2439,3.7584,1.9387,7.3519,-0.614,-0.037,0.3201,0.5658,2.8215,-0.5017,2.3424,0.8256,0.9086,4.3277,0.1241,-2.3782,-15.6612,0.2476,6.5854,-0.1041,-0.0158,0.699,2.3951,1.4915,3.4263,2.1336,0.6227,0.4886,5.7365,2.2245,11.7396,4.5524,0.3878,0.8753,2.5969,-3.9913,2.967,-4.5601,-1.537,0.5723,1.3876,0.5276,2.4245,0.9219,0.3803,0.6876,1.7916,1.168,2.6057,1.6988,0.652,0.0063,3.4415,-0.7236,-0.3041,-0.2489,0.3797,0.4134,0.0758,-6.9347,0.0678,0.2604,7.2101,?,6.7681,0.0605,0.2459,0.7154,0.9008,1.4854,0.0083,0.0909,0.3934,0.7824,-1.0246,-4.6686,4.5564,1.0589,2.8633,2.7039,1.1213,8.1984,7.3112,-1.1098,-5.0987,4.5944,0,0,3.9902,10.0789,18.3284,1.8185,0.098,15.1881,0.9965,0.7261,0.6684,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
2.53,7.3194,2.7054,8.9337,-0.1363,-1.2876,3.2121,1.7922,6.2929,-2.2351,-0.3726,5.8134,2.4111,11.6802,-1.6001,4.562,3.7313,1.9317,7.0936,0.1473,-1.9648,-6.79,0.5546,3.4558,-0.2823,-0.0817,1.5095,1.1221,1.4006,0.7433,0.9278,1.2482,2.2787,1.2591,1.9616,0.5525,0.8609,1.558,0.2465,0.1491,-0.8745,0.6049,-3.5475,-5.865,4.0418,1.7501,0.945,0.433,0.2338,0.54,1.4196,0.7649,1.2594,0.5388,0.8871,1.6466,0.0283,6.4102,0.0512,0.1819,0.7931,0.5536,-0.2173,-0.1981,4.4381,10.1683,3.1888,7.8398,0.0892,1.0332,7.8799,2.8071,6.9803,-0.9898,7.2539,4.7975,2.1903,5.8991,0.3609,4.2956,0.6118,0.1424,1.136,1.4558,1.2816,1.2904,2.1195,1.6425,-0.221,0.2303,-1.0421,2.4536,0.9324,0.38,1.1231,1.329,1.1833,0.0848,14.5319,-0.9473,-0.9441,0.9891,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
2.8522,13.9626,3.7367,15.4486,-0.1823,-3.2385,29.5893,5.4396,19.2891,-2.2374,-0.5374,12.9432,3.5977,19.2213,-0.5549,6.9727,26.7884,5.1758,18.4711,0.0293,-0.8807,-5.3078,0.4091,6.0266,-0.4645,-0.0771,0.6869,1.0386,0.722,1.512,1.051,0.6951,0.4719,1.0788,0.5212,2.2861,1.1046,0.4832,0.1787,0.3472,-4.2716,1.9435,-23.9089,-12.3021,2.1931,1.057,0.6867,0.482,0.3131,0.6497,0.8009,0.8037,0.8364,1.0035,1.0443,1.0406,0.0444,10.5873,-0.3822,0.5956,0.7628,0.0079,-0.8049,0.3271,2.8681,12.7058,3.5645,10.3128,-0.1069,2.73,14.8321,3.8512,13.6718,-1.423,6.8871,5.5168,2.3488,7.1729,0.1648,1.0506,0.4164,0.3964,0.9255,1.5176,1.6397,0.8566,2.3031,2.6886,0.1241,-0.7037,-5.6714,1.6511,1.0847,0.657,0.7543,1.4377,1.906,0.0811,14.6538,-0.7298,-0.8436,0.9384,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
2.1831,6.0759,2.4649,11.3449,-0.2957,-3.9051,20.9304,4.575,19.2813,-4.3289,0.1796,20.3487,4.511,21.9019,-0.4418,7.1277,16.5991,4.0742,15.3892,0.1538,-0.5591,12.1546,0.3063,-21.7413,-0.5479,0.0252,0.5388,0.5464,0.605,1.0142,1.1229,1.1072,0.2903,0.2986,0.366,1.0286,1.2609,1.2259,0.1653,0.3858,-0.9257,2.3337,-5.5995,-2.3994,2.4198,0.5764,0.4814,0.2382,0.199,0.8353,0.5884,0.518,0.7372,0.8803,1.2529,1.4232,0.0462,10.8401,-0.0553,0.3775,0.298,-0.3067,-0.8688,0.5367,4.2789,8.2641,2.8747,9.3009,0.0077,2.8913,18.9753,4.3561,14.562,-1.4271,6.2081,3.6742,1.9168,5.7338,0.3038,1.4799,0.6892,0.4657,0.6599,1.4997,2.2725,0.4355,2.2492,5.1645,-0.0084,0.0289,-3.4225,1.5622,1.1381,0.7285,0.6387,1.6221,2.5397,0.0833,15.449,-0.4132,-0.86,0.8044,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
3.0655,16.4646,4.0577,18.6083,-0.1832,-4.0854,20.1344,4.4871,18.1422,-2.6844,1.4851,35.8701,5.9892,23.3409,-0.3393,8.0722,35.6018,5.9667,25.2731,0.0303,-0.7503,2.0641,0.3798,-2.7509,-0.5061,0.184,0.9043,0.6775,0.68,0.7492,0.752,1.0038,0.8177,0.459,0.4625,0.5613,0.5655,1.0075,0.218,0.4873,-3.6528,2.2351,-16.7551,-7.4962,3.1939,0.9024,0.6034,0.2825,0.1889,0.6687,1.0257,0.7972,0.7363,0.7773,0.7178,0.9235,0.0548,12.6317,-0.5893,0.6674,0.8971,-0.2642,-0.7862,0.6661,3.0668,9.5836,3.0957,9.1917,0.024,3.8292,25.6472,5.0643,15.3317,-1.1524,5.873,2.4324,1.5596,5.236,0.2763,0.8009,0.5222,0.652,0.6113,1.9849,3.2471,0.3737,3.94,10.544,-0.0276,0.1133,-4.1066,1.3222,1.3017,0.9845,0.5995,1.7555,2.9281,0.0789,15.0184,-0.5337,-0.8717,0.8054,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
2.9775,19.2354,4.3858,18.4997,-0.2585,-2.8602,24.9638,4.9964,19.8871,-8.8306,0.1497,21.6375,4.6516,19.815,-0.8971,7.1834,31.3041,5.595,23.0592,0.0476,-1.041,19.8908,0.4145,-19.1068,-0.3982,0.0208,0.8778,0.9429,0.7839,1.0741,0.893,0.8314,0.7705,0.889,0.6145,1.1537,0.7975,0.6912,0.2127,0.4056,-3.295,1.9065,-15.4893,-8.1247,7.2663,1.4074,0.6071,0.1937,0.0836,0.4314,0.9302,0.9336,0.8023,1.0036,0.8624,0.8593,0.0426,11.1276,-0.804,0.4589,0.8622,-0.4731,-0.8935,0.562,2.87,6.3388,2.5177,8.2208,0.0078,1.6493,9.8872,3.1444,12.7285,-2.0268,8.0461,4.1843,2.0455,6.5085,0.3222,1.7401,0.3567,0.205,0.8007,1.2308,1.5372,0.6411,1.5149,2.363,-0.0076,0.021,-2.7549,1.9703,0.8629,0.4379,0.6459,1.2631,1.9557,0.0897,14.1414,-0.4186,-0.8583,0.8049,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
-1.0481,9.9544,3.1551,13.2395,-1.8473,2.7409,5.379,2.3193,10.9308,-0.3316,-1.2833,6.4486,2.5394,12.5719,-2.2915,5.28,4.1615,2.04,12.2464,0.1151,-0.3824,0.8167,-0.1985,-2.1359,0.5191,-0.243,1.3604,1.2424,1.5466,0.9133,1.1369,1.2448,1.8506,1.5437,2.392,0.8341,1.2926,1.5496,3.1553,0.9814,-5.3927,0.311,-1.7091,-5.4949,0.5665,1.2174,0.336,2.1491,0.5931,0.276,1.2112,1.0531,1.0811,0.8695,0.8926,1.0266,0.0341,7.8586,-0.0793,-0.0411,-0.3091,-0.3504,0.6416,-0.4339,7.1226,1.0417,1.0206,3.927,0.5617,4.1454,9.8761,3.1426,9.1183,-0.0945,3.5134,5.003,2.2367,6.1169,0.1219,1.7182,2.0273,1.1799,0.3248,0.4563,1.405,0.1055,0.2082,1.9741,-6.3933,5.9251,-0.9268,1.0755,1.2862,1.1959,0.4307,0.642,1.4907,0.0953,14.9189,-0.6895,0.3024,-0.8331,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.1538,2.0137,1.419,5.2231,-0.9754,-0.0882,1.3437,1.1592,4.3931,-0.883,-0.3372,0.7209,0.8491,3.1503,-2.5795,1.8689,0.7305,0.8547,3.1649,0.1266,1.7437,0.456,-0.0823,0.2615,-0.0472,-0.1804,1.2242,1.6713,1.6603,1.3653,1.3562,0.9934,1.4986,2.7932,2.7565,1.8639,1.8394,0.9868,1.2519,1.1361,-5.6196,0.9075,-4.4889,-4.9466,1.1333,3.0042,0.7296,2.6509,0.6438,0.2429,1.1889,1.658,1.6503,1.3945,1.3881,0.9954,0.0041,2.8774,0.0888,0.4435,-0.4783,-0.8207,0.455,-0.6989,7.342,0.0218,0.1477,0.5161,0.9328,6.356,0.021,0.1448,0.5347,0.9183,-1.3352,0.0402,0.2004,1.552,?,1.1551,-5.4987,-4.7602,1.0198,0.7367,0.7224,1.04,0.5427,0.5218,1.1921,-4.6184,-3.8742,1.1736,0,0,0.9653,0.3326,0.3445,0.1054,15.0332,-0.9869,0.8279,-0.7285,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
