@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
1.8902,10.8537,3.2945,11.9377,-0.5608,-2.136,6.4011,2.53,12.719,-10.7863,-0.5273,10.2011,3.1939,12.9552,-1.4416,5.5189,5.4117,2.3263,12.0033,0.0439,-0.8849,-3.585,0.3425,4.0512,-0.387,-0.0955,1.3021,1.0315,1.4162,0.7921,1.0876,1.373,1.6956,1.064,2.0056,0.6275,1.1828,1.885,0.3685,0.5608,-7.7791,1.5217,-21.1101,-13.8726,7.0875,1.4415,0.6092,0.2034,0.086,0.4226,0.9386,0.9215,0.9945,0.9818,1.0596,1.0793,0.0299,8.0626,-0.6214,0.1895,0.5954,-0.0868,-0.7556,-0.2206,3.1015,9.1502,3.0249,8.2162,0.0661,2.1036,7.7451,2.783,10.5937,-1.7024,7.745,5.2354,2.2881,7.7367,0.1607,1.4744,0.4004,0.2716,1.0869,1.322,1.2163,1.1814,1.7478,1.4794,-0.0871,0.3926,-4.5064,2.2442,0.9544,0.4253,0.7756,1.062,1.3693,0.0887,14.1631,-0.8057,-0.9003,0.9774,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
2.7117,3.5801,1.8921,6.3594,-0.0183,-0.4151,2.504,1.5824,6.4513,-1.1897,-1.4396,10.282,3.2066,12.0333,-1.8669,4.7355,3.5394,1.8813,6.9703,0.1359,-6.5329,-1.8837,0.5726,0.2883,-0.0877,-0.304,1.1957,0.5901,1.0057,0.4935,0.8411,1.7044,1.4298,0.3482,1.0115,0.2435,0.7075,2.905,0.0325,0.0146,-0.104,0.4473,-3.1975,-7.1483,2.1198,1.488,0.7742,0.7019,0.3652,0.5203,0.9858,0.5285,0.9124,0.5361,0.9255,1.7264,0.0356,7.0546,0.2756,-0.3786,0.7262,0.1862,-0.0488,-0.7332,2.6359,4.251,2.0618,7.0273,0.0774,1.0124,0.6117,0.7821,2.2031,-0.1146,8.3452,2.6582,1.6304,5.5605,0.4663,2.6037,0.3159,0.1213,2.6362,1.2646,0.4797,6.9496,1.5992,0.2301,-2.6034,0.1214,-0.0466,3.8538,0.7312,0.1897,3.1897,1.2638,0.3962,0.1013,12.0413,-0.8953,-0.9178,0.8396,125000,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.5801,1.8365,1.3552,5.0549,-0.9389,-0.2439,3.7584,1.9387,7.3519,-0.614,-0.037,0.3201,0.5658,2.8215,-0.5017,2.3424,0.8256,0.9086,4.3277,0.1241,-2.3782,-15.6612,0.2476,6.5854,-0.1041,-0.0158,0.699,2.3951,1.4915,3.4263,2.1336,0.6227,0.4886,5.7365,2.2245,11.7396,4.5524,0.3878,0.8753,2.5969,-3.9913,2.967,-4.5601,-1.537,0.5723,1.3876,0.5276,2.4245,0.9219,0.3803,0.6876,1.7916,1.168,2.6057,1.6988,0.652,0.0063,3.4415,-0.7236,-0.3041,-0.2489,0.3797,0.4134,0.0758,-6.9347,0.0678,0.2604,7.2101,?,6.7681,0.0605,0.2459,0.7154,0.9008,1.4854,0.0083,0.0909,0.3934,0.7824,-1.0246,-4.6686,4.5564,1.0589,2.8633,2.7039,1.1213,8.1984,7.3112,-1.1098,-5.0987,4.5944,0,0,3.9902,10.0789,18.3284,1.8185,0.098,15.1881,0.9965,0.7261,0.6684,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
2.53,7.3194,2.7054,8.9337,-0.1363,-1.2876,3.2121,1.7922,6.2929,-2.2351,-0.3726,5.8134,2.4111,11.6802,-1.6001,4.562,3.7313,1.9317,7.0936,0.1473,-1.9648,-6.79,0.5546,3.4558,-0.2823,-0.0817,1.5095,1.1221,1.4006,0.7433,0.9278,1.2482,2.2787,1.2591,1.9616,0.5525,0.8609,1.558,0.2465,0.1491,-0.8745,0.6049,-3.5475,-5.865,4.0418,1.7501,0.945,0.433,0.2338,0.54,1.4196,0.7649,1.2594,0.5388,0.8871,1.6466,0.0283,6.4102,0.0512,0.1819,0.7931,0.5536,-0.2173,-0.1981,4.4381,10.1683,3.1888,7.8398,0.0892,1.0332,7.8799,2.8071,6.9803,-0.9898,7.2539,4.7975,2.1903,5.8991,0.3609,4.2956,0.6118,0.1424,1.136,1.4558,1.2816,1.2904,2.1195,1.6425,-0.221,0.2303,-1.0421,2.4536,0.9324,0.38,1.1231,1.329,1.1833,0.0848,14.5319,-0.9473,-0.9441,0.9891,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
2.8783,13.826,3.7183,16.9178,-0.1638,-3.1364,29.9467,5.4724,20.2057,-2.1358,-0.5534,13.1751,3.6298,19.2213,-0.5549,6.978,26.6824,5.1655,19.1199,0.0081,-0.9177,-5.2013,0.4125,5.6678,-0.4495,-0.0793,0.6795,1.0244,0.7198,1.5076,1.0594,0.7027,0.4617,1.0494,0.5182,2.273,1.1223,0.4938,0.1731,0.3472,-15.1673,2.0064,-87.6402,-43.6813,2.2559,1.1759,0.7541,0.5212,0.3343,0.6413,0.8373,0.8802,0.8848,1.0512,1.0568,1.0053,0.022,10.616,-0.3787,0.5865,0.7623,-0.0041,-0.7929,0.3361,2.8734,12.7081,3.5648,10.3128,-0.1069,2.7491,14.6207,3.8237,13.6718,-1.423,6.8937,5.4993,2.3451,7.1729,0.1648,1.0452,0.4168,0.3988,0.9323,1.5202,1.6305,0.8692,2.3109,2.6587,0.1241,-0.7037,-5.6714,1.6511,1.0847,0.657,0.7543,1.4377,1.906,0.0408,14.6543,-0.7344,-0.8442,0.9403,1100,0,0,0,1,TASCA_DESTRA_DIETRO_PANTALONI
2.1717,5.8361,2.4158,12.704,-0.451,-3.9318,20.4157,4.5184,19.479,-4.3835,0.1185,19.5514,4.4217,22.6706,-0.4924,7.0243,16.6509,4.0805,16.9926,0.0731,-0.5523,18.3257,0.3092,-33.1785,-0.5597,0.0169,0.5347,0.5464,0.592,1.0219,1.1073,1.0836,0.2859,0.2985,0.3505,1.0442,1.2261,1.1742,0.2489,0.5279,-2.9474,2.1203,-11.8395,-5.5838,2.4198,0.5764,0.4776,0.2382,0.1974,0.8286,0.6522,0.5604,0.7476,0.8592,1.1463,1.3341,0.0233,10.6425,-0.0812,0.3748,0.305,-0.3103,-0.8849,0.5048,4.3016,8.2305,2.8689,9.3009,0.0077,2.9093,18.7305,4.3279,14.5701,-1.4251,6.2059,3.6831,1.9191,5.7342,0.3038,1.4786,0.6931,0.4688,0.6629,1.4949,2.2551,0.4394,2.2347,5.0855,-0.0084,0.0289,-3.4225,1.5601,1.1381,0.7295,0.6384,1.622,2.5409,0.0419,15.4568,-0.4242,-0.8645,0.8067,1100,0,0,0,1,TASCA_DESTRA_DIETRO_PANTALONI
3.1182,16.6574,4.0814,19.5866,-0.2294,-4.0363,21.3423,4.6198,18.4064,-2.7381,1.505,35.6639,5.9719,23.4557,-0.3459,8.2285,34.235,5.8511,25.2731,0.0303,-0.7726,2.0719,0.379,-2.6819,-0.4905,0.1829,0.8835,0.6834,0.6975,0.7736,0.7896,1.0207,0.7805,0.4671,0.4866,0.5984,0.6234,1.0417,0.271,0.6061,-4.6319,2.2364,-17.09,-7.6417,3.2357,0.9142,0.6113,0.2825,0.1889,0.6687,1.0641,0.835,0.775,0.7847,0.7283,0.9281,0.0274,12.9076,-0.533,0.6706,0.8764,-0.233,-0.7721,0.6632,3.0629,9.5464,3.0897,9.2926,0.0133,3.7878,26.0519,5.1041,15.3321,-1.1525,5.8713,2.4205,1.5558,5.236,0.2763,0.8086,0.5217,0.6451,0.6053,1.986,3.2807,0.3664,3.944,10.7631,-0.0153,0.0628,-4.1068,1.3222,1.3017,0.9845,0.6061,1.7747,2.9282,0.0393,15.0236,-0.5228,-0.8695,0.8014,1100,0,0,0,1,TASCA_DESTRA_DIETRO_PANTALONI
2.9775,19.2354,4.3858,18.4997,-0.2585,-2.8602,24.9638,4.9964,19.8871,-8.8306,0.1497,21.6375,4.6516,19.815,-0.8971,7.1834,31.3041,5.595,23.0592,0.0476,-1.041,19.8908,0.4145,-19.1068,-0.3982,0.0208,0.8778,0.9429,0.7839,1.0741,0.893,0.8314,0.7705,0.889,0.6145,1.1537,0.7975,0.6912,0.2127,0.4056,-3.295,1.9065,-15.4893,-8.1247,7.2663,1.4074,0.6071,0.1937,0.0836,0.4314,0.9302,0.9336,0.8023,1.0036,0.8624,0.8593,0.0426,11.1276,-0.804,0.4589,0.8622,-0.4731,-0.8935,0.562,2.87,6.3388,2.5177,8.2208,0.0078,1.6493,9.8872,3.1444,12.7285,-2.0268,8.0461,4.1843,2.0455,6.5085,0.3222,1.7401,0.3567,0.205,0.8007,1.2308,1.5372,0.6411,1.5149,2.363,-0.0076,0.021,-2.7549,1.9703,0.8629,0.4379,0.6459,1.2631,1.9557,0.0897,14.1414,-0.4186,-0.8583,0.8049,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
-1.0355,9.5801,3.0952,13.4426,-1.77,2.7245,5.2675,2.2951,11.0215,-0.3427,-1.2499,6.2284,2.4957,13.5778,-1.8138,5.2233,3.8511,1.9624,12.5941,0.09,-0.3801,0.8285,-0.1982,-2.1798,0.5216,-0.2393,1.3486,1.2402,1.5772,0.9196,1.1695,1.2717,1.8187,1.5381,2.4877,0.8457,1.3678,1.6173,3.0535,0.9814,-6.8986,0.3214,-2.2592,-7.0293,0.5912,1.0057,0.3507,1.7011,0.5931,0.3487,1.2197,0.99,1.0674,0.8117,0.8751,1.0781,0.017,7.7431,-0.0459,-0.0623,-0.2753,-0.3334,0.6347,-0.3919,7.122,1.025,1.0124,3.9311,0.5615,4.1502,9.8053,3.1313,9.1183,-0.0945,3.5185,5.0267,2.242,6.1169,0.1219,1.716,2.0242,1.1796,0.3233,0.4516,1.3967,0.1045,0.2039,1.9507,-6.3933,5.9251,-0.9268,1.076,1.2868,1.1959,0.4311,0.6427,1.4907,0.0479,14.9244,-0.6852,0.2977,-0.8342,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.1552,2.0196,1.4211,5.2894,-1.0005,-0.0937,1.3467,1.1605,4.3986,-0.8853,-0.3361,0.7013,0.8374,3.1503,-2.5795,1.8669,0.728,0.8532,3.207,0.1252,1.656,0.4617,-0.0831,0.2788,-0.0502,-0.18,1.2246,1.697,1.6656,1.3858,1.3601,0.9815,1.4997,2.88,2.7743,1.9204,1.8499,0.9633,1.2808,1.1653,-5.7643,0.9098,-4.5007,-4.9466,1.1333,3.0042,0.7212,2.6509,0.6364,0.2401,1.2025,1.679,1.6493,1.3963,1.3716,0.9823,0.0021,2.871,0.1037,0.4319,-0.4744,-0.8196,0.4446,-0.6945,7.3414,0.0217,0.1472,0.5161,0.9328,6.3566,0.0209,0.1444,0.5352,0.9183,-1.3364,0.0399,0.1997,1.552,?,1.1549,-5.4935,-4.7566,1.019,0.7372,0.7234,1.0384,0.5435,0.5233,1.1922,-4.6181,-3.8738,1.1735,0,0,0.9644,0.3325,0.3448,0.053,15.0343,-0.9873,0.827,-0.7272,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
