@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
1.3844,6.5836,2.5659,19.0262,-1.9626,-0.0622,7.1196,2.6683,16.1801,-0.8296,0.7665,20.873,4.5687,20.3591,-0.7452,5.3889,8.0443,2.8362,16.768,0.0416,-22.2433,1.806,0.2569,-0.0812,-0.0115,0.1422,0.9616,0.5616,0.9047,0.584,0.9408,1.6108,0.9247,0.3154,0.8184,0.3411,0.885,2.5948,1.7179,1.4498,-17.3081,0.8439,-10.075,-11.9383,0.7262,0.5505,0.3671,0.7581,0.5054,0.6667,1.1759,0.9345,1.1347,0.7947,0.9649,1.2142,0.0106,8.2837,-0.4237,0.3969,0.2309,-0.2722,-0.2315,0.3438,1094.6012,207782.2344,455.8314,1398.83,0.1041,DAVANTI_PANTALONI
1.5414,8.7924,2.9652,11.102,-0.5336,-1.3423,8.6433,2.9399,12.7363,-2.4735,1.0067,19.5958,4.4267,20.2456,-0.4725,5.6493,10.3081,3.2106,15.7389,0.0262,-1.1483,1.5311,0.2728,-1.3334,-0.2376,0.1782,1.0086,0.6698,0.9236,0.6641,0.9157,1.3788,1.0173,0.4487,0.853,0.4411,0.8385,1.901,0.4259,0.5946,-9.1349,1.396,-21.4475,-15.3633,1.9743,0.5265,0.4479,0.2667,0.2269,0.8507,0.8717,0.5484,0.7054,0.6291,0.8092,1.2863,0.0152,8.4701,-0.4106,0.1246,0.3555,-0.4459,-0.7734,0.6401,1612.5969,267865.8438,517.5576,2204.1101,0.127,DAVANTI_PANTALONI
0.2301,2.2834,1.5111,8.5623,-0.6161,0.5524,2.8672,1.6933,8.1255,-0.9096,0.4782,13.9071,3.7292,17.6466,-0.6189,4.0586,3.1725,1.7811,10.0776,0.091,0.4165,0.4811,0.0567,1.155,0.1361,0.1178,0.8924,0.4052,0.8484,0.4541,0.9507,2.0937,0.7964,0.1642,0.7198,0.2062,0.9038,4.3837,0.8433,0.4838,-3.2339,0.5737,-3.8347,-6.684,1.2452,0.4861,0.4779,0.3904,0.3838,0.9832,1.0538,0.4852,0.8496,0.4605,0.8063,1.7511,0.0051,5.8682,-0.0502,0.4316,0.169,0.2637,0.1624,0.469,1027.3457,210468.2031,458.7681,1530.1283,0.0427,DAVANTI_PANTALONI
0.1751,3.2738,1.8094,13.2746,-0.4988,0.4093,1.9715,1.4041,8.8492,-0.8051,0.3807,18.5317,4.3048,18.2539,-0.5618,4.2854,5.7551,2.399,11.4458,0.043,0.4278,0.4599,0.0409,1.0751,0.0955,0.0888,1.2886,0.4203,0.7542,0.3262,0.5853,1.7944,1.6606,0.1767,0.5689,0.1064,0.3426,3.22,1.1193,0.6728,-8.5959,0.6011,-7.6796,-12.7753,1.8067,0.7578,0.7405,0.4194,0.4099,0.9773,1.5001,0.7272,1.1598,0.4848,0.7731,1.5948,0.0039,6.0309,-0.1512,-0.0304,-0.0065,-0.0248,0.3216,0.4388,438.7923,52256.5273,228.5969,682.5323,0.0069,DAVANTI_PANTALONI
0.4308,1.5113,1.2293,7.2828,-0.8281,-1.8335,25.2075,5.0207,20.7489,-3.9178,0.798,21.6558,4.6536,17.993,-0.7619,6.1371,14.8948,3.8594,16.1409,0.0305,-0.235,0.5398,0.0702,-2.2975,-0.2988,0.13,0.2449,0.2642,0.3185,1.0789,1.3009,1.2058,0.06,0.0698,0.1015,1.164,1.6924,1.4539,0.1996,0.424,-6.4866,2.1244,-32.5021,-15.2995,0.9442,0.3901,0.2393,0.4132,0.2534,0.6134,0.351,0.4048,0.4512,1.1532,1.2855,1.1147,0.0136,8.2334,0.0356,0.1343,0.1634,-0.1391,-0.7702,0.2525,1714.3606,280532.0312,529.6528,1917.0475,0.1053,DAVANTI_PANTALONI
1.0059,3.8371,1.9589,8.6285,-0.5791,-1.4048,6.5441,2.5581,13.703,-1.9855,0.5065,21.4145,4.6276,19.4652,-0.5053,5.3303,6.6257,2.574,15.0434,0.0504,-0.7161,1.986,0.1887,-2.7736,-0.2635,0.095,0.7657,0.4233,0.761,0.5528,0.9938,1.7978,0.5863,0.1792,0.5791,0.3056,0.9877,3.232,0.3472,0.4842,-3.9602,1.3946,-11.4055,-8.1781,1.1905,0.4226,0.3449,0.355,0.2897,0.8162,0.6297,0.4433,0.5736,0.704,0.9109,1.2939,0.012,7.8542,-0.5284,0.139,0.2743,-0.3659,-0.5738,0.5541,714.9076,219493.7812,468.5016,1290.1682,0.0032,DAVANTI_PANTALONI
-0.3211,2.2001,1.4833,7.395,-3.7006,-2.3425,12.2368,3.4981,11.4506,-18.0959,0.6815,5.2805,2.2979,10.2792,-0.2626,3.3948,14.2476,3.7746,13.1217,0.0094,0.1371,-0.4711,-0.0946,-3.4371,-0.69,0.2008,0.424,0.6455,0.393,1.5223,0.9267,0.6088,0.1798,0.4167,0.1544,2.3174,0.8589,0.3706,0.5365,2.7235,-46.5561,5.0762,-86.774,-17.0944,2.6236,0.1932,0.1188,0.0737,0.0453,0.6146,0.6458,0.7194,0.5636,1.114,0.8726,0.7834,0.0164,4.9084,0.5647,-0.7497,-0.6151,-0.6129,-0.9666,0.7087,4.0663,0.0005,0.0234,0.0477,0.9883,DAVANTI_PANTALONI
1.6,6.5366,2.5567,12.4674,-0.2301,-1.3559,16.5634,4.0698,21.9375,-1.557,0.8596,17.3476,4.165,21.9131,-0.6665,4.7618,22.9107,4.7865,17.4133,0.0101,-1.1801,1.8612,0.336,-1.5772,-0.2847,0.1805,0.6282,0.6138,0.5341,0.9771,0.8503,0.8702,0.3946,0.3768,0.2853,0.9548,0.723,0.7572,0.1746,0.2661,-13.1526,1.5242,-75.3296,-49.4212,1.1813,0.7708,0.5762,0.6525,0.4877,0.7475,0.5683,0.5689,0.716,1.0011,1.2598,1.2584,0.008,7.3706,-0.4506,-0.0742,0.5799,-0.4903,-0.7187,0.5025,37.5825,128.0398,11.3155,32,0.4182,DAVANTI_PANTALONI
1.9449,9.9317,3.1515,15.9568,-0.4861,-2.0382,28.9915,5.3844,31.4394,-1.3796,0.8147,42.0097,6.4815,28.8364,-0.5822,7.8281,28.2545,5.3155,23.5882,0.0239,-0.9542,2.3872,0.2485,-2.5017,-0.2604,0.1041,0.5853,0.4862,0.5929,0.8307,1.013,1.2194,0.3426,0.2364,0.3515,0.6901,1.0261,1.4868,0.2863,0.4919,-9.0175,1.7178,-31.4922,-18.3329,0.8127,0.5891,0.4443,0.7249,0.5467,0.7542,0.5075,0.5534,0.6765,1.0903,1.3328,1.2225,0.0101,11.8487,-0.2215,-0.1406,0.4003,-0.5602,-0.6847,0.5458,365.4364,19701.623,140.3625,350,0.3997,DAVANTI_PANTALONI
1.1655,5.8877,2.4265,10.323,-0.5623,-2.6006,29.3224,5.415,29.3893,-2.8402,0.9662,20.155,4.4894,20.3481,-0.6907,6.644,20.2774,4.503,21.4606,0.0391,-0.4481,1.2063,0.1754,-2.6917,-0.3914,0.1454,0.4481,0.5405,0.5388,1.2062,1.2025,0.997,0.2008,0.2921,0.2904,1.4548,1.4461,0.994,0.1709,0.447,-4.2518,2.6148,-24.8737,-9.5128,0.8634,0.549,0.2958,0.6359,0.3427,0.5389,0.3513,0.5073,0.481,1.4443,1.3695,0.9482,0.0107,9.8784,0.0817,0.2519,0.1635,-0.4977,-0.8282,0.5717,284.9007,33658.9883,183.4639,481,0.2166,DAVANTI_PANTALONI
