@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
0.24691343,0.0024485448,0.049482774,0.15579967,0.5545653,-0.45814022,0.009308851,0.09648239,0.545895,?,0.52041507,0.0055894335,0.074762516,0.22398776,0.6232069,-0.5389473,0.47445482,-0.8803362,0.51286846,0.66186607,1.2905182,0.26303405,0.43806672,1.6654373,-0.35532525,0.52357817,-1.473518,?,0.58838433,2.8E-45,0.28540227,0.69557226,2.4371643,0.014719926,1.2254688,0.98472583,-0.98089015,-0.96598023,TASCA_DESTRA_DAVANTI_PANTALONI
0.2468455,0.008803782,0.09382847,0.3028359,0.20394091,-0.40661126,0.015610609,0.12494242,0.57541424,?,0.3481226,0.0067325206,0.08205194,0.2704448,0.44519958,-0.60707986,0.70907634,-1.1680117,0.7509737,1.1435252,1.5227236,0.56396145,1.3076502,2.3186872,-0.13482979,0.3574949,-2.6514535,?,0.7804053,2.8E-45,0.526292,1.1197697,2.1276586,0.011789058,1.0015794,0.96822953,-0.96915805,-0.9916328,TASCA_DESTRA_DAVANTI_PANTALONI
0.3985045,9.06329E-4,0.030105298,0.10961598,0.7540591,-0.09668232,0.012662211,0.11252649,0.33531088,-1.9975727,0.28008145,0.0018625165,0.04315688,0.13987508,0.5630922,-4.121793,1.4228164,-0.34519356,0.26753965,0.6975782,2.6073823,0.07157747,0.4866153,6.7984424,-1.5040694,1.864311,-1.2395113,3.98442,1.3921707,0.3494036,0.32690853,0.78367054,2.3972166,0.009931746,0.8107878,-0.62386924,0.1957192,0.6111644,TASCA_DESTRA_DAVANTI_PANTALONI
0.20690168,5.1054196E-4,0.022595175,0.106919676,0.6174119,-0.18923546,0.0022325492,0.04724986,0.32442898,?,-0.21429859,0.0018613325,0.04314316,0.30649173,?,-1.0933558,-0.9654832,0.8830458,0.47820616,0.5237255,1.0951878,0.22868116,0.27428842,1.1994361,-0.5318406,-0.5629663,1.0585244,?,?,1.0,0.32956266,0.3488501,1.0585244,0.0070581087,0.6104358,-0.91241133,-0.76342237,0.93677,TASCA_DESTRA_DAVANTI_PANTALONI
-0.010458691,0.04158519,0.20392446,0.55335164,-1.0470039,-0.31147087,0.007425821,0.08617321,0.4149586,?,-0.079123385,0.014153336,0.118967794,0.3208682,-1.5616832,0.033578392,0.13218205,3.936521,2.3664486,1.7141149,0.7243406,5.6000795,2.9381897,0.5246693,0.6820655,1.4468938,2.1213415,?,2.1581483,1.1E-44,1.3335105,1.724545,1.293237,0.006430676,0.6268812,0.8441849,-0.94154555,-0.620441,TASCA_DESTRA_DAVANTI_PANTALONI
0.18853727,0.00825492,0.09085659,0.30587894,0.110775165,-0.38427594,0.017417127,0.13197397,0.5378673,?,0.18336552,0.00789603,0.08885961,0.2785291,0.26149678,-0.4906299,1.0282046,-2.0956826,0.68844324,1.0224735,1.4851964,0.47395417,1.0454519,2.2058082,-0.07084435,0.3863633,-5.453692,?,0.9120524,4.2E-45,0.56868845,1.0981938,1.931099,0.009313157,0.7561787,0.9778207,-0.9063272,-0.81354666,TASCA_DESTRA_DAVANTI_PANTALONI
-0.107360385,0.028352879,0.16838314,0.53263164,-2.5462465,-0.4177639,0.0056309085,0.07503938,0.51175857,?,-0.48686945,0.020534227,0.14329769,0.66436636,?,0.2569882,0.22051165,0.85806143,2.2439303,1.1750582,0.5236608,5.035223,1.380762,0.27422062,0.7472972,0.57563984,0.77029574,?,?,1.0,1.040787,0.8017137,0.77029574,0.013009148,1.0703813,-0.40402943,-0.9852212,0.5314102,TASCA_DESTRA_DAVANTI_PANTALONI
0.2228173,0.0104744695,0.102344856,0.28421122,0.26917088,-0.44115078,0.01636308,0.12791826,0.55270785,?,0.6432605,0.01236182,0.11118372,0.3678467,0.52138656,-0.50508195,0.34638736,-0.68580425,0.8000801,0.9205022,1.1505125,0.6401282,0.84732425,1.323679,-0.18939035,0.26122314,-1.3792844,?,0.5059917,1.4E-45,0.514216,0.772635,1.5025494,0.016900003,1.3072287,0.9562721,-0.98642516,-0.9835037,TASCA_DESTRA_DAVANTI_PANTALONI
0.057459254,0.017458623,0.13213108,0.4210183,-0.22365624,-0.5604011,0.009345759,0.096673466,0.65195745,?,0.46393433,0.013772066,0.117354445,0.36074412,0.401592,-0.10253237,0.12385213,-1.2079319,1.3667772,1.1259146,0.8237734,1.8680798,1.2676837,0.6786025,0.11803297,-0.31785986,-2.6929753,?,0.57074183,2.8E-45,0.64577574,1.1670829,1.8072573,0.014893569,1.1325175,0.85470337,-0.9761356,-0.7461915,TASCA_DESTRA_DAVANTI_PANTALONI
0.07658392,0.044675615,0.21136607,0.6415588,-0.64144784,-0.38019884,0.011479862,0.10714412,0.49538237,?,0.103636734,0.073553644,0.27120775,0.76565695,-0.29843727,-0.20143123,0.73896503,-3.6685722,1.9727268,0.7793512,0.3950629,3.891651,0.6073882,0.15607469,0.50609285,1.4246378,2.814973,?,0.6628208,2.8E-45,1.295078,0.8379194,0.64700305,0.008541349,0.7989403,0.9356044,-0.93799365,-0.78728336,TASCA_DESTRA_DAVANTI_PANTALONI
