@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE LIGHT_AVERAGE NUMERIC 
@ATTRIBUTE LIGHT_VARIANCE NUMERIC 
@ATTRIBUTE LIGHT_STD NUMERIC 
@ATTRIBUTE LIGHT_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE LIGHT_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-2.2618,3.3245,1.8233,9.4906,-7.3277,4.9339,6.3811,2.5261,14.2311,0.0642,-2.2618,3.3245,1.8233,9.4906,-7.3277,6.2332,8.752,2.9584,18.2339,0.053,-0.4584,1,-0.3629,-2.1814,0.7916,-0.3629,0.7218,1,0.6163,1.3854,0.8539,0.6163,0.521,1,0.3799,1.9194,0.7291,0.3799,-8.549,1,-8.1771,-0.117,0.9565,-8.1771,0.0749,1,0.0592,13.3445,0.7898,0.0592,0.6669,1,0.5205,1.4995,0.7805,0.5205,0.1251,9.5723,-0.358,1,-0.7855,-0.358,0.8344,-0.7855,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
8.3144,5.5316,2.3519,10.6304,0.1115,-3.2803,5.412,2.3264,7.8061,-18.9,8.3144,5.5316,2.3519,10.6304,0.1115,12.4325,10.9273,3.3056,15.1016,0.1121,-2.5346,1,0.6688,-0.3945,-0.2639,0.6688,1.011,1,0.7115,0.9891,0.7038,0.7115,1.0221,1,0.5062,0.9784,0.4953,0.5062,-0.1799,1,0.6997,-5.5588,-3.8897,0.6997,30.5,1,0.7035,0.0328,0.0231,0.7035,1.3618,1,0.7039,0.7343,0.5169,0.7039,0.2543,19.9614,-0.0952,1,0.98,-0.0952,-0.2822,0.98,-0.0282,0.1601,0.4001,1.5724,-0.7298,0.6663,1.612,1.2696,4.8613,-0.8948,0.4367,2.8744,1.6954,5.973,-0.2802,-0.0424,-0.0646,1.5258,0.3151,0.236,0.7489,0.0993,0.0557,0.5608,0.289,0.5075,1.7561,0.3543,0.1948,0.5499,0.3234,0.2632,0.8139,0.0166,2.8044,-0.3136,0.2414,0.204,2,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
7.4851,1.2277,1.108,4.0223,0.5697,3.8682,0.8141,0.9023,3.6583,0.3345,7.4851,1.2277,1.108,4.0223,0.5697,11.3041,2.504,1.5824,5.5906,0.604,1.9351,1,0.6622,0.5168,0.3422,0.6622,1.228,1,0.7002,0.8143,0.5702,0.7002,1.508,1,0.4903,0.6631,0.3251,0.4903,2.8958,1,0.6244,0.3453,0.2156,0.6244,1.7003,1,0.662,0.5881,0.3893,0.662,1.0995,1,0.7195,0.9095,0.6544,0.7195,0.2561,18.8384,0.2889,1,0.9846,0.2889,0.4499,0.9846,1.4832,0.3894,0.624,2.2993,0.1774,-2.8407,0.5138,0.7168,4.397,?,0.4364,0.1891,0.4348,1.4087,-0.4252,-0.5221,3.3988,-6.5096,0.8705,1.4351,1.6486,0.7578,2.0596,2.7178,-0.1128,-1.1802,10.4622,0,2.8282,0,0.5229,1.6323,3.1214,0.0735,4.8904,0.1037,0.3888,0.6607,4.1591,38.1338,6.1753,21,0,TASCA_DESTRA_DAVANTI_PANTALONI
2.72,1.1782,1.0854,4.4209,0.2873,5.7936,1.8419,1.3572,5.8293,0.1702,2.72,1.1782,1.0854,4.4209,0.2873,7.2075,0.6128,0.7828,5.2871,0.4557,0.4695,1,0.3774,2.13,0.8038,0.3774,0.7998,1,1.3866,1.2503,1.7337,1.3866,0.6397,1,1.9227,1.5633,3.0058,1.9227,1.4909,1,0.4026,0.6707,0.2701,0.4026,0.8831,1,0.6386,1.1324,0.7232,0.6386,0.7584,1,0.8362,1.3186,1.1026,0.8362,0.1364,11.2336,-0.7186,1,0.4189,-0.7186,0.2943,0.4189,0.6121,0.9382,0.9686,4.9189,0.0082,0.6305,0.762,0.8729,3.1784,0.001,-0.0331,0.0785,0.2801,1.4986,-0.7209,0.9708,-18.502,-19.0586,1.1096,3.4578,3.1163,1.2312,11.9564,9.7112,12.6672,-0.0645,-0.0051,1.5588,5.6952,3.6536,1.5476,3.2824,2.1209,0.0172,1.4041,0.7735,0.4631,0.1668,4.1226,0.02,0.1416,1.0569,0.791,TASCA_DESTRA_DAVANTI_PANTALONI
-7.8416,0.0103,0.1015,8.045,?,5.1379,0.0133,0.1151,0.5516,0.8991,-7.8416,0.0103,0.1015,8.045,?,12.2226,0.0204,0.1429,0.5196,0.9584,-1.5262,1,-0.6416,-0.6552,0.4204,-0.6416,0.8816,1,0.7103,1.1343,0.8057,0.7103,0.7772,1,0.5045,1.2867,0.6491,0.5045,-1.6376,1,-0.6723,-0.6106,0.4105,-0.6723,0,1,0,0,0.4376,0,14.5848,1,15.4824,0.0686,1.0615,15.4824,0.2444,20.8211,-0.0875,0.9985,-0.9402,-0.0875,0.417,-0.9402,-0.0159,0.0001,0.0078,0.033,?,0.0303,0.0001,0.0105,0.049,0.1636,-0.0013,0,0.0069,0.0298,-2.1112,-0.5243,12.4148,-23.6791,0.7421,1.1281,1.52,0.5508,1.2726,2.3105,-3.4445,1.6316,-0.4737,0,0,6.1112,0.6739,1.1071,1.6428,0.0007,0.051,-0.3124,0.2246,0.4609,4.1432,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
6.0208,11.3346,3.3667,10.5242,0.1381,2.4722,1.7223,1.3124,4.4459,0.0006,6.0208,11.3346,3.3667,10.5242,0.1381,8.9608,22.7068,4.7652,14.2265,0.1981,2.4354,1,0.6719,0.4106,0.2759,0.6719,2.5654,1,0.7065,0.3898,0.2754,0.7065,6.5812,1,0.4992,0.1519,0.0758,0.4992,662.5294,1,0.4798,0.0015,0.0007,0.4798,2.7448,1,0.6883,0.3643,0.2508,0.6883,2.3672,1,0.7398,0.4224,0.3125,0.7398,0.1738,14.5137,0.693,1,0.9977,0.693,0.7373,0.9977,1.1999,1.1462,1.0706,3.7934,-0.1533,-3.1544,3.8377,1.959,7.6272,-8.7493,0.5275,1.2424,1.1146,3.5493,-0.5205,-0.3804,2.2748,-5.9802,0.5465,0.9605,1.7575,0.2987,0.9226,3.089,0.0737,0.4149,5.6333,4.2044,1.4091,0.3352,0.4973,1.0688,2.1489,0.067,5.469,-0.2902,0.3634,-0.8024,4.2693,0.0776,0.2786,1.0337,0.8003,TASCA_DESTRA_DAVANTI_PANTALONI
3.592,7.1195,2.6682,9.9003,-0.0682,8.0282,3.8063,1.951,7.8426,0.2884,3.592,7.1195,2.6682,9.9003,-0.0682,9.8972,10.3465,3.2166,11.2313,0.2301,0.4474,1,0.3629,2.235,0.8112,0.3629,1.3676,1,0.8295,0.7312,0.6065,0.8295,1.8704,1,0.6881,0.5346,0.3679,0.6881,-0.1987,1,-0.1882,-5.0329,0.947,-0.1882,0.8409,1,0.6353,1.1892,0.7555,0.6353,1.2624,1,0.8815,0.7922,0.6983,0.8815,0.1863,15.424,0.6821,1,0.9293,0.6821,0.8825,0.9293,1.498,0.4145,0.6438,2.476,0.0337,-1.1394,1.6469,1.2833,6.1329,-2.8514,0.4709,0.8584,0.9265,2.9002,-0.4566,-1.3147,3.1815,-2.4199,0.5017,0.6949,1.3851,0.2517,0.4829,1.9186,-0.019,-0.095,4.9941,1.6091,1.2869,0.7998,0.4037,0.8537,2.1147,0.038,3.6769,0.1104,0.5784,0.0922,59.6515,2542.0056,50.4183,140.3935,0.0287,TASCA_DESTRA_DAVANTI_PANTALONI
-7.7258,0.0074,0.086,7.9116,?,5.5967,0.0029,0.054,0.1915,0.9665,-7.7258,0.0074,0.086,7.9116,?,12.2763,0.0098,0.0992,0.4247,0.966,-1.3804,1,-0.6293,-0.7244,0.4559,-0.6293,1.5914,1,0.8674,0.6284,0.545,0.8674,2.5325,1,0.7523,0.3949,0.2971,0.7523,-1.4314,1,-0.6557,-0.6986,0.4581,-0.6557,0,1,0,0,0.4579,0,41.3063,1,18.6267,0.0242,0.4509,18.6267,0.2455,21.0483,0.4621,1.0026,-0.977,0.4621,-0.2605,-0.977,0.0181,0.0014,0.038,0.1738,-0.5806,-0.0217,0.0006,0.0251,0.1118,-5,-0.0162,0.0002,0.014,0.058,-5.3333,-0.8339,-1.12,1.3431,1.5148,2.7168,1.7935,2.2946,7.3809,3.2166,0.6852,1.3063,1.9062,5.9016,12,2.0333,1.5546,2.9947,1.9263,0.0007,0.0732,-0.6771,-0.1835,0.1075,0.36,0.2304,0.48,1,0,TASCA_DESTRA_DAVANTI_PANTALONI
5.6233,58.9668,7.679,25.3319,-0.3793,4.0401,7.5878,2.7546,8.74,-0.1956,5.6233,58.9668,7.679,25.3319,-0.3793,12.7629,42.1955,6.4958,22.5346,0.1467,1.3919,1,0.4406,0.7185,0.3165,0.4406,2.7877,1,1.1821,0.3587,0.4241,1.1821,7.7713,1,1.3975,0.1287,0.1798,1.3975,4.8715,1,-1.7981,0.2053,-0.3691,-1.7981,2.5124,1,0.6955,0.398,0.2768,0.6955,2.8984,1,1.1241,0.345,0.3878,1.1241,0.1749,19.525,-0.4573,1,0.8981,-0.4573,-0.2181,0.8981,-0.0541,0.222,0.4711,1.9419,-2.4554,-2.4414,1.3437,1.1592,5.1212,?,2.2789,4.0011,2.0003,5.7757,-0.1376,0.0222,-0.0237,-1.0713,0.4064,0.2355,0.5795,0.1652,0.0555,0.3358,0.2695,1.9755,7.3314,0,0.1107,0,0.3792,0.3362,0.8867,0.0655,5.2482,-0.3368,-0.0426,-0.8167,12.9608,34.5083,5.8744,24,0,TASCA_DESTRA_DAVANTI_PANTALONI
5.5641,0.0104,0.102,0.4492,0.922,-7.6933,0.0191,0.1382,8.1517,?,5.5641,0.0104,0.102,0.4492,0.922,11.0056,0.0212,0.1455,0.6216,0.9448,-0.7232,1,0.5056,-1.3827,-0.699,0.5056,0.7383,1,0.7014,1.3544,0.95,0.7014,0.5451,1,0.492,1.8344,0.9025,0.492,-0.6517,1,0.4989,-1.5344,-0.7655,0.4989,0,1,0.5112,0,0,0.5112,0.0551,1,0.7226,18.1466,13.1135,0.7226,0.2158,18.8214,-0.056,1,0.7439,-0.056,-0.7084,0.7439,0.0311,0.0003,0.018,0.0853,-0.3333,0.0332,0.0002,0.0158,0.064,-0.2766,-0.0126,0.0003,0.0159,0.0661,-5.8891,0.9352,-2.4741,-2.6455,1.1423,1.1352,0.9938,1.3049,1.2886,0.9875,1.5384,0.3774,0.2453,1.2766,6.6668,5.2223,1.3333,1.2903,0.9677,0.0009,0.0827,0.9,0.6089,0.7533,4.1228,0.0868,0.2946,2.1721,0.6481,TASCA_DESTRA_DIETRO_PANTALONI
