@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
10.7816,24.2275,4.9221,16.1544,0.1336,-5.7013,16.7189,4.0889,14.5215,-5.29,10.7816,24.2275,4.9221,16.1544,0.1336,16.5342,56.7868,7.5357,24.8626,0.1335,-1.8911,1,0.6521,-0.5288,-0.3448,0.6521,1.2038,1,0.6532,0.8307,0.5426,0.6532,1.4491,1,0.4266,0.6901,0.2944,0.4266,-0.204,1,0.6505,-4.9026,-3.1892,0.6505,8.0763,1,0.6498,0.1238,0.0805,0.6498,1.1124,1,0.6497,0.8989,0.5841,0.6497,0.3391,27.409,-0.731,1,0.9924,-0.731,-0.8039,0.9924,-0.7408,3.2268,1.7963,6.8413,-2.0579,-0.7455,2.1563,1.4684,5.9291,-1.6227,2.9999,1.2639,1.1242,5.0906,-0.0455,0.9937,-0.247,-0.2485,1.2233,1.5979,1.3062,1.4965,2.5532,1.7062,1.255,20.7862,16.5621,0.9896,0.4595,0.4643,1.1538,1.3439,1.1647,0.0662,5.9458,0.4817,-0.5591,0.1422,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
9.1454,26.0763,5.1065,19.1715,0.0055,-0.2272,1.2434,1.1151,4.5013,-0.9845,9.1454,26.0763,5.1065,19.1715,0.0055,13.0712,49.8665,7.0616,25.5123,0.0642,-40.2553,1,0.6997,-0.0248,-0.0174,0.6997,4.5796,1,0.7231,0.2184,0.1579,0.7231,20.9724,1,0.5229,0.0477,0.0249,0.5229,-0.0475,1,0.0605,-21.0724,-1.2751,0.0605,8.4991,1,0.7071,0.1177,0.0832,0.7071,4.2591,1,0.7515,0.2348,0.1764,0.7515,0.2695,19.2273,0.0925,1,0.9991,0.0925,0.0871,0.9991,-0.4524,1.5977,1.264,4.6121,-3.1779,-2.141,2.0502,1.4319,4.7403,-4.4155,1.29,0.3258,0.5708,2.7419,-0.1623,0.2113,-0.3507,-1.6597,0.8828,2.2146,2.5087,0.7793,4.9044,6.2935,0.9077,9.165,10.0971,1.2612,0.468,0.371,0.973,1.6821,1.7289,0.0529,4.5216,0.5692,0.0661,-0.5083,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
7.087,8.1437,2.8537,14.9083,-0.258,1.2233,6.6226,2.5734,12.973,-0.4877,7.087,8.1437,2.8537,14.9083,-0.258,10.7139,10.0697,3.1733,14.3716,0.1516,5.7932,1,0.6615,0.1726,0.1142,0.6615,1.1089,1,0.8993,0.9018,0.811,0.8993,1.2297,1,0.8087,0.8132,0.6577,0.8087,0.7189,1,-1.191,1.3909,-1.6566,-1.191,1.359,1,0.6996,0.7358,0.5148,0.6996,1.1492,1,1.0373,0.8702,0.9027,1.0373,0.2104,16.3984,-0.3796,1,0.9076,-0.3796,-0.1624,0.9076,-0.9976,1.0424,1.021,3.9467,-3.2445,-1.9814,3.0895,1.7577,5.3726,-6.7564,0.953,0.692,0.8319,2.6607,-0.2136,0.5035,-1.0469,-2.0792,0.5809,1.2274,2.113,0.3374,1.5064,4.4646,0.6446,6.4431,9.9949,1.3424,0.4241,0.3159,0.7346,1.4833,2.0193,0.0503,4.286,0.362,-0.0776,-0.4871,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
6.748,13.5557,3.6818,12.5529,0.0236,2.848,8.7093,2.9512,12.0006,-0.3468,6.748,13.5557,3.6818,12.5529,0.0236,10.4243,26.3367,5.1319,17.2642,0.105,2.3694,1,0.6473,0.422,0.2732,0.6473,1.2476,1,0.7174,0.8016,0.5751,0.7174,1.5565,1,0.5147,0.6425,0.3307,0.5147,-0.0982,1,0.1499,-10.1799,-1.5256,0.1499,1.4428,1,0.6665,0.6931,0.4619,0.6665,1.046,1,0.7271,0.956,0.6951,0.7271,0.2075,16.8674,0.5049,1,0.9856,0.5049,0.6051,0.9856,-0.1608,1.204,1.0973,4.2554,-1.392,-2.2331,0.9473,0.9733,4.5689,?,2.2209,1.1318,1.0639,3.9018,-0.0265,0.072,-0.0724,-1.0054,1.1274,1.0314,0.9148,1.271,1.0637,0.8369,0.542,24.5674,45.3262,0,0.468,0,0.9314,1.0906,1.171,0.0657,5.3575,0.674,-0.2401,-0.4245,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-2.2618,3.3245,1.8233,9.4906,-7.3277,4.9339,6.3811,2.5261,14.2311,0.0642,-2.2618,3.3245,1.8233,9.4906,-7.3277,6.2332,8.752,2.9584,18.2339,0.053,-0.4584,1,-0.3629,-2.1814,0.7916,-0.3629,0.7218,1,0.6163,1.3854,0.8539,0.6163,0.521,1,0.3799,1.9194,0.7291,0.3799,-8.549,1,-8.1771,-0.117,0.9565,-8.1771,0.0749,1,0.0592,13.3445,0.7898,0.0592,0.6669,1,0.5205,1.4995,0.7805,0.5205,0.1251,9.5723,-0.358,1,-0.7855,-0.358,0.8344,-0.7855,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
3.7339,43.977,6.6315,33.2642,-0.1522,2.0945,35.9701,5.9975,28.91,-0.2222,3.7339,43.977,6.6315,33.2642,-0.1522,8.1817,89.2543,9.4475,46.926,0.0055,1.7827,1,0.4564,0.561,0.256,0.4564,1.1057,1,0.7019,0.9044,0.6348,0.7019,1.2226,1,0.4927,0.8179,0.403,0.4927,0.8358,1,-16.8846,1.1964,-20.2013,-16.8846,1.2206,1,0.6118,0.8193,0.5013,0.6118,1.1506,1,0.7089,0.8691,0.6161,0.7089,0.1183,13.6075,0.8407,1,0.9576,0.8407,0.8594,0.9576,1.1151,3.2344,1.7984,5.3561,-0.4124,-2.1136,11.5156,3.3935,11.1813,-3.4021,-0.9331,2.9037,1.704,5.6945,-2.2413,-0.5276,-1.1951,2.2653,0.53,1.0554,1.9914,0.2809,1.1139,3.9658,0.181,0.3971,2.1945,1.493,2.1586,1.4458,0.479,0.9406,1.9635,0.0534,6.4439,0.0949,-0.4796,0.3875,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
8.3144,5.5316,2.3519,10.6304,0.1115,-3.2803,5.412,2.3264,7.8061,-18.9,8.3144,5.5316,2.3519,10.6304,0.1115,12.4325,10.9273,3.3056,15.1016,0.1121,-2.5346,1,0.6688,-0.3945,-0.2639,0.6688,1.011,1,0.7115,0.9891,0.7038,0.7115,1.0221,1,0.5062,0.9784,0.4953,0.5062,-0.1799,1,0.6997,-5.5588,-3.8897,0.6997,30.5,1,0.7035,0.0328,0.0231,0.7035,1.3618,1,0.7039,0.7343,0.5169,0.7039,0.2543,19.9614,-0.0952,1,0.98,-0.0952,-0.2822,0.98,-0.0282,0.1601,0.4001,1.5724,-0.7298,0.6663,1.612,1.2696,4.8613,-0.8948,0.4367,2.8744,1.6954,5.973,-0.2802,-0.0424,-0.0646,1.5258,0.3151,0.236,0.7489,0.0993,0.0557,0.5608,0.289,0.5075,1.7561,0.3543,0.1948,0.5499,0.3234,0.2632,0.8139,0.0166,2.8044,-0.3136,0.2414,0.204,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
5.9985,15.3888,3.9229,16.4359,-0.2251,-2.2968,15.2777,3.9087,14.4746,-3.3412,5.9985,15.3888,3.9229,16.4359,-0.2251,10.0352,22.5882,4.7527,19.5001,0.0348,-2.6117,1,0.5977,-0.3829,-0.2289,0.5977,1.0036,1,0.8254,0.9964,0.8224,0.8254,1.0073,1,0.6813,0.9928,0.6764,0.6813,0.2711,1,-4.2977,3.6883,-15.8513,-4.2977,4.0235,1,0.664,0.2485,0.165,0.664,1.1355,1,0.8429,0.8807,0.7423,0.8429,0.1794,16.5576,-0.7977,1,0.9268,-0.7977,-0.8671,0.9268,-0.4479,0.8004,0.8947,3.6676,-1.7094,-2.5385,1.2934,1.1373,4.7403,?,2.3761,2.6288,1.6214,4.97,-0.0035,0.1764,-0.1885,-1.0684,0.7867,0.5518,0.7014,0.6189,0.3045,0.492,0.4881,135.2857,277.1429,0,0.2733,0,0.7737,0.738,0.9538,0.0715,5.7368,-0.0684,-0.5708,-0.5211,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
9.3095,9.0914,3.0152,10.0556,0.2291,0.5698,1.5218,1.2336,4.2329,-0.8889,9.3095,9.0914,3.0152,10.0556,0.2291,13.2645,17.4159,4.1732,13.6634,0.2593,16.3377,1,0.7018,0.0612,0.043,0.7018,2.4442,1,0.7225,0.4091,0.2956,0.7225,5.9739,1,0.522,0.1674,0.0874,0.522,-1.5,1,0.6247,-0.6667,-0.4165,0.6247,5.8205,1,0.7071,0.1718,0.1215,0.7071,2.3756,1,0.736,0.421,0.3098,0.736,0.2995,19.841,-0.6622,1,0.9999,-0.6622,-0.6644,0.9999,1.3033,0.161,0.4012,1.5247,0.1452,-2.5682,2.0439,1.4297,4.9614,?,2.1059,0.6143,0.7838,2.5204,0.1089,-0.5075,0.6189,-1.2195,0.2807,0.5119,1.8241,0.0788,0.2621,3.3274,-0.0522,0.8413,-16.1151,0,0.6307,0,0.3073,0.6049,1.9685,0.0811,5.9774,-0.0741,0.8299,0.3269,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
8.3553,25.422,5.042,13.7906,0.0514,-0.121,2.4657,1.5703,4.9608,-0.5602,8.3553,25.422,5.042,13.7906,0.0514,12.1522,45.2712,6.7284,17.534,0.1473,-69.0431,1,0.6876,-0.0145,-0.01,0.6876,3.2109,1,0.7494,0.3114,0.2334,0.7494,10.3101,1,0.5615,0.097,0.0545,0.5615,-0.4194,1,0.2465,-2.3846,-0.5879,0.2465,4.5723,1,0.7069,0.2187,0.1546,0.7069,2.7799,1,0.7865,0.3597,0.2829,0.7865,0.2686,18.0601,-0.848,1,0.9973,-0.848,-0.8178,0.9973,-0.025,1.1061,1.0517,2.9932,-1.0332,-2.6898,3.1851,1.7847,5.6346,?,1.6705,2.0136,1.419,4.4056,-0.2178,0.0093,-0.015,-1.6101,0.5893,0.7412,1.2577,0.3473,0.5493,1.5818,0.2699,1.9302,7.1504,0,0.407,0,0.5312,0.6794,1.279,0.072,5.5179,-0.8615,-0.0533,-0.3101,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
7.782,1.6445,1.2824,4.6735,0.5414,1.5989,0.4935,0.7025,2.6815,0.0278,7.782,1.6445,1.2824,4.6735,0.5414,11.1435,3.2817,1.8115,6.5112,0.5492,4.8671,1,0.6983,0.2055,0.1435,0.6983,1.8254,1,0.7079,0.5478,0.3878,0.7079,3.3322,1,0.5011,0.3001,0.1504,0.5011,72,1,0.6954,0.0139,0.0097,0.6954,3.6944,1,0.7055,0.2707,0.191,0.7055,1.7429,1,0.7178,0.5738,0.4118,0.7178,0.2527,17.1629,0.1458,1,0.9985,0.1458,0.1977,0.9985,0.8121,0.2915,0.5399,2.237,-0.2576,-2.1492,0.5079,0.7127,3.6835,?,1.3131,0.2518,0.5018,1.6066,0.1991,-0.3779,0.6185,-1.6368,0.7576,1.0759,1.4202,0.5739,1.1575,2.0169,0.1244,-1.1468,-9.2202,0,0.8867,0,0.6073,1.3924,2.2928,0.0601,4.3503,0.0016,0.7967,0.2854,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
9.2159,10.2862,3.2072,9.481,0.3106,-0.108,2.5461,1.5957,5.3439,-1.2143,9.2159,10.2862,3.2072,9.481,0.3106,13.1332,20.5162,4.5295,13.383,0.3152,-85.3669,1,0.7017,-0.0117,-0.0082,0.7017,2.01,1,0.7081,0.4975,0.3523,0.7081,4.0399,1,0.5014,0.2475,0.1241,0.5014,-1.4575,1,0.6934,-0.6861,-0.4757,0.6934,5.6984,1,0.7037,0.1755,0.1235,0.7037,1.7742,1,0.7084,0.5636,0.3993,0.7084,0.2962,19.7918,0.5097,1,0.9997,0.5097,0.502,0.9997,0.9948,0.9217,0.9601,2.7855,-0.1686,-3.0161,4.2299,2.0567,5.9901,?,1.1802,1.3864,1.1774,3.2278,-0.202,-0.3298,0.8429,-2.5557,0.4668,0.8154,1.7467,0.2179,0.6649,3.0511,0.0671,0.741,11.0428,0,0.8876,0,0.465,0.863,1.8558,0.077,5.501,-0.8509,0.0298,-0.0408,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
7.4851,1.2277,1.108,4.0223,0.5697,3.8682,0.8141,0.9023,3.6583,0.3345,7.4851,1.2277,1.108,4.0223,0.5697,11.3041,2.504,1.5824,5.5906,0.604,1.9351,1,0.6622,0.5168,0.3422,0.6622,1.228,1,0.7002,0.8143,0.5702,0.7002,1.508,1,0.4903,0.6631,0.3251,0.4903,2.8958,1,0.6244,0.3453,0.2156,0.6244,1.7003,1,0.662,0.5881,0.3893,0.662,1.0995,1,0.7195,0.9095,0.6544,0.7195,0.2561,18.8384,0.2889,1,0.9846,0.2889,0.4499,0.9846,1.4832,0.3894,0.624,2.2993,0.1774,-2.8407,0.5138,0.7168,4.397,?,0.4364,0.1891,0.4348,1.4087,-0.4252,-0.5221,3.3988,-6.5096,0.8705,1.4351,1.6486,0.7578,2.0596,2.7178,-0.1128,-1.1802,10.4622,0,2.8282,0,0.5229,1.6323,3.1214,0.0735,4.8904,0.1037,0.3888,0.6607,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-7.3711,0.0095,0.0976,7.5844,?,5.2192,0.017,0.1305,0.5693,0.8969,-7.3711,0.0095,0.0976,7.5844,?,11.6588,0.0143,0.1196,0.4315,0.9637,-1.4123,1,-0.6322,-0.7081,0.4477,-0.6322,0.7474,1,0.8156,1.338,1.0912,0.8156,0.5586,1,0.6652,1.7902,1.1908,0.6652,-1.5309,1,-0.6625,-0.6532,0.4328,-0.6625,0,1,0,0,0.465,0,13.3232,1,17.5764,0.0751,1.3192,17.5764,0.2332,19.9614,0.3029,0.9997,-0.886,0.3029,0.1796,-0.886,0.0247,0.0001,0.01,0.033,0.2439,0.0448,0.0004,0.0202,0.081,0,0.0263,0.0001,0.0076,0.0256,0.3684,0.5516,0.94,1.7042,0.4923,1.312,2.6651,0.2423,1.7212,7.1027,0,0.7143,0,0.5395,1.0789,2,0.4079,1.2917,3.1667,0.0012,0.0959,-0.4311,-0.202,0.7528,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-6.4328,0.0165,0.1284,6.6878,?,6.1903,0.0111,0.1054,0.4444,0.9306,-6.4328,0.0165,0.1284,6.6878,?,11.0043,0.0304,0.1744,0.6314,0.9443,-1.0392,1,-0.5846,-0.9623,0.5625,-0.5846,1.2187,1,0.7362,0.8206,0.6041,0.7362,1.4852,1,0.5421,0.6733,0.365,0.5421,-1.1224,1,-0.6244,-0.8909,0.5563,-0.6244,0,1,0,0,0.5645,0,15.0482,1,10.5923,0.0665,0.7039,10.5923,0.2201,19.0558,-0.2425,0.9986,-0.9422,-0.2425,0.549,-0.9422,0.0242,0.0001,0.0079,0.0298,0.2222,0.038,0,0.0055,0.0298,0.44,0.0106,0.0001,0.0096,0.0352,-0.1379,0.6362,2.2746,3.5752,1.4346,0.8176,0.5699,2.0581,0.6684,0.3248,0.3636,-1.9998,-5.4995,0.72,1.2414,1.7241,1,0.8485,0.8485,0.0009,0.0734,-0.4617,-0.0897,0.6496,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
2.72,1.1782,1.0854,4.4209,0.2873,5.7936,1.8419,1.3572,5.8293,0.1702,2.72,1.1782,1.0854,4.4209,0.2873,7.2075,0.6128,0.7828,5.2871,0.4557,0.4695,1,0.3774,2.13,0.8038,0.3774,0.7998,1,1.3866,1.2503,1.7337,1.3866,0.6397,1,1.9227,1.5633,3.0058,1.9227,1.4909,1,0.4026,0.6707,0.2701,0.4026,0.8831,1,0.6386,1.1324,0.7232,0.6386,0.7584,1,0.8362,1.3186,1.1026,0.8362,0.1364,11.2336,-0.7186,1,0.4189,-0.7186,0.2943,0.4189,0.6121,0.9382,0.9686,4.9189,0.0082,0.6305,0.762,0.8729,3.1784,0.001,-0.0331,0.0785,0.2801,1.4986,-0.7209,0.9708,-18.502,-19.0586,1.1096,3.4578,3.1163,1.2312,11.9564,9.7112,12.6672,-0.0645,-0.0051,1.5588,5.6952,3.6536,1.5476,3.2824,2.1209,0.0172,1.4041,0.7735,0.4631,0.1668,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
11.9635,10.4571,3.2337,13.8419,0.136,-3.7117,2.8552,1.6897,7.6624,?,11.9635,10.4571,3.2337,13.8419,0.136,17.5102,17.1909,4.1462,18.9593,0.1667,-3.2232,1,0.6832,-0.3103,-0.212,0.6832,1.9137,1,0.7799,0.5225,0.4075,0.7799,3.6624,1,0.6083,0.273,0.1661,0.6083,-0.2843,1,0.5744,-3.5179,-2.0207,0.5744,0,1,0.7041,0,0,0.7041,1.8065,1,0.7301,0.5536,0.4042,0.7301,0.3464,27.6388,0.5297,1,0.9937,0.5297,0.4364,0.9937,-0.3999,1.9459,1.395,5.0298,-4.4969,0.076,3.867,1.9665,6.9962,-0.8158,1.8279,1.6135,1.2702,4.437,-0.3763,-5.2587,-0.2188,0.0416,0.7094,1.0982,1.5481,0.5032,1.206,2.3967,1.309,3.3921,2.5913,0.2375,0.2838,1.1951,0.7189,1.1336,1.5768,0.0375,4.5588,-0.7493,0.6941,-0.827,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.6867,32.1257,5.668,24.0656,-1.1054,-7.9807,28.6684,5.3543,25.6961,-3.034,1.6867,32.1257,5.668,24.0656,-1.1054,11.9589,19.2861,4.3916,14.8282,0.2645,-0.2113,1,0.141,-4.7316,-0.6673,0.141,1.0586,1,1.2906,0.9447,1.2192,1.2906,1.1206,1,1.6657,0.8924,1.4865,1.6657,0.6538,1,-2.369,1.5296,-3.6237,-2.369,1.7945,1,0.567,0.5573,0.3159,0.567,0.9365,1,1.623,1.0678,1.7329,1.623,0.1666,17.967,-0.1407,1,-0.1505,-0.1407,-0.5582,-0.1505,-1.1964,3.4604,1.8602,6.2549,-14.0286,-0.1171,10.0334,3.1676,12.0227,-3.5903,4.0133,9.672,3.11,8.875,0.04,10.2189,-0.2981,-0.0292,0.5873,0.5981,1.0185,0.3449,0.3578,1.0374,0.6209,-15.7837,-25.4206,0.1589,0.045,0.2833,0.5203,0.7048,1.3547,0.0838,7.4861,0.612,-0.131,-0.1484,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
