@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
1.6025,11.5592,3.3999,17.7056,-0.6736,-1.0378,5.677,2.3826,10.7964,-1.2502,-0.4594,12.5445,3.5418,20.6211,-1.971,5.1424,7.1928,2.6819,15.5635,0.0366,-1.5441,-3.4883,0.3116,2.2591,-0.2018,-0.0893,1.4269,0.9599,1.2677,0.6727,0.8884,1.3206,2.0361,0.9215,1.6071,0.4525,0.7893,1.744,1.1881,0.5209,-12.0657,0.4385,-10.1558,-23.1618,2.2049,1.5242,0.6549,0.6913,0.297,0.4297,1.64,0.8586,1.1376,0.5236,0.6937,1.325,0.0131,7.7491,-0.581,0.4201,0.5454,0.1264,-0.3768,0.0076,-0.0946,0.6611,0.8131,4.8049,-1.8897,-0.7581,1.5085,1.2282,6.393,-5.9022,0.6256,1.8176,1.3482,4.8432,-0.2338,0.1248,-0.1513,-1.2119,0.662,0.6031,0.911,0.4383,0.3637,0.8299,0.5748,3.4239,5.957,1.7952,0.4236,0.2359,0.7516,0.9921,1.32,0.0066,2.4787,0.3557,-0.3528,-0.362,TASCA_DESTRA_DAVANTI_PANTALONI
2.0936,8.6191,2.9358,13.7922,-0.3027,-1.5628,6.899,2.6266,10.0309,-1.5319,-0.2683,11.1792,3.3435,14.638,-0.8357,5.1364,7.2128,2.6857,13.7648,0.03,-1.3396,-7.8042,0.4076,5.8256,-0.3043,-0.0522,1.1177,0.8781,1.0932,0.7856,0.978,1.245,1.2493,0.771,1.195,0.6171,0.9565,1.5499,0.5281,0.4809,-7.5372,0.9107,-14.2732,-15.6723,2.6723,1.3277,0.7461,0.4968,0.2792,0.5619,1.375,0.9422,1.002,0.6853,0.7287,1.0634,0.0175,7.9692,-0.5652,0.4682,0.8049,0.2041,-0.6119,0.3303,-0.2034,0.5697,0.7548,3.4896,-1.1287,-0.6953,0.834,0.9132,4.1099,-4.5323,0.8116,1.1057,1.0515,3.6058,-0.2618,0.2925,-0.2506,-0.8568,0.8265,0.7178,0.8685,0.6832,0.5153,0.7542,0.5495,2.4729,4.5,2.2066,0.5737,0.26,0.8491,0.9678,1.1398,0.0073,2.4142,0.3622,-0.4749,-0.3596,TASCA_DESTRA_DAVANTI_PANTALONI
0.537,1.5778,1.2561,6.0124,-0.5904,0.3048,3.9579,1.9895,8.0217,-0.5482,0.0599,12.6101,3.5511,16.8134,-0.824,3.8891,3.4058,1.8455,10.1091,0.0998,1.7616,8.9654,0.1381,5.0894,0.0784,0.0154,0.6314,0.3537,0.6806,0.5602,1.078,1.9242,0.3986,0.1251,0.4632,0.3139,1.1621,3.7025,0.7858,0.2939,-1.9914,0.374,-2.5342,-6.7765,0.7296,0.4101,0.3366,0.5621,0.4614,0.8209,0.7495,0.3576,0.5948,0.4771,0.7935,1.6632,0.0041,5.7705,0.3608,0.4473,0.4364,0.7438,0.3533,0.3766,-0.0119,0.8899,0.9433,5.293,-1.2874,-0.5471,0.7206,0.8489,4.3242,-3.0168,0.0073,0.7163,0.8464,3.9223,-0.8281,0.0217,-1.6164,-74.6048,1.1113,1.1146,1.003,1.2349,1.2423,1.006,0.9173,1.6767,1.8278,2.1495,1.0785,0.5017,1.2241,1.3495,1.1024,0.0036,2.0898,-0.0467,0.196,-0.3656,TASCA_DESTRA_DAVANTI_PANTALONI
0.4099,2.4001,1.5492,10.6028,-0.4266,0.345,3.6139,1.901,9.9407,-0.4515,0.1265,17.0504,4.1292,17.1865,-0.61,4.2014,5.7156,2.3907,11.3828,0.0405,1.188,3.2398,0.0976,2.7272,0.0821,0.0301,0.8149,0.3752,0.648,0.4604,0.7952,1.7272,0.6641,0.1408,0.4199,0.212,0.6323,2.9831,1.0253,0.4869,-6.6005,0.4749,-6.4376,-13.5565,1.0853,0.6963,0.6265,0.6416,0.5773,0.8998,1.0666,0.6169,0.9315,0.5784,0.8733,1.5099,0.0037,5.9509,0.2269,0.2243,0.2892,0.5465,0.4441,0.3497,0.2165,1.1509,1.0728,6.5848,-0.5499,-0.3997,0.9396,0.9693,4.8859,-1.9366,-0.1881,0.3271,0.572,2.9503,-1.183,-0.5417,-1.1508,2.1242,1.1068,1.8757,1.6947,1.2249,3.5181,2.872,0.7251,1.4613,2.0153,2.5535,3.1435,1.2311,1.3477,2.2319,1.6561,0.0033,2.0569,-0.2344,-0.2102,0.1739,TASCA_DESTRA_DAVANTI_PANTALONI
1.3136,6.3463,2.5192,10.8928,-0.2478,-1.3031,8.2515,2.8726,12.5851,-1.9722,0.169,16.6461,4.08,16.8801,-0.9628,5.2518,7.115,2.6674,9.8156,0.0482,-1.0081,7.771,0.2501,-7.7084,-0.2481,0.0322,0.877,0.6175,0.9444,0.7041,1.0769,1.5296,0.7691,0.3812,0.892,0.4957,1.1597,2.3396,0.259,0.2612,-4.3489,1.0085,-16.7895,-16.6478,2.0617,1.0151,0.8465,0.4924,0.4106,0.8339,0.8655,0.6453,1.1097,0.7456,1.2822,1.7197,0.0124,7.5589,-0.3624,0.4996,0.5893,0.1851,-0.5049,0.2527,-0.2815,0.547,0.7396,3.2711,-1.8926,-0.3716,0.8893,0.943,4.937,-2.4337,0.809,2.3012,1.517,4.8795,-0.1163,0.7575,-0.348,-0.4594,0.7843,0.4876,0.6216,0.6151,0.2377,0.3864,0.6116,4.2096,6.8826,0.7865,0.2587,0.3289,0.6626,0.6704,1.0118,0.0062,2.3137,0.4505,-0.6833,-0.4772,TASCA_DESTRA_DAVANTI_PANTALONI
1.4276,8.8798,2.9799,12.5175,-0.283,-1.3284,6.071,2.4639,9.9719,-0.8503,-0.1509,10.8889,3.2998,14.5147,-0.6714,4.9125,5.5324,2.3521,13.1237,0.0519,-1.0746,-9.4573,0.2906,8.8004,-0.2704,-0.0307,1.2094,0.903,1.2669,0.7467,1.0476,1.4029,1.4626,0.8155,1.6051,0.5575,1.0974,1.9682,0.6024,0.4735,-3.8424,0.786,-6.378,-8.1148,1.8104,1.1235,0.7048,0.6206,0.3893,0.6274,1.2553,0.8624,0.9538,0.687,0.7598,1.106,0.013,7.5434,-0.335,0.5023,0.7098,0.416,-0.2646,0.336,-0.2899,0.4782,0.6915,2.9385,-1.7625,-0.5136,1.1464,1.0707,4.5128,-1.7193,0.6925,1.1331,1.0645,4.0897,-0.3314,0.5644,-0.4186,-0.7417,0.6459,0.6496,1.0058,0.4172,0.422,1.0117,0.6571,1.8419,2.8031,0.641,0.3463,0.5402,0.6512,0.7185,1.1035,0.0061,2.3243,0.5746,-0.114,-0.3795,TASCA_DESTRA_DAVANTI_PANTALONI
1.2725,3.3238,1.8231,5.8085,-0.0934,-1.0772,4.8312,2.198,10.6102,-3.32,-0.3998,3.3559,1.8319,9.221,-0.9948,2.728,7.0086,2.6474,9.4364,0.0121,-1.1812,-3.1827,0.4665,2.6944,-0.3949,-0.1466,0.8295,0.9952,0.6887,1.1998,0.8303,0.692,0.688,0.9904,0.4742,1.4396,0.6893,0.4788,0.0609,0.1079,-4.2819,1.7732,-70.3652,-39.6825,2.1629,1.1492,0.5561,0.5313,0.2571,0.4839,0.5474,0.6299,0.6155,1.1507,1.1244,0.9772,0.0114,4.0965,-0.7036,-0.0975,0.9223,-0.3829,-0.8548,0.04,0.0005,0.6019,0.7758,3.7742,-1.3497,-0.4261,1.0576,1.0284,5.681,-1.2208,0.9719,2.4755,1.5734,5.423,-0.045,-0.0011,0.0005,-0.4384,0.7544,0.4931,0.6536,0.5692,0.2432,0.4272,0.6942,9.2877,13.379,0.6279,0.3095,0.4929,0.6644,0.696,1.0476,0.0071,2.1446,-0.6002,-0.645,0.0964,TASCA_DESTRA_DAVANTI_PANTALONI
1.7347,8.1005,2.8461,16.1064,-0.4122,-2.0491,9.3969,3.0654,13.2733,-2.9591,-0.3638,7.1637,2.6765,14.9764,-1.355,4.1369,14.8876,3.8584,13.1228,0.0141,-0.8466,-4.7682,0.4193,5.6322,-0.4953,-0.0879,0.9285,1.0634,0.7376,1.1453,0.7945,0.6937,0.862,1.1308,0.5441,1.3117,0.6312,0.4812,0.4739,0.5456,-25.0218,1.1513,-52.7975,-45.859,3.4018,1.7934,0.8568,0.5272,0.2519,0.4778,1.2134,1.0755,1.2274,0.8863,1.0115,1.1413,0.0095,6.3621,-0.4021,0.5058,0.6715,-0.1379,-0.8124,0.0741,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.6052,23.7064,4.8689,27.7334,-0.74,-1.9914,17.8654,4.2267,18.7616,-1.3378,-0.5256,16.0805,4.0101,22.4451,-1.3223,6.9043,16.8014,4.099,17.8319,0.0335,-0.8061,-3.0542,0.2325,3.7891,-0.2884,-0.0761,1.1519,1.2142,1.1878,1.054,1.0312,0.9783,1.3269,1.4742,1.411,1.111,1.0633,0.9571,1.0986,0.9229,-19.0999,0.8401,-17.3862,-20.6952,1.9861,1.6491,0.8639,0.8303,0.435,0.5239,1.4782,1.2356,1.5553,0.8359,1.0521,1.2587,0.009,10.7362,-0.6289,0.4295,0.5435,-0.0467,-0.5265,0.2002,-0.2136,1.561,1.2494,6.7387,-2.1679,-0.7482,1.6701,1.2923,5.8266,-2.9372,1.1711,2.8333,1.6833,6.3927,-0.1289,0.2856,-0.1824,-0.6389,0.9668,0.7423,0.7677,0.9347,0.551,0.5894,1.0609,6.3179,5.955,1.4374,0.3756,0.2613,1.1566,1.0541,0.9114,0.0048,3.2746,0.3521,-0.5635,-0.3348,TASCA_DESTRA_DAVANTI_PANTALONI
1.5184,9.7739,3.1263,15.9542,-0.3229,-1.798,11.6678,3.4158,16.4495,-2.0445,0.0086,13.2771,3.6438,17.0089,-1.0025,5.6393,8.4558,2.9079,12.9236,0.0626,-0.8445,176.6761,0.2693,-209.2034,-0.3188,0.0015,0.9153,0.858,1.0751,0.9374,1.1747,1.2531,0.8377,0.7362,1.1559,0.8788,1.3799,1.5702,0.3525,0.4573,-4.5123,1.2973,-12.8006,-9.8675,2.2321,1.4199,0.8748,0.6361,0.3919,0.6161,0.9699,0.938,1.2345,0.9671,1.2728,1.3161,0.0083,8.4912,-0.2869,0.1886,0.6415,-0.0481,-0.551,0.32,-0.2082,1.3082,1.1437,6.4514,-2.9258,-0.8053,1.0303,1.015,5.849,-3.8697,1.0531,4.0142,2.0035,7.3882,-0.1831,0.2586,-0.1977,-0.7647,1.1268,0.5709,0.5066,1.2697,0.3259,0.2567,1.0345,4.2055,4.0654,1.3682,0.2632,0.1923,1.103,0.8732,0.7917,0.0048,3.0493,0.3924,-0.2312,-0.2907,TASCA_DESTRA_DAVANTI_PANTALONI
