@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE class {DAVANTI_PANTALONI,TASCA_GIACCA_BASSA,DIETRO_PANTALONI,TASCA_GIACCA_ALTA}
@DATA
3.8079,20.5783,4.5363,13.8039,-0.3048,-1.9729,3.6334,1.9062,5.9991,-5.3617,-0.4779,10.0583,3.1715,11.3571,-0.7882,6.7245,7.6722,2.7699,10.063,0.2012,-1.9301,-7.9674,0.5663,4.128,-0.2934,-0.0711,2.3798,1.4304,1.6377,0.601,0.6882,1.145,5.6636,2.0459,2.6822,0.3612,0.4736,1.311,0.6378,0.6442,-1.272,1.0101,-1.9944,-1.9745,11.2185,1.6657,0.8397,0.1485,0.0749,0.5041,2.301,1.2154,1.3717,0.5282,0.5962,1.1286,0.0863,10.2101,-0.9323,0.8812,0.7894,-0.8787,-0.8227,0.7586,-0.1089,0.5436,0.7373,2.6689,-2.0096,-0.7959,1.0759,1.0373,3.1325,-4.1381,1.7886,2.2796,1.5098,4.4766,-0.1404,0.1368,-0.0609,-0.445,0.7108,0.4883,0.687,0.5053,0.2385,0.472,0.7064,3.234,4.5783,1.4545,0.2259,0.1553,0.852,0.5962,0.6998,0.0392,3.5734,0.5248,-0.6058,-0.716,DAVANTI_PANTALONI
5.261,5.2974,2.3016,8.2646,0.2194,-4.5394,1.1883,1.0901,6.0691,?,0.2034,12.7539,3.5713,12.568,-0.5761,7.8712,5.6091,2.3684,10.0029,0.2951,-1.159,25.8667,0.6684,-22.3184,-0.5767,0.0258,2.1114,0.6445,0.9718,0.3052,0.4603,1.5079,4.4579,0.4154,0.9444,0.0932,0.2119,2.2738,-0.3827,-0.5056,0.5547,1.3211,-1.4495,-1.0972,0,1.3277,0.7461,0,0,0.5619,1.3618,0.6576,0.8262,0.4829,0.6067,1.2564,0.139,12.8358,-0.1872,0.8776,0.9104,0.1061,-0.4463,0.7412,-0.7653,0.2948,0.543,1.9303,-23.1468,-0.9948,0.2891,0.5377,1.9857,?,2.1552,0.1569,0.3961,1.4208,0.5028,0.7693,-0.3551,-0.4616,1.0097,1.3706,1.3574,1.0195,1.8785,1.8425,0.9318,-1.2878,-1.382,0,0.028,0,0.9721,1.3586,1.3976,0.0499,3.9215,0.194,-0.5331,0.2443,DAVANTI_PANTALONI
1.3772,1.3305,1.1535,5.0745,-0.3423,1.065,3.3208,1.8223,7.2235,-0.3941,0.6727,17.1423,4.1403,14.0516,-0.5243,4.4673,5.3206,2.3066,9.3609,0.1664,1.2932,2.0473,0.3083,1.5832,0.2384,0.1506,0.633,0.2786,0.5001,0.4401,0.79,1.795,0.4006,0.0776,0.2501,0.1937,0.6241,3.2219,0.6337,0.2677,-0.6924,0.4225,-1.0927,-2.5861,0.7296,0.4101,0.3366,0.5621,0.4614,0.8209,0.7025,0.3611,0.5421,0.5141,0.7717,1.5011,0.0373,6.7718,0.7406,0.7029,0.4457,0.9169,0.7049,0.7464,-0.0493,0.8273,0.9096,3.4811,-0.9033,-1.0744,0.739,0.8597,3.2604,-253.924,0.5885,0.841,0.9171,3.0888,-0.4396,0.0459,-0.0838,-1.8256,1.0581,0.9918,0.9374,1.1195,0.9837,0.8787,0.5087,1.7514,3.4429,143.0041,0.8525,0.006,1.0677,1.127,1.0556,0.0245,2.7692,-0.6481,0.7487,-0.7944,DAVANTI_PANTALONI
0.4126,4.3846,2.094,10.6028,-0.4266,0.9441,3.5778,1.8915,8.4423,-0.2327,0.8945,18.3785,4.287,16.7559,-0.6111,4.4655,8.2624,2.8744,10.5683,0.0435,0.4371,0.4613,0.0924,1.0554,0.2114,0.2003,1.107,0.4884,0.7285,0.4412,0.658,1.4914,1.2255,0.2386,0.5307,0.1947,0.433,2.2244,1.9891,0.4989,-6.6005,0.2508,-3.3182,-13.2309,1.0853,0.7146,0.6727,0.6585,0.6198,0.9413,1.2559,0.6328,1.0033,0.5038,0.7988,1.5855,0.0273,6.3679,0.6405,0.1821,0.2622,0.5566,0.7714,0.5062,0.512,1.5503,1.2451,5.4486,-0.2825,-0.4922,1.0736,1.0362,4.71,-2.1609,0.0034,0.2825,0.5315,2.411,-1.1961,-1.0403,150.1398,-144.3269,1.2017,2.3426,1.9495,1.444,5.4878,3.8004,0.3727,0.914,2.4521,2.8512,3.8699,1.3573,1.1568,2.2599,1.9536,0.0142,2.3569,-0.649,-0.185,0.2811,DAVANTI_PANTALONI
3.8508,6.5919,2.5675,9.0793,-0.04,-3.9141,9.5783,3.0949,11.5824,-2.5841,1.4227,7.1112,2.6667,10.6076,-0.9251,7.0808,5.3172,2.3059,7.7056,0.2528,-0.9838,2.7066,0.5438,-2.7511,-0.5528,0.2009,0.8296,0.9628,1.1134,1.1606,1.3422,1.1565,0.6882,0.927,1.2397,1.3469,1.8014,1.3374,0.0419,0.0686,-0.1341,1.6382,-3.2028,-1.9551,2.7013,1.5843,0.8465,0.5865,0.3134,0.5343,0.7839,0.8559,1.1783,1.0919,1.5031,1.3766,0.1134,10.704,0.1864,0.664,0.6118,0.4614,-0.5221,0.2199,-1.0156,0.3425,0.5852,2.1402,?,-0.9314,1.7207,1.3117,4.937,-2.4337,2.4852,2.5416,1.5942,4.7697,-0.0912,1.0904,-0.4087,-0.3748,0.4461,0.3671,0.8228,0.199,0.1348,0.677,0.6116,5.369,8.7781,0,0,0.3289,0.4335,0.4487,1.0351,0.0568,4.8591,0.1956,-0.601,-0.3099,DAVANTI_PANTALONI
3.8539,11.5872,3.404,10.4304,-0.0691,-3.0464,0.4395,0.6629,4.5827,?,0.3414,10.0716,3.1736,13.3594,-0.5384,6.1624,8.3728,2.8936,12.0902,0.1266,-1.2651,11.2879,0.6254,-8.9226,-0.4943,0.0554,5.1348,1.0726,1.1764,0.2089,0.2291,1.0968,26.3664,1.1505,1.3839,0.0436,0.0525,1.2029,0.147,0.1441,-0.3845,0.9802,-2.6156,-2.6685,0,1.1235,0.7048,0,0,0.6274,2.2761,0.7808,0.8627,0.343,0.379,1.105,0.0985,9.4463,-0.0794,0.7776,0.9064,-0.2859,-0.3783,0.7466,-0.646,0.61,0.7811,2.7808,-1.6142,-1.3784,1.0317,1.0157,3.5759,-3.9484,1.862,0.8637,0.9294,2.72,0.1145,0.4686,-0.3469,-0.7403,0.769,0.8404,1.0929,0.5913,0.7063,1.1945,0.6018,-4.8818,-8.1121,1.472,0.3463,0.2353,0.7776,1.0223,1.3147,0.0481,4.2644,0.3823,0.7093,0.3815,DAVANTI_PANTALONI
3.7996,56.6794,7.5286,27.7334,-0.74,-4.0033,25.6127,5.0609,16.4304,-1.8856,-0.4326,23.4667,4.8442,22.4451,-1.3223,10.6738,22.4797,4.7413,17.8319,0.0335,-0.9491,-8.7824,0.356,9.2533,-0.3751,-0.0405,1.4876,1.5541,1.5879,1.0447,1.0674,1.0217,2.2129,2.4153,2.5214,1.0915,1.1394,1.0439,1.0986,0.9229,-19.0999,0.8401,-17.3862,-20.6952,2.7992,1.6491,0.8639,0.5891,0.3086,0.5239,1.6879,1.2356,1.5553,0.732,0.9214,1.2587,0.0571,16.7006,-0.8659,0.673,0.5297,-0.694,-0.537,0.4361,-0.5421,2.9848,1.7277,6.2079,-2.8888,-1.0565,2.7097,1.6461,5.7806,-2.9062,2.5703,2.963,1.7213,6.3008,-0.1127,0.5131,-0.2109,-0.411,1.0495,1.0037,0.9563,1.1015,1.0074,0.9145,1.0723,7.2274,6.7404,1.0787,0.2819,0.2613,1.0739,0.9853,0.9174,0.0292,5.6585,0.7713,-0.5019,-0.426,DAVANTI_PANTALONI
4.0707,13.3481,3.6535,15.9542,-0.3229,-4.5039,10.7378,3.2769,12.3519,-8.462,0.2889,14.9175,3.8623,15.1746,-1.2787,8.1016,10.3067,3.2104,11.3833,0.1743,-0.9038,14.0915,0.5025,-15.591,-0.5559,0.0357,1.1149,0.9459,1.138,0.8484,1.0207,1.2031,1.2431,0.8948,1.2951,0.7198,1.0418,1.4474,0.3525,0.4573,-1.6203,1.2973,-4.5965,-3.5432,9.2386,1.811,0.8748,0.196,0.0947,0.483,1.2916,1.0514,1.4015,0.814,1.0851,1.3331,0.0647,12.2838,-0.1802,0.3803,0.6332,-0.6591,-0.6771,0.5682,-0.792,2.7671,1.6634,6.1353,-3.6228,-1.3854,1.8629,1.3649,5.849,-3.8697,3.4577,3.0847,1.7563,6.2239,0.0034,0.5717,-0.229,-0.4007,1.2187,0.9471,0.7771,1.4853,0.897,0.6039,1.0345,-229.3319,-221.6921,1.105,0.2125,0.1923,1.0489,0.9858,0.9398,0.0405,6.3955,0.495,0.1984,0.0666,DAVANTI_PANTALONI
4.933,27.8779,5.2799,19.623,-0.3734,-4.8891,23.1425,4.8107,17.5274,-1.9863,-0.1162,20.5181,4.5297,19.4485,-1.0907,10.0386,19.0153,4.3607,16.385,0.1426,-1.009,-42.4654,0.4914,42.0872,-0.487,-0.0116,1.0976,1.1656,1.2108,1.062,1.1032,1.0388,1.2046,1.3587,1.4661,1.1279,1.217,1.079,0.4576,0.5258,-1.9572,1.149,-4.2769,-3.7222,2.4343,1.5359,0.7476,0.6309,0.3071,0.4868,1.1196,1.009,1.1976,0.9012,1.0697,1.187,0.0724,15.9334,-0.7538,0.4749,0.8661,-0.4753,-0.6441,0.3566,-0.743,3.2447,1.8013,6.8413,-2.0579,-0.7667,2.2096,1.4865,5.975,-1.643,2.9854,1.3252,1.1512,5.1782,-0.0635,0.9691,-0.2489,-0.2568,1.2118,1.5647,1.2913,1.4684,2.4483,1.6673,1.2395,14.8959,12.0174,0.9896,0.4595,0.4643,1.145,1.3212,1.1539,0.033,5.9606,0.4864,-0.5485,0.1519,DAVANTI_PANTALONI
5.442,9.7886,3.1287,9.6822,0.0387,-1.9367,1.3769,1.1734,4.2242,-9.0978,-1.0058,3.6957,1.9224,7.0551,-2.1409,6.3838,8.486,2.9131,9.3767,0.1082,-2.8099,-5.4106,0.8525,1.9255,-0.3034,-0.1576,2.6663,1.6275,1.074,0.6104,0.4028,0.6599,7.1091,2.6486,1.1535,0.3726,0.1623,0.4355,-0.1025,-0.0811,0.3429,0.7914,-3.3457,-4.2273,24.077,4.4841,0.958,0.1862,0.0398,0.2136,2.292,1.3724,1.0326,0.5988,0.4505,0.7524,0.1333,9.2463,-0.6333,0.6745,0.9734,-0.038,-0.7425,0.5199,-0.025,1.1061,1.0517,2.9932,-1.0332,-2.6898,3.1851,1.7847,5.6346,?,1.6705,2.0136,1.419,4.4056,-0.2178,0.0093,-0.015,-1.6101,0.5893,0.7412,1.2577,0.3473,0.5493,1.5818,0.2699,1.9302,7.1504,0,0.407,0,0.5312,0.6794,1.279,0.072,5.5179,-0.8615,-0.0533,-0.3101,DAVANTI_PANTALONI
